x,y,z,T,Ux,Uy,Uz,p,source
2.2500,0.0500,0.0500,296.583,-0.2231,0.0741,-0.0740,100032.00,vane25
2.3500,0.0500,0.0500,296.535,-0.2309,0.0787,-0.0802,100032.00,vane25
2.4500,0.0500,0.0500,296.491,-0.2376,0.0830,-0.0871,100032.00,vane25
2.5500,0.0500,0.0500,296.450,-0.2420,0.0869,-0.0943,100032.00,vane25
2.6500,0.0500,0.0500,296.413,-0.2438,0.0906,-0.1017,100032.00,vane25
2.7500,0.0500,0.0500,296.380,-0.2425,0.0939,-0.1091,100032.00,vane25
2.8500,0.0500,0.0500,296.350,-0.2381,0.0969,-0.1163,100032.00,vane25
2.9500,0.0500,0.0500,296.323,-0.2305,0.0995,-0.1234,100032.00,vane25
3.0500,0.0500,0.0500,296.301,-0.2196,0.1019,-0.1301,100032.00,vane25
3.1500,0.0500,0.0500,296.281,-0.2055,0.1038,-0.1366,100032.00,vane25
3.2500,0.0500,0.0500,296.266,-0.1882,0.1053,-0.1426,100032.00,vane25
3.3500,0.0500,0.0500,296.255,-0.1678,0.1062,-0.1480,100032.00,vane25
3.4500,0.0500,0.0500,296.248,-0.1443,0.1066,-0.1528,100032.00,vane25
3.5500,0.0500,0.0500,296.245,-0.1180,0.1062,-0.1566,100032.00,vane25
3.6500,0.0500,0.0500,296.249,-0.0894,0.1052,-0.1588,100032.00,vane25
3.7500,0.0500,0.0500,296.258,-0.0597,0.1034,-0.1587,100032.00,vane25
3.8500,0.0500,0.0500,296.276,-0.0290,0.1011,-0.1544,100032.00,vane25
3.9500,0.0500,0.0500,296.305,-0.0099,0.0982,-0.1416,100032.00,vane25
4.0500,0.0500,0.0500,296.305,0.0099,0.0982,-0.1416,100032.00,vane25
4.1500,0.0500,0.0500,296.276,0.0291,0.1011,-0.1544,100032.00,vane25
4.2500,0.0500,0.0500,296.258,0.0597,0.1034,-0.1587,100032.00,vane25
4.3500,0.0500,0.0500,296.249,0.0894,0.1052,-0.1588,100032.00,vane25
