x,y,z,T,Ux,Uy,Uz,p,source
4.8500,0.1500,0.0500,295.749,0.2304,0.1989,-0.0882,100032.00,vane25
4.9500,0.1500,0.0500,295.775,0.2452,0.1946,-0.0845,100032.00,vane25
5.0500,0.1500,0.0500,295.804,0.2572,0.1894,-0.0806,100032.00,vane25
5.1500,0.1500,0.0500,295.836,0.2666,0.1836,-0.0765,100032.00,vane25
5.2500,0.1500,0.0500,295.870,0.2732,0.1772,-0.0723,100032.00,vane25
5.3500,0.1500,0.0500,295.907,0.2772,0.1703,-0.0680,100032.00,vane25
5.4500,0.1500,0.0500,295.946,0.2787,0.1629,-0.0637,100032.00,vane25
5.5500,0.1500,0.0500,295.987,0.2781,0.1550,-0.0596,100032.00,vane25
5.6500,0.1500,0.0500,296.030,0.2757,0.1466,-0.0558,100032.00,vane25
5.7500,0.1500,0.0500,296.074,0.2727,0.1379,-0.0525,100032.00,vane25
2.2500,0.2500,0.0500,296.042,-0.2555,0.1965,-0.0364,100032.00,vane25
2.3500,0.2500,0.0500,296.002,-0.2579,0.2072,-0.0380,100032.00,vane25
2.4500,0.2500,0.0500,295.963,-0.2599,0.2175,-0.0402,100032.00,vane25
2.5500,0.2500,0.0500,295.926,-0.2603,0.2272,-0.0427,100032.00,vane25
2.6500,0.2500,0.0500,295.892,-0.2586,0.2363,-0.0454,100032.00,vane25
2.7500,0.2500,0.0500,295.859,-0.2546,0.2447,-0.0481,100032.00,vane25
2.8500,0.2500,0.0500,295.829,-0.2480,0.2524,-0.0509,100032.00,vane25
2.9500,0.2500,0.0500,295.801,-0.2389,0.2592,-0.0535,100032.00,vane25
3.0500,0.2500,0.0500,295.776,-0.2273,0.2652,-0.0560,100032.00,vane25
3.1500,0.2500,0.0500,295.753,-0.2131,0.2700,-0.0584,100032.00,vane25
3.2500,0.2500,0.0500,295.733,-0.1963,0.2736,-0.0606,100032.00,vane25
3.3500,0.2500,0.0500,295.715,-0.1770,0.2758,-0.0627,100032.00,vane25
3.4500,0.2500,0.0500,295.699,-0.1551,0.2763,-0.0646,100032.00,vane25
3.5500,0.2500,0.0500,295.687,-0.1303,0.2751,-0.0663,100032.00,vane25
3.6500,0.2500,0.0500,295.677,-0.1029,0.2719,-0.0677,100032.00,vane25
3.7500,0.2500,0.0500,295.671,-0.0731,0.2671,-0.0683,100032.00,vane25
3.8500,0.2500,0.0500,295.669,-0.0407,0.2609,-0.0670,100032.00,vane25
3.9500,0.2500,0.0500,295.674,-0.0151,0.2537,-0.0622,100032.00,vane25
4.0500,0.2500,0.0500,295.674,0.0151,0.2537,-0.0622,100032.00,vane25
4.1500,0.2500,0.0500,295.669,0.0407,0.2609,-0.0670,100032.00,vane25
4.2500,0.2500,0.0500,295.671,0.0731,0.2671,-0.0683,100032.00,vane25
4.3500,0.2500,0.0500,295.677,0.1029,0.2719,-0.0677,100032.00,vane25
4.4500,0.2500,0.0500,295.687,0.1303,0.2751,-0.0663,100032.00,vane25
4.5500,0.2500,0.0500,295.699,0.1551,0.2763,-0.0646,100032.00,vane25
4.6500,0.2500,0.0500,295.715,0.1770,0.2758,-0.0627,100032.00,vane25
4.7500,0.2500,0.0500,295.733,0.1963,0.2736,-0.0606,100032.00,vane25
4.8500,0.2500,0.0500,295.753,0.2131,0.2700,-0.0584,100032.00,vane25
4.9500,0.2500,0.0500,295.776,0.2273,0.2652,-0.0560,100032.00,vane25
5.0500,0.2500,0.0500,295.801,0.2389,0.2592,-0.0535,100032.00,vane25
5.1500,0.2500,0.0500,295.829,0.2480,0.2524,-0.0509,100032.00,vane25
5.2500,0.2500,0.0500,295.859,0.2546,0.2447,-0.0481,100032.00,vane25
5.3500,0.2500,0.0500,295.892,0.2586,0.2363,-0.0454,100032.00,vane25
5.4500,0.2500,0.0500,295.926,0.2603,0.2272,-0.0427,100032.00,vane25
5.5500,0.2500,0.0500,295.963,0.2599,0.2175,-0.0402,100032.00,vane25
5.6500,0.2500,0.0500,296.002,0.2579,0.2072,-0.0380,100032.00,vane25
5.7500,0.2500,0.0500,296.042,0.2555,0.1965,-0.0364,100032.00,vane25
2.2500,0.3500,0.0500,296.035,-0.2381,0.2352,-0.0257,100032.00,vane25
2.3500,0.3500,0.0500,295.998,-0.2400,0.2464,-0.0264,100032.00,vane25
2.4500,0.3500,0.0500,295.963,-0.2418,0.2570,-0.0276,100032.00,vane25
2.5500,0.3500,0.0500,295.929,-0.2422,0.2670,-0.0292,100032.00,vane25
2.6500,0.3500,0.0500,295.897,-0.2406,0.2762,-0.0310,100032.00,vane25
2.7500,0.3500,0.0500,295.868,-0.2368,0.2847,-0.0328,100032.00,vane25
2.8500,0.3500,0.0500,295.841,-0.2307,0.2924,-0.0347,100032.00,vane25
2.9500,0.3500,0.0500,295.816,-0.2222,0.2991,-0.0365,100032.00,vane25
3.0500,0.3500,0.0500,295.794,-0.2113,0.3047,-0.0382,100032.00,vane25
3.1500,0.3500,0.0500,295.774,-0.1980,0.3090,-0.0398,100032.00,vane25
3.2500,0.3500,0.0500,295.757,-0.1825,0.3119,-0.0413,100032.00,vane25
3.3500,0.3500,0.0500,295.741,-0.1646,0.3131,-0.0427,100032.00,vane25
3.4500,0.3500,0.0500,295.729,-0.1443,0.3125,-0.0441,100032.00,vane25
3.5500,0.3500,0.0500,295.719,-0.1216,0.3101,-0.0453,100032.00,vane25
3.6500,0.3500,0.0500,295.711,-0.0964,0.3056,-0.0464,100032.00,vane25
3.7500,0.3500,0.0500,295.707,-0.0691,0.2997,-0.0469,100032.00,vane25
3.8500,0.3500,0.0500,295.707,-0.0394,0.2928,-0.0459,100032.00,vane25
3.9500,0.3500,0.0500,295.712,-0.0146,0.2857,-0.0427,100032.00,vane25
4.0500,0.3500,0.0500,295.712,0.0146,0.2857,-0.0427,100032.00,vane25
4.1500,0.3500,0.0500,295.707,0.0394,0.2928,-0.0459,100032.00,vane25
4.2500,0.3500,0.0500,295.707,0.0691,0.2997,-0.0469,100032.00,vane25
4.3500,0.3500,0.0500,295.711,0.0964,0.3056,-0.0464,100032.00,vane25
4.4500,0.3500,0.0500,295.719,0.1216,0.3100,-0.0453,100032.00,vane25
4.5500,0.3500,0.0500,295.729,0.1443,0.3125,-0.0441,100032.00,vane25
4.6500,0.3500,0.0500,295.741,0.1646,0.3131,-0.0427,100032.00,vane25
4.7500,0.3500,0.0500,295.757,0.1825,0.3119,-0.0413,100032.00,vane25
4.8500,0.3500,0.0500,295.774,0.1980,0.3090,-0.0398,100032.00,vane25
4.9500,0.3500,0.0500,295.794,0.2113,0.3047,-0.0382,100032.00,vane25
5.0500,0.3500,0.0500,295.816,0.2222,0.2991,-0.0365,100032.00,vane25
5.1500,0.3500,0.0500,295.841,0.2307,0.2924,-0.0347,100032.00,vane25
5.2500,0.3500,0.0500,295.868,0.2368,0.2847,-0.0328,100032.00,vane25
5.3500,0.3500,0.0500,295.897,0.2406,0.2762,-0.0310,100032.00,vane25
