x,y,z,T,Ux,Uy,Uz,p,source
2.2500,0.0500,0.0500,295.590,-0.3002,0.0707,-0.0762,100032.00,vane25
2.3500,0.0500,0.0500,295.538,-0.3028,0.0748,-0.0827,100032.00,vane25
2.4500,0.0500,0.0500,295.488,-0.3034,0.0788,-0.0891,100032.00,vane25
2.5500,0.0500,0.0500,295.440,-0.3018,0.0825,-0.0956,100032.00,vane25
2.6500,0.0500,0.0500,295.394,-0.2980,0.0861,-0.1021,100032.00,vane25
2.7500,0.0500,0.0500,295.350,-0.2918,0.0894,-0.1085,100032.00,vane25
2.8500,0.0500,0.0500,295.308,-0.2833,0.0925,-0.1147,100032.00,vane25
2.9500,0.0500,0.0500,295.268,-0.2724,0.0952,-0.1208,100032.00,vane25
3.0500,0.0500,0.0500,295.231,-0.2591,0.0976,-0.1266,100032.00,vane25
3.1500,0.0500,0.0500,295.196,-0.2434,0.0996,-0.1322,100032.00,vane25
3.2500,0.0500,0.0500,295.163,-0.2252,0.1010,-0.1374,100032.00,vane25
3.3500,0.0500,0.0500,295.133,-0.2044,0.1017,-0.1423,100032.00,vane25
3.4500,0.0500,0.0500,295.107,-0.1807,0.1016,-0.1467,100032.00,vane25
3.5500,0.0500,0.0500,295.083,-0.1539,0.1007,-0.1506,100032.00,vane25
3.6500,0.0500,0.0500,295.064,-0.1239,0.0986,-0.1536,100032.00,vane25
3.7500,0.0500,0.0500,295.048,-0.0902,0.0953,-0.1552,100032.00,vane25
3.8500,0.0500,0.0500,295.038,-0.0521,0.0906,-0.1542,100032.00,vane25
3.9500,0.0500,0.0500,295.037,-0.0226,0.0841,-0.1457,100032.00,vane25
4.0500,0.0500,0.0500,295.037,0.0225,0.0840,-0.1457,100032.00,vane25
4.1500,0.0500,0.0500,295.038,0.0520,0.0906,-0.1542,100032.00,vane25
4.2500,0.0500,0.0500,295.048,0.0901,0.0953,-0.1552,100032.00,vane25
4.3500,0.0500,0.0500,295.063,0.1238,0.0986,-0.1535,100032.00,vane25
4.4500,0.0500,0.0500,295.083,0.1539,0.1006,-0.1505,100032.00,vane25
4.5500,0.0500,0.0500,295.107,0.1806,0.1016,-0.1467,100032.00,vane25
4.6500,0.0500,0.0500,295.133,0.2043,0.1017,-0.1422,100032.00,vane25
4.7500,0.0500,0.0500,295.163,0.2252,0.1009,-0.1374,100032.00,vane25
4.8500,0.0500,0.0500,295.195,0.2434,0.0995,-0.1321,100032.00,vane25
4.9500,0.0500,0.0500,295.230,0.2591,0.0976,-0.1266,100032.00,vane25
5.0500,0.0500,0.0500,295.268,0.2723,0.0952,-0.1208,100032.00,vane25
5.1500,0.0500,0.0500,295.308,0.2832,0.0924,-0.1147,100032.00,vane25
5.2500,0.0500,0.0500,295.350,0.2918,0.0894,-0.1085,100032.00,vane25
5.3500,0.0500,0.0500,295.394,0.2980,0.0860,-0.1021,100032.00,vane25
5.4500,0.0500,0.0500,295.440,0.3018,0.0825,-0.0956,100032.00,vane25
5.5500,0.0500,0.0500,295.488,0.3034,0.0787,-0.0891,100032.00,vane25
5.6500,0.0500,0.0500,295.537,0.3028,0.0748,-0.0826,100032.00,vane25
5.7500,0.0500,0.0500,295.590,0.3002,0.0707,-0.0762,100032.00,vane25
2.2500,0.1500,0.0500,295.463,-0.2900,0.1302,-0.0496,100032.00,vane25
2.3500,0.1500,0.0500,295.417,-0.2915,0.1379,-0.0535,100032.00,vane25
2.4500,0.1500,0.0500,295.372,-0.2911,0.1453,-0.0575,100032.00,vane25
2.5500,0.1500,0.0500,295.330,-0.2885,0.1525,-0.0616,100032.00,vane25
2.6500,0.1500,0.0500,295.289,-0.2838,0.1594,-0.0657,100032.00,vane25
2.7500,0.1500,0.0500,295.250,-0.2767,0.1660,-0.0697,100032.00,vane25
2.8500,0.1500,0.0500,295.213,-0.2673,0.1722,-0.0736,100032.00,vane25
2.9500,0.1500,0.0500,295.178,-0.2557,0.1779,-0.0773,100032.00,vane25
3.0500,0.1500,0.0500,295.145,-0.2418,0.1830,-0.0809,100032.00,vane25
3.1500,0.1500,0.0500,295.115,-0.2257,0.1875,-0.0843,100032.00,vane25
3.2500,0.1500,0.0500,295.086,-0.2072,0.1911,-0.0874,100032.00,vane25
3.3500,0.1500,0.0500,295.060,-0.1865,0.1936,-0.0903,100032.00,vane25
3.4500,0.1500,0.0500,295.037,-0.1632,0.1950,-0.0929,100032.00,vane25
3.5500,0.1500,0.0500,295.016,-0.1374,0.1949,-0.0951,100032.00,vane25
3.6500,0.1500,0.0500,294.997,-0.1089,0.1932,-0.0968,100032.00,vane25
3.7500,0.1500,0.0500,294.983,-0.0777,0.1898,-0.0975,100032.00,vane25
3.8500,0.1500,0.0500,294.973,-0.0433,0.1846,-0.0959,100032.00,vane25
3.9500,0.1500,0.0500,294.971,-0.0171,0.1775,-0.0894,100032.00,vane25
4.0500,0.1500,0.0500,294.971,0.0169,0.1774,-0.0894,100032.00,vane25
4.1500,0.1500,0.0500,294.973,0.0431,0.1846,-0.0960,100032.00,vane25
4.2500,0.1500,0.0500,294.982,0.0776,0.1897,-0.0975,100032.00,vane25
4.3500,0.1500,0.0500,294.997,0.1088,0.1932,-0.0968,100032.00,vane25
4.4500,0.1500,0.0500,295.015,0.1373,0.1949,-0.0951,100032.00,vane25
4.5500,0.1500,0.0500,295.036,0.1632,0.1949,-0.0929,100032.00,vane25
4.6500,0.1500,0.0500,295.060,0.1864,0.1936,-0.0903,100032.00,vane25
4.7500,0.1500,0.0500,295.086,0.2072,0.1910,-0.0874,100032.00,vane25
4.8500,0.1500,0.0500,295.114,0.2256,0.1874,-0.0843,100032.00,vane25
4.9500,0.1500,0.0500,295.145,0.2417,0.1830,-0.0809,100032.00,vane25
5.0500,0.1500,0.0500,295.178,0.2556,0.1778,-0.0773,100032.00,vane25
5.1500,0.1500,0.0500,295.213,0.2673,0.1721,-0.0736,100032.00,vane25
5.2500,0.1500,0.0500,295.249,0.2766,0.1660,-0.0697,100032.00,vane25
5.3500,0.1500,0.0500,295.288,0.2837,0.1594,-0.0657,100032.00,vane25
5.4500,0.1500,0.0500,295.329,0.2885,0.1525,-0.0616,100032.00,vane25
5.5500,0.1500,0.0500,295.372,0.2911,0.1453,-0.0575,100032.00,vane25
5.6500,0.1500,0.0500,295.416,0.2915,0.1378,-0.0535,100032.00,vane25
5.7500,0.1500,0.0500,295.462,0.2901,0.1302,-0.0496,100032.00,vane25
2.2500,0.2500,0.0500,295.415,-0.2754,0.1840,-0.0340,100032.00,vane25
2.3500,0.2500,0.0500,295.373,-0.2762,0.1936,-0.0364,100032.00,vane25
2.4500,0.2500,0.0500,295.332,-0.2753,0.2029,-0.0390,100032.00,vane25
2.5500,0.2500,0.0500,295.293,-0.2724,0.2119,-0.0417,100032.00,vane25
2.6500,0.2500,0.0500,295.256,-0.2672,0.2205,-0.0444,100032.00,vane25
2.7500,0.2500,0.0500,295.220,-0.2599,0.2287,-0.0470,100032.00,vane25
2.8500,0.2500,0.0500,295.187,-0.2503,0.2363,-0.0495,100032.00,vane25
2.9500,0.2500,0.0500,295.156,-0.2387,0.2432,-0.0519,100032.00,vane25
3.0500,0.2500,0.0500,295.126,-0.2249,0.2493,-0.0542,100032.00,vane25
3.1500,0.2500,0.0500,295.099,-0.2092,0.2544,-0.0563,100032.00,vane25
3.2500,0.2500,0.0500,295.074,-0.1914,0.2583,-0.0582,100032.00,vane25
3.3500,0.2500,0.0500,295.051,-0.1716,0.2608,-0.0600,100032.00,vane25
3.4500,0.2500,0.0500,295.030,-0.1497,0.2616,-0.0616,100032.00,vane25
