run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
17_L3,tier0_canopy_mid,0,300,-0.8,1.75,0.675,0.10697,-0.40868,-0.15926,0.45147,298.275,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.8,0.675,0.017914,-0.42662,-0.28106,0.51119,298.332,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.8,0.675,0.136,-0.43863,-0.25657,0.52604,298.33,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.75,0.675,0.178,-0.41419,-0.11823,0.46607,298.285,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.8,0.675,0.22,-0.4273,-0.19081,0.5171,298.329,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.85,0.675,-0.18299,-0.072318,0.020446,0.19782,298.383,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.9,0.675,-0.14672,-0.039871,-0.0035497,0.15208,298.339,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.85,0.675,-0.1928,-0.097311,-0.018039,0.21672,298.375,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.85,0.675,-0.2103,-0.13416,-0.049443,0.2543,298.359,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.9,0.675,-0.16463,-0.058641,-0.04839,0.18134,298.331,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.9,0.675,-0.19817,-0.088317,-0.082313,0.23205,298.321,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.85,0.675,-0.23169,-0.18067,-0.085947,0.30612,298.349,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.85,0.675,-0.23906,-0.24051,-0.14696,0.36958,298.346,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.9,0.675,-0.24042,-0.12765,-0.13167,0.30238,298.318,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.9,0.675,-0.2659,-0.18057,-0.23384,0.39748,298.329,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.85,0.675,-0.20334,-0.31323,-0.24486,0.44656,298.353,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.85,0.675,-0.11671,-0.38226,-0.36945,0.54427,298.367,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.9,0.675,-0.23363,-0.24365,-0.39618,0.52049,298.353,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.9,0.675,-0.1365,-0.30394,-0.58495,0.67318,298.387,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.85,0.675,0.024235,-0.42379,-0.44979,0.61846,298.38,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.85,0.675,0.17087,-0.42645,-0.40787,0.61434,298.382,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.9,0.675,0.031424,-0.33921,-0.69725,0.77602,298.418,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.9,0.675,0.21081,-0.3381,-0.62213,0.73878,298.426,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.85,0.675,0.27121,-0.40177,-0.30075,0.57046,298.374,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.9,0.675,0.32906,-0.31403,-0.4509,0.64047,298.415,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.95,0.675,-0.12348,-0.0010288,-0.013018,0.12417,298.301,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,2.0,0.675,-0.11115,0.035963,0.0012343,0.11683,298.285,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.95,0.675,-0.14486,-0.0056523,-0.065592,0.15912,298.292,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.95,0.675,-0.18614,-0.017667,-0.10836,0.21611,298.282,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,2.0,0.675,-0.12804,0.046576,-0.055676,0.14718,298.273,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,2.0,0.675,-0.15986,0.055214,-0.10333,0.1982,298.26,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.95,0.675,-0.24168,-0.03384,-0.18287,0.30496,298.287,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.95,0.675,-0.27728,-0.050732,-0.35015,0.44952,298.311,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,2.0,0.675,-0.19844,0.065672,-0.19145,0.28345,298.262,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,2.0,0.675,-0.22349,0.08643,-0.41913,0.48279,298.287,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.95,0.675,-0.24382,-0.072707,-0.599,0.65079,298.351,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.95,0.675,-0.13523,-0.11689,-0.84271,0.86146,298.402,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,2.0,0.675,-0.20619,0.10895,-0.74841,0.7839,298.333,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,2.0,0.675,-0.11786,0.098397,-0.97033,0.9824,298.389,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.95,0.675,0.054543,-0.15877,-0.95165,0.96634,298.444,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.95,0.675,0.25606,-0.17032,-0.82655,0.88191,298.453,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,2.0,0.675,0.078523,0.067669,-1.0044,1.0097,298.43,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,2.0,0.675,0.28834,0.046766,-0.85935,0.90764,298.439,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.95,0.675,0.38403,-0.16438,-0.59631,0.72807,298.439,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,2.0,0.675,0.41165,0.031978,-0.62708,0.75081,298.427,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,2.05,0.675,-0.10181,0.060947,0.028829,0.12211,298.292,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,2.05,0.675,-0.11252,0.08046,-0.028034,0.14114,298.279,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,2.05,0.675,-0.12781,0.10118,-0.073625,0.17887,298.257,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,2.05,0.675,-0.13862,0.12181,-0.1478,0.23643,298.25,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,2.05,0.675,-0.14391,0.14589,-0.35742,0.412,298.263,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,2.05,0.675,-0.14602,0.18389,-0.67358,0.71334,298.301,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,2.05,0.675,-0.094671,0.23204,-0.83695,0.87367,298.351,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,2.05,0.675,0.084234,0.25518,-0.81677,0.85984,298.386,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,2.05,0.675,0.28147,0.243,-0.69635,0.78942,298.398,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,2.05,0.675,0.39076,0.21681,-0.50891,0.67727,298.396,1,1
