run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
10_S2,tier0_canopy_mid,0,300,-1.2,1.6,0.675,0,0,0,0,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.15,1.6,0.675,-3.0015e-17,2.3438e-18,2.4347e-17,3.8719e-17,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.1,1.6,0.675,0,0,0,0,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.05,1.6,0.675,-0.087407,0.037847,0.081844,0.12558,298.252,1,1
10_S2,tier0_canopy_mid,0,300,-1.0,1.6,0.675,-0.095313,0.045138,0.089465,0.1383,298.215,1,1
10_S2,tier0_canopy_mid,0,300,-0.95,1.6,0.675,-0.10006,0.04801,0.093457,0.14509,298.205,1,1
10_S2,tier0_canopy_mid,0,300,-0.9,1.6,0.675,-0.10001,0.05029,0.096948,0.14809,298.196,1,1
10_S2,tier0_canopy_mid,0,300,-0.85,1.6,0.675,-0.098975,0.052118,0.10018,0.15016,298.185,1,1
10_S2,tier0_canopy_mid,0,300,-0.8,1.6,0.675,-0.097522,0.053237,0.10308,0.15156,298.176,1,1
10_S2,tier0_canopy_mid,0,300,-0.75,1.6,0.675,-0.096054,0.053289,0.10578,0.1525,298.171,1,1
10_S2,tier0_canopy_mid,0,300,-1.2,1.65,0.675,0,0,0,0,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.2,1.7,0.675,0,0,0,0,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.05,1.65,0.675,-0.031005,0.050471,0.029292,0.06608,298.407,1,1
10_S2,tier0_canopy_mid,0,300,-1.1,1.65,0.675,0,0,0,0,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.0,1.65,0.675,-0.038129,0.041591,0.036442,0.067169,298.363,1,1
10_S2,tier0_canopy_mid,0,300,-1.05,1.7,0.675,0.0022071,0.04775,0.0047834,0.04804,298.498,1,1
10_S2,tier0_canopy_mid,0,300,-1.1,1.7,0.675,0,0,0,0,302,1,1
10_S2,tier0_canopy_mid,0,300,-1.0,1.7,0.675,0.0058422,0.029958,0.0069826,0.031311,298.457,1,1
10_S2,tier0_canopy_mid,0,300,-0.95,1.65,0.675,-0.044617,0.035789,0.040596,0.07014,298.368,1,1
10_S2,tier0_canopy_mid,0,300,-0.9,1.65,0.675,-0.044764,0.033776,0.044803,0.071777,298.371,1,1
10_S2,tier0_canopy_mid,0,300,-0.95,1.7,0.675,0.0041128,0.018959,0.0094085,0.021561,298.462,1,1
10_S2,tier0_canopy_mid,0,300,-0.9,1.7,0.675,0.0059625,0.013258,0.012893,0.019431,298.469,1,1
10_S2,tier0_canopy_mid,0,300,-0.85,1.65,0.675,-0.044087,0.033407,0.048672,0.073679,298.372,1,1
10_S2,tier0_canopy_mid,0,300,-0.8,1.65,0.675,-0.043003,0.033081,0.051878,0.075066,298.375,1,1
10_S2,tier0_canopy_mid,0,300,-0.85,1.7,0.675,0.0079272,0.010478,0.016527,0.021114,298.478,1,1
10_S2,tier0_canopy_mid,0,300,-0.8,1.7,0.675,0.010197,0.0086433,0.020075,0.024118,298.489,1,1
10_S2,tier0_canopy_mid,0,300,-0.75,1.65,0.675,-0.04221,0.031853,0.054493,0.075933,298.384,1,1
10_S2,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.012163,0.0065048,0.023461,0.027216,298.507,1,1
