x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8617,0.1464,0.4858,0.1312,25.75
60.0,60.0,110.0,0.1616,0.9160,-0.3672,0.0797,25.91
60.0,120.0,110.0,0.5413,0.8265,-0.1550,0.1188,26.02
60.0,180.0,110.0,0.6727,0.7337,0.0956,0.1020,26.10
120.0,0.0,110.0,-0.8382,0.0798,0.5394,0.1658,25.67
120.0,60.0,110.0,-0.2766,0.8051,-0.5247,0.0692,25.95
120.0,120.0,110.0,0.4571,0.8309,-0.3172,0.0813,26.21
120.0,180.0,110.0,0.7922,0.5301,-0.3023,0.1213,26.21
120.0,240.0,110.0,0.8494,0.3795,-0.3668,0.0968,26.28
120.0,360.0,110.0,0.2480,-0.1766,0.9525,0.0669,26.02
180.0,0.0,110.0,-0.7654,0.0575,0.6410,0.1922,25.62
180.0,60.0,110.0,-0.4722,0.7301,-0.4939,0.0721,26.04
180.0,180.0,110.0,0.9405,0.2175,-0.2609,0.1124,26.36
180.0,240.0,110.0,0.9582,-0.0058,-0.2861,0.1135,26.43
180.0,300.0,110.0,0.8659,-0.4306,-0.2546,0.0734,26.38
240.0,0.0,110.0,-0.6737,0.0554,0.7369,0.2048,25.63
240.0,60.0,110.0,-0.5793,0.7023,-0.4138,0.0711,26.15
240.0,180.0,110.0,0.9816,-0.0605,-0.1812,0.1174,26.47
240.0,240.0,110.0,0.9546,-0.2817,-0.0972,0.1125,26.53
240.0,300.0,110.0,0.7339,-0.6736,0.0882,0.0772,26.50
240.0,360.0,110.0,0.5475,-0.8275,-0.1244,0.0639,26.42
240.0,480.0,110.0,0.1019,-0.2404,0.9653,0.0700,26.07
300.0,0.0,110.0,-0.5464,0.0472,0.8362,0.1968,25.70
300.0,120.0,110.0,0.9144,-0.4035,-0.0315,0.0563,26.55
300.0,180.0,110.0,0.9197,-0.3896,-0.0487,0.1025,26.58
300.0,240.0,110.0,0.8722,-0.4569,0.1746,0.0846,26.60
300.0,300.0,110.0,0.5538,-0.7956,0.2455,0.0754,26.58
300.0,360.0,110.0,0.2966,-0.9547,0.0246,0.0691,26.51
300.0,420.0,110.0,0.1535,-0.9296,-0.3351,0.0588,26.36
360.0,0.0,110.0,-0.2704,0.0117,0.9627,0.1662,25.83
360.0,120.0,110.0,0.2551,-0.3694,-0.8936,0.2043,26.03
360.0,180.0,110.0,0.0381,-0.0962,-0.9946,0.5728,24.08
360.0,240.0,110.0,0.3132,-0.1367,-0.9398,0.0978,26.27
360.0,540.0,110.0,-0.0155,-0.0290,0.9995,0.1356,26.18
420.0,0.0,110.0,0.2704,0.0117,0.9627,0.1662,25.83
420.0,120.0,110.0,-0.2552,-0.3694,-0.8936,0.2043,26.03
420.0,180.0,110.0,-0.0381,-0.0962,-0.9946,0.5728,24.08
420.0,240.0,110.0,-0.3132,-0.1367,-0.9398,0.0978,26.27
420.0,360.0,110.0,-0.1282,-0.9412,0.3125,0.0565,26.56
420.0,540.0,110.0,0.0232,-0.0289,0.9993,0.1343,26.17
480.0,0.0,110.0,0.5464,0.0472,0.8362,0.1968,25.70
480.0,120.0,110.0,-0.9144,-0.4035,-0.0315,0.0563,26.55
480.0,180.0,110.0,-0.9197,-0.3896,-0.0487,0.1025,26.58
480.0,240.0,110.0,-0.8722,-0.4569,0.1746,0.0846,26.60
480.0,300.0,110.0,-0.5941,-0.7727,0.2236,0.0773,26.57
480.0,360.0,110.0,-0.3385,-0.9409,0.0090,0.0698,26.50
480.0,420.0,110.0,-0.1656,-0.9280,-0.3338,0.0596,26.36
480.0,540.0,110.0,0.0679,-0.0379,0.9970,0.1572,26.17
540.0,0.0,110.0,0.6737,0.0554,0.7369,0.2048,25.63
540.0,60.0,110.0,0.5793,0.7023,-0.4138,0.0711,26.15
540.0,180.0,110.0,-0.9816,-0.0605,-0.1812,0.1174,26.47
540.0,240.0,110.0,-0.9546,-0.2817,-0.0972,0.1125,26.53
540.0,300.0,110.0,-0.7694,-0.6374,0.0417,0.0770,26.49
540.0,360.0,110.0,-0.5813,-0.7921,-0.1862,0.0613,26.39
540.0,480.0,110.0,-0.0819,-0.2078,0.9747,0.0761,26.06
600.0,0.0,110.0,0.7777,0.0652,0.6253,0.1843,25.63
600.0,60.0,110.0,0.4516,0.7368,-0.5032,0.0715,26.03
600.0,120.0,110.0,-0.4288,0.8813,-0.1985,0.0593,26.29
600.0,180.0,110.0,-0.9210,0.2824,-0.2685,0.1119,26.33
600.0,240.0,110.0,-0.9456,0.0783,-0.3159,0.1122,26.40
600.0,300.0,110.0,-0.8814,-0.3598,-0.3061,0.0695,26.36
600.0,480.0,110.0,0.0656,-0.0740,0.9951,0.1708,26.18
660.0,0.0,110.0,0.8433,0.0845,0.5308,0.1623,25.67
660.0,60.0,110.0,0.1946,0.8256,-0.5296,0.0704,25.95
660.0,120.0,110.0,-0.4814,0.8122,-0.3297,0.0885,26.19
660.0,180.0,110.0,-0.7620,0.5807,-0.2867,0.1233,26.18
660.0,240.0,110.0,-0.8358,0.4224,-0.3508,0.0929,26.26
660.0,360.0,110.0,-0.0716,-0.1514,0.9859,0.0984,26.02
720.0,0.0,110.0,0.8507,0.1654,0.4990,0.1280,25.76
720.0,60.0,110.0,-0.2154,0.9479,-0.2348,0.0831,25.90
720.0,120.0,110.0,-0.5433,0.8391,-0.0271,0.1208,26.00
720.0,180.0,110.0,-0.6415,0.7191,0.2671,0.0927,26.11
720.0,240.0,110.0,-0.2796,0.0635,0.9580,0.0648,26.19
720.0,300.0,110.0,0.0556,-0.1638,0.9849,0.1389,26.23
780.0,0.0,110.0,0.3090,0.3363,0.8896,0.1409,25.96
780.0,60.0,110.0,-0.0468,0.6830,0.7289,0.1669,26.08
780.0,120.0,110.0,-0.1413,0.5021,0.8532,0.1607,26.28
