x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8312,0.0952,0.5478,0.1633,23.87
60.0,60.0,110.0,0.1150,0.9189,-0.3773,0.0852,23.89
60.0,120.0,110.0,0.4732,0.8615,-0.1840,0.1292,23.98
60.0,180.0,110.0,0.5524,0.8273,0.1021,0.1083,24.02
60.0,240.0,110.0,0.4336,0.5253,0.7321,0.0568,24.13
120.0,0.0,110.0,-0.8193,0.0411,0.5719,0.1990,23.83
120.0,60.0,110.0,-0.4210,0.7930,-0.4405,0.0686,24.00
120.0,120.0,110.0,0.4333,0.8295,-0.3524,0.0812,24.20
120.0,180.0,110.0,0.7138,0.5953,-0.3691,0.1222,24.18
120.0,240.0,110.0,0.7023,0.5252,-0.4805,0.1083,24.19
120.0,300.0,110.0,0.7769,0.4576,-0.4326,0.0533,24.25
120.0,360.0,110.0,0.2093,0.0022,0.9779,0.0633,24.19
180.0,0.0,110.0,-0.7647,0.0293,0.6437,0.2236,23.83
180.0,60.0,110.0,-0.6588,0.7166,-0.2291,0.0654,24.14
180.0,120.0,110.0,0.6681,0.7275,-0.1563,0.0487,24.29
180.0,180.0,110.0,0.9318,0.1790,-0.3159,0.1060,24.33
180.0,240.0,110.0,0.8753,0.1154,-0.4695,0.1187,24.39
180.0,300.0,110.0,0.8886,0.0281,-0.4579,0.0827,24.43
240.0,0.0,110.0,-0.7000,0.0277,0.7136,0.2280,23.85
240.0,60.0,110.0,-0.8392,0.5438,0.0029,0.0576,24.32
240.0,180.0,110.0,0.9434,-0.2291,-0.2396,0.1128,24.45
240.0,240.0,110.0,0.9338,-0.2021,-0.2953,0.1150,24.52
240.0,300.0,110.0,0.9377,-0.3307,-0.1068,0.0709,24.50
240.0,360.0,110.0,0.8320,-0.5499,-0.0734,0.0446,24.44
240.0,480.0,110.0,0.1771,-0.0212,0.9840,0.0588,24.20
300.0,0.0,110.0,-0.5972,0.0169,0.8019,0.2055,23.91
300.0,120.0,110.0,0.7222,-0.6883,-0.0685,0.0834,24.48
300.0,180.0,110.0,0.7927,-0.5988,-0.1143,0.1046,24.56
300.0,240.0,110.0,0.8780,-0.4743,-0.0638,0.0824,24.57
300.0,300.0,110.0,0.7981,-0.5941,0.1000,0.0546,24.50
360.0,0.0,110.0,-0.3005,-0.0221,0.9535,0.1629,23.99
360.0,60.0,110.0,0.1330,-0.7683,-0.6262,0.0636,24.49
360.0,120.0,110.0,0.1936,-0.3806,-0.9043,0.2452,23.86
360.0,180.0,110.0,0.0265,-0.1405,-0.9897,0.5483,22.39
360.0,240.0,110.0,0.3207,-0.3330,-0.8867,0.0676,24.32
360.0,540.0,110.0,0.0376,0.0001,0.9993,0.1431,24.43
420.0,0.0,110.0,0.3005,-0.0221,0.9535,0.1629,23.99
420.0,60.0,110.0,-0.1330,-0.7683,-0.6262,0.0636,24.49
420.0,120.0,110.0,-0.1936,-0.3806,-0.9043,0.2452,23.86
420.0,180.0,110.0,-0.0265,-0.1405,-0.9897,0.5484,22.39
420.0,240.0,110.0,-0.3207,-0.3330,-0.8867,0.0677,24.32
420.0,540.0,110.0,-0.0452,0.0065,0.9990,0.1404,24.42
480.0,0.0,110.0,0.5972,0.0169,0.8019,0.2055,23.91
480.0,120.0,110.0,-0.7222,-0.6883,-0.0685,0.0834,24.48
480.0,180.0,110.0,-0.7927,-0.5988,-0.1143,0.1046,24.56
480.0,240.0,110.0,-0.8780,-0.4743,-0.0638,0.0824,24.57
480.0,300.0,110.0,-0.8377,-0.5422,0.0646,0.0590,24.50
480.0,540.0,110.0,-0.0199,0.0203,0.9996,0.1662,24.47
540.0,0.0,110.0,0.7000,0.0277,0.7136,0.2280,23.85
540.0,60.0,110.0,0.8392,0.5438,0.0028,0.0577,24.32
540.0,180.0,110.0,-0.9434,-0.2291,-0.2397,0.1128,24.45
540.0,240.0,110.0,-0.9338,-0.2021,-0.2953,0.1150,24.52
540.0,300.0,110.0,-0.9468,-0.2778,-0.1624,0.0742,24.50
540.0,480.0,110.0,-0.1487,-0.0086,0.9888,0.0656,24.20
600.0,0.0,110.0,0.7758,0.0341,0.6300,0.2155,23.82
600.0,60.0,110.0,0.6306,0.7297,-0.2644,0.0662,24.12
600.0,120.0,110.0,-0.5732,0.7975,-0.1884,0.0531,24.27
600.0,180.0,110.0,-0.9085,0.2660,-0.3223,0.1058,24.31
600.0,240.0,110.0,-0.8470,0.2067,-0.4898,0.1186,24.35
600.0,300.0,110.0,-0.8588,0.1123,-0.4999,0.0810,24.40
600.0,480.0,110.0,0.0593,-0.0419,0.9974,0.1841,24.51
660.0,0.0,110.0,0.8232,0.0444,0.5660,0.1952,23.83
