x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8189,0.0857,0.5675,0.1698,23.40
60.0,60.0,110.0,0.1172,0.9418,-0.3151,0.0836,23.37
60.0,120.0,110.0,0.4618,0.8751,-0.1445,0.1258,23.44
60.0,180.0,110.0,0.5232,0.8422,0.1301,0.0967,23.48
60.0,240.0,110.0,0.3517,0.4935,0.7955,0.0526,23.62
120.0,0.0,110.0,-0.8163,0.0338,0.5766,0.2032,23.36
120.0,60.0,110.0,-0.4109,0.7985,-0.4400,0.0645,23.48
120.0,120.0,110.0,0.4772,0.7922,-0.3805,0.0824,23.66
120.0,180.0,110.0,0.6915,0.5944,-0.4106,0.1180,23.64
120.0,240.0,110.0,0.6448,0.5234,-0.5571,0.1011,23.65
120.0,300.0,110.0,0.6963,0.4931,-0.5215,0.0471,23.72
120.0,360.0,110.0,0.1562,0.0282,0.9873,0.0662,23.69
180.0,0.0,110.0,-0.7656,0.0223,0.6430,0.2258,23.36
180.0,60.0,110.0,-0.6856,0.7002,-0.1989,0.0563,23.61
180.0,120.0,110.0,0.7930,0.5801,-0.1860,0.0486,23.73
180.0,180.0,110.0,0.9190,0.1338,-0.3709,0.1040,23.79
180.0,240.0,110.0,0.8225,0.1107,-0.5578,0.1135,23.86
180.0,300.0,110.0,0.8317,0.0939,-0.5472,0.0768,23.90
240.0,0.0,110.0,-0.7039,0.0203,0.7101,0.2276,23.39
240.0,60.0,110.0,-0.8933,0.4488,0.0239,0.0470,23.77
240.0,120.0,110.0,0.9676,-0.2192,-0.1257,0.0530,23.81
240.0,180.0,110.0,0.9141,-0.2883,-0.2853,0.1129,23.92
240.0,240.0,110.0,0.9070,-0.1905,-0.3757,0.1078,24.01
240.0,300.0,110.0,0.9585,-0.2523,-0.1325,0.0628,23.96
240.0,480.0,110.0,0.1796,0.0200,0.9835,0.0590,23.70
300.0,0.0,110.0,-0.6040,0.0091,0.7969,0.2005,23.45
300.0,120.0,110.0,0.7160,-0.6961,-0.0521,0.0885,23.93
300.0,180.0,110.0,0.7769,-0.6172,-0.1246,0.1017,24.04
300.0,240.0,110.0,0.8737,-0.4807,-0.0747,0.0742,24.04
300.0,300.0,110.0,0.8331,-0.5500,0.0587,0.0478,23.95
360.0,0.0,110.0,-0.3065,-0.0292,0.9514,0.1537,23.52
360.0,60.0,110.0,0.1472,-0.7978,-0.5847,0.0661,23.91
360.0,120.0,110.0,0.1886,-0.3906,-0.9010,0.2467,23.33
360.0,180.0,110.0,0.0295,-0.1455,-0.9889,0.5261,22.07
360.0,240.0,110.0,0.2607,-0.3261,-0.9087,0.0704,23.78
360.0,540.0,110.0,0.0395,0.0068,0.9992,0.1429,23.95
420.0,0.0,110.0,0.3065,-0.0293,0.9514,0.1537,23.52
420.0,60.0,110.0,-0.1470,-0.7978,-0.5848,0.0661,23.91
420.0,120.0,110.0,-0.1886,-0.3905,-0.9011,0.2467,23.33
420.0,180.0,110.0,-0.0296,-0.1455,-0.9889,0.5260,22.07
420.0,240.0,110.0,-0.2608,-0.3261,-0.9087,0.0704,23.78
420.0,540.0,110.0,-0.0473,0.0134,0.9988,0.1401,23.94
480.0,0.0,110.0,0.6040,0.0091,0.7969,0.2005,23.45
480.0,120.0,110.0,-0.7160,-0.6962,-0.0521,0.0885,23.93
480.0,180.0,110.0,-0.7769,-0.6172,-0.1246,0.1017,24.04
480.0,240.0,110.0,-0.8738,-0.4806,-0.0748,0.0742,24.04
480.0,300.0,110.0,-0.8694,-0.4927,0.0376,0.0519,23.95
480.0,540.0,110.0,-0.0194,0.0247,0.9995,0.1689,24.00
540.0,0.0,110.0,0.7039,0.0203,0.7100,0.2276,23.39
540.0,60.0,110.0,0.8933,0.4489,0.0239,0.0470,23.77
540.0,120.0,110.0,-0.9676,-0.2192,-0.1257,0.0530,23.81
540.0,180.0,110.0,-0.9141,-0.2883,-0.2852,0.1129,23.92
540.0,240.0,110.0,-0.9070,-0.1905,-0.3757,0.1078,24.01
540.0,300.0,110.0,-0.9599,-0.1962,-0.2001,0.0660,23.97
540.0,480.0,110.0,-0.1500,0.0270,0.9883,0.0661,23.70
600.0,0.0,110.0,0.7766,0.0265,0.6295,0.2178,23.35
600.0,60.0,110.0,0.6518,0.7204,-0.2372,0.0576,23.59
600.0,120.0,110.0,-0.6926,0.6877,-0.2175,0.0524,23.72
600.0,180.0,110.0,-0.8975,0.2299,-0.3764,0.1037,23.77
600.0,240.0,110.0,-0.7926,0.2032,-0.5749,0.1133,23.82
600.0,300.0,110.0,-0.7903,0.1672,-0.5895,0.0756,23.87
600.0,480.0,110.0,0.0500,-0.0294,0.9983,0.1906,24.07
660.0,0.0,110.0,0.8197,0.0370,0.5715,0.1996,23.36
660.0,60.0,110.0,0.3025,0.8213,-0.4837,0.0667,23.47
660.0,120.0,110.0,-0.4700,0.7866,-0.4005,0.0918,23.64
660.0,180.0,110.0,-0.6466,0.6547,-0.3914,0.1212,23.60
660.0,240.0,110.0,-0.6274,0.5705,-0.5301,0.0970,23.63
660.0,360.0,110.0,-0.0194,-0.0390,0.9991,0.1068,23.76
720.0,0.0,110.0,0.8033,0.1045,0.5863,0.1670,23.41
720.0,60.0,110.0,-0.1768,0.9768,-0.1208,0.0892,23.34
