x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8169,0.0815,0.5710,0.1760,23.23
60.0,60.0,110.0,0.1140,0.9566,-0.2683,0.0834,23.17
60.0,120.0,110.0,0.4614,0.8788,-0.1215,0.1263,23.24
60.0,180.0,110.0,0.5139,0.8439,0.1540,0.0958,23.29
60.0,240.0,110.0,0.3180,0.4900,0.8117,0.0511,23.44
120.0,0.0,110.0,-0.8178,0.0304,0.5748,0.2086,23.19
120.0,60.0,110.0,-0.3912,0.8057,-0.4448,0.0625,23.29
120.0,120.0,110.0,0.4912,0.7713,-0.4048,0.0854,23.47
120.0,180.0,110.0,0.6761,0.6045,-0.4213,0.1191,23.44
120.0,240.0,110.0,0.6175,0.5345,-0.5770,0.1006,23.46
120.0,300.0,110.0,0.6335,0.5185,-0.5744,0.0449,23.55
120.0,360.0,110.0,0.1294,0.0393,0.9908,0.0675,23.53
180.0,0.0,110.0,-0.7685,0.0186,0.6395,0.2304,23.19
180.0,60.0,110.0,-0.6801,0.7079,-0.1904,0.0510,23.42
180.0,120.0,110.0,0.8069,0.5498,-0.2160,0.0508,23.54
180.0,180.0,110.0,0.9082,0.1603,-0.3866,0.1031,23.60
180.0,240.0,110.0,0.7963,0.1360,-0.5894,0.1133,23.66
180.0,300.0,110.0,0.7885,0.1347,-0.6001,0.0755,23.71
240.0,0.0,110.0,-0.7086,0.0159,0.7055,0.2307,23.23
240.0,60.0,110.0,-0.9206,0.3846,0.0683,0.0418,23.57
240.0,120.0,110.0,0.9558,-0.2685,-0.1200,0.0544,23.61
240.0,180.0,110.0,0.9058,-0.2964,-0.3029,0.1102,23.73
240.0,240.0,110.0,0.8865,-0.1765,-0.4278,0.1078,23.81
240.0,300.0,110.0,0.9629,-0.2064,-0.1741,0.0586,23.78
240.0,480.0,110.0,0.1731,0.0498,0.9837,0.0594,23.53
300.0,0.0,110.0,-0.6115,0.0039,0.7913,0.2001,23.30
300.0,120.0,110.0,0.6850,-0.7275,-0.0390,0.0904,23.74
300.0,180.0,110.0,0.7543,-0.6384,-0.1535,0.1023,23.85
300.0,240.0,110.0,0.8693,-0.4798,-0.1190,0.0727,23.85
300.0,300.0,110.0,0.8439,-0.5338,0.0533,0.0442,23.76
360.0,0.0,110.0,-0.3138,-0.0358,0.9488,0.1494,23.39
360.0,60.0,110.0,0.1487,-0.8019,-0.5787,0.0718,23.70
360.0,120.0,110.0,0.1800,-0.4014,-0.8980,0.2554,23.13
360.0,180.0,110.0,0.0301,-0.1554,-0.9874,0.5153,21.98
360.0,240.0,110.0,0.2557,-0.3389,-0.9054,0.0685,23.60
360.0,540.0,110.0,0.0389,0.0122,0.9992,0.1424,23.80
420.0,0.0,110.0,0.3140,-0.0357,0.9488,0.1494,23.39
420.0,60.0,110.0,-0.1493,-0.8021,-0.5783,0.0717,23.70
420.0,120.0,110.0,-0.1802,-0.4015,-0.8979,0.2553,23.13
420.0,180.0,110.0,-0.0301,-0.1554,-0.9874,0.5153,21.98
420.0,240.0,110.0,-0.2556,-0.3390,-0.9054,0.0685,23.60
420.0,540.0,110.0,-0.0466,0.0188,0.9987,0.1397,23.78
480.0,0.0,110.0,0.6114,0.0039,0.7913,0.2001,23.30
480.0,120.0,110.0,-0.6851,-0.7274,-0.0390,0.0904,23.74
480.0,180.0,110.0,-0.7543,-0.6383,-0.1536,0.1024,23.85
480.0,240.0,110.0,-0.8693,-0.4798,-0.1189,0.0726,23.85
480.0,300.0,110.0,-0.8807,-0.4727,0.0297,0.0480,23.77
480.0,540.0,110.0,-0.0201,0.0274,0.9994,0.1694,23.86
540.0,0.0,110.0,0.7085,0.0159,0.7055,0.2307,23.23
540.0,120.0,110.0,-0.9558,-0.2684,-0.1200,0.0544,23.61
540.0,180.0,110.0,-0.9058,-0.2964,-0.3029,0.1102,23.73
540.0,240.0,110.0,-0.8865,-0.1765,-0.4278,0.1078,23.81
540.0,300.0,110.0,-0.9565,-0.1465,-0.2522,0.0622,23.79
540.0,480.0,110.0,-0.1444,0.0519,0.9882,0.0665,23.53
600.0,0.0,110.0,0.7792,0.0225,0.6264,0.2225,23.18
600.0,60.0,110.0,0.6412,0.7308,-0.2339,0.0525,23.40
600.0,120.0,110.0,-0.7140,0.6538,-0.2505,0.0547,23.53
600.0,180.0,110.0,-0.8840,0.2548,-0.3921,0.1034,23.58
600.0,240.0,110.0,-0.7652,0.2277,-0.6022,0.1132,23.62
600.0,300.0,110.0,-0.7425,0.2034,-0.6382,0.0743,23.68
600.0,420.0,110.0,-0.1538,0.0791,0.9849,0.0466,23.51
600.0,480.0,110.0,0.0489,-0.0254,0.9985,0.1919,23.92
660.0,0.0,110.0,0.8210,0.0337,0.5699,0.2051,23.19
660.0,60.0,110.0,0.2814,0.8272,-0.4864,0.0654,23.29
660.0,120.0,110.0,-0.4791,0.7711,-0.4194,0.0948,23.45
660.0,180.0,110.0,-0.6331,0.6632,-0.3990,0.1221,23.40
660.0,240.0,110.0,-0.6006,0.5806,-0.5498,0.0962,23.44
660.0,360.0,110.0,-0.0114,-0.0310,0.9995,0.1085,23.61
720.0,0.0,110.0,0.8006,0.1001,0.5908,0.1733,23.23
720.0,60.0,110.0,-0.1698,0.9835,-0.0633,0.0897,23.15
720.0,120.0,110.0,-0.4584,0.8867,0.0605,0.1271,23.23
720.0,180.0,110.0,-0.4639,0.7841,0.4122,0.0887,23.32
720.0,240.0,110.0,-0.1066,0.1646,0.9806,0.0787,23.52
