pid,x,y,z,T,speed
0,436.5,214.6,257.6,18.81,1.286
0,431.7,213.5,250.1,20.32,1.118
0,426.7,212.0,249.0,20.32,0.661
0,421.8,210.6,247.9,20.32,0.661
0,419.7,208.2,252.3,20.04,0.661
0,417.1,205.3,261.4,20.04,1.239
0,414.2,205.0,267.0,19.97,1.239
0,411.3,204.6,267.0,19.97,1.594
0,408.3,204.2,267.0,19.97,1.594
0,408.3,203.9,267.0,19.84,1.594
0,408.3,203.6,267.0,19.84,1.704
0,408.3,203.3,267.0,19.84,1.704
0,408.3,202.9,267.0,19.84,1.704
0,408.3,202.6,267.0,19.84,1.704
0,408.3,202.3,267.0,19.84,1.704
0,408.3,202.0,267.0,19.84,1.704
0,408.3,201.6,267.0,19.84,1.704
0,408.3,201.3,267.0,19.84,1.704
0,408.3,201.0,267.0,19.84,1.704
0,408.3,200.7,267.0,19.84,1.704
0,408.3,200.3,267.0,19.84,1.704
0,408.3,200.0,267.0,19.84,1.704
0,408.3,199.7,267.0,19.84,1.704
0,408.3,199.4,267.0,19.84,1.704
0,408.3,199.0,267.0,19.84,1.704
0,408.3,198.7,267.0,19.84,1.704
0,408.3,198.4,267.0,19.84,1.704
0,408.3,198.1,267.0,19.84,1.704
0,408.3,197.8,267.0,19.84,1.704
0,408.3,197.4,267.0,19.84,1.704
0,408.3,197.1,267.0,19.84,1.704
0,408.3,196.8,267.0,19.84,1.704
0,408.3,196.5,267.0,19.84,1.704
0,408.3,196.1,267.0,19.84,1.704
0,408.3,195.8,267.0,19.84,1.704
0,408.3,195.5,267.0,19.84,1.704
0,408.3,195.2,267.0,19.84,1.704
0,408.3,194.8,267.0,19.84,1.704
0,408.3,194.5,267.0,19.84,1.704
0,408.3,194.2,267.0,19.84,1.704
0,408.3,193.9,267.0,19.84,1.704
0,408.3,193.5,267.0,19.84,1.704
0,408.3,193.2,267.0,19.84,1.704
0,408.3,192.9,267.0,19.84,1.704
0,408.3,192.6,267.0,19.84,1.704
0,408.3,192.2,267.0,19.84,1.704
0,408.3,191.9,267.0,19.90,1.704
0,408.3,191.6,267.0,19.90,1.618
0,408.3,191.3,267.0,19.90,1.618
0,408.3,190.9,267.0,19.90,1.618
0,408.3,190.6,267.0,19.90,1.618
0,408.3,193.2,267.0,19.84,1.618
0,408.3,192.9,267.0,19.84,1.704
0,408.3,192.6,267.0,19.84,1.704
0,408.3,192.3,267.0,19.84,1.704
0,408.3,191.9,267.0,19.90,1.704
0,408.3,191.6,267.0,19.90,1.618
0,408.3,191.3,267.0,19.90,1.618
0,408.3,191.0,267.0,19.90,1.618
0,408.3,190.7,267.0,19.90,1.618
0,408.3,193.3,267.0,19.84,1.618
0,408.3,192.9,267.0,19.84,1.704
0,408.3,192.6,267.0,19.84,1.704
0,408.3,192.3,267.0,19.84,1.704
0,408.3,192.0,267.0,19.90,1.704
0,408.3,191.7,267.0,19.90,1.618
0,408.3,191.3,267.0,19.90,1.618
0,408.3,191.0,267.0,19.90,1.618
0,408.3,190.7,267.0,19.90,1.618
0,408.3,193.3,267.0,19.84,1.618
0,408.3,193.0,267.0,19.84,1.704
0,408.3,192.7,267.0,19.84,1.704
0,408.3,192.3,267.0,19.84,1.704
0,408.3,192.0,267.0,19.84,1.704
0,408.3,194.6,267.0,19.84,1.704
0,408.3,194.3,267.0,19.84,1.704
0,408.3,194.0,267.0,19.84,1.704
0,408.3,193.7,267.0,19.84,1.704
0,408.3,193.3,267.0,19.84,1.704
0,408.3,193.0,267.0,19.84,1.704
0,408.3,192.7,267.0,19.84,1.704
0,408.3,192.4,267.0,19.84,1.704
0,408.3,192.0,267.0,19.84,1.704
0,408.3,194.7,267.0,19.84,1.704
0,408.3,194.3,267.0,19.84,1.704
0,408.3,194.0,267.0,19.84,1.704
0,408.3,193.7,267.0,19.84,1.704
0,408.3,193.4,267.0,19.84,1.704
0,408.3,193.0,267.0,19.84,1.704
0,408.3,192.7,267.0,19.84,1.704
0,408.3,192.4,267.0,19.84,1.704
0,408.3,192.1,267.0,19.84,1.704
0,408.3,194.7,267.0,19.84,1.704
0,408.3,194.4,267.0,19.84,1.704
0,408.3,194.0,267.0,19.84,1.704
0,408.3,193.7,267.0,19.84,1.704
0,408.3,193.4,267.0,19.84,1.704
0,408.3,193.1,267.0,19.84,1.704
0,408.3,192.7,267.0,19.84,1.704
0,408.3,192.4,267.0,19.84,1.704
0,408.3,192.1,267.0,19.84,1.704
0,408.3,194.7,267.0,19.84,1.704
0,408.3,194.4,267.0,19.84,1.704
0,408.3,194.1,267.0,19.84,1.704
0,408.3,193.7,267.0,19.84,1.704
0,408.3,193.4,267.0,19.84,1.704
0,408.3,193.1,267.0,19.84,1.704
0,408.3,192.8,267.0,19.84,1.704
0,408.3,192.5,267.0,19.84,1.704
0,408.3,192.1,267.0,19.84,1.704
0,408.3,194.7,267.0,19.84,1.704
0,408.3,194.4,267.0,19.84,1.704
0,408.3,194.1,267.0,19.84,1.704
0,408.3,193.8,267.0,19.84,1.704
0,408.3,193.5,267.0,19.84,1.704
0,408.3,193.1,267.0,19.84,1.704
0,408.3,192.8,267.0,19.84,1.704
0,408.3,192.5,267.0,19.84,1.704
0,408.3,192.2,267.0,19.84,1.704
0,408.3,194.8,267.0,19.84,1.704
0,408.3,194.4,267.0,19.84,1.704
0,408.3,194.1,267.0,19.84,1.704
0,408.3,193.8,267.0,19.84,1.704
0,408.3,193.5,267.0,19.84,1.704
0,408.3,193.2,267.0,19.84,1.704
0,408.3,192.8,267.0,19.84,1.704
0,408.3,192.5,267.0,19.84,1.704
0,408.3,192.2,267.0,19.84,1.704
0,408.3,191.9,267.0,19.90,1.704
0,408.3,191.5,267.0,19.90,1.618
0,408.3,191.2,267.0,19.90,1.618
0,408.3,190.9,267.0,19.90,1.618
0,408.3,190.6,267.0,19.90,1.618
0,408.3,193.2,267.0,19.84,1.618
0,408.3,192.9,267.0,19.84,1.704
0,408.3,192.5,267.0,19.84,1.704
0,408.3,192.2,267.0,19.84,1.704
0,408.3,191.9,267.0,19.90,1.704
0,408.3,191.6,267.0,19.90,1.618
0,408.3,191.2,267.0,19.90,1.618
0,408.3,190.9,267.0,19.90,1.618
0,408.3,190.6,267.0,19.90,1.618
0,408.3,193.2,267.0,19.84,1.618
0,408.3,192.9,267.0,19.84,1.704
0,408.3,192.6,267.0,19.84,1.704
0,408.3,192.2,267.0,19.84,1.704
0,408.3,191.9,267.0,19.90,1.704
0,408.3,191.6,267.0,19.90,1.618
0,408.3,191.3,267.0,19.90,1.618
0,408.3,190.9,267.0,19.90,1.618
0,408.3,190.6,267.0,19.90,1.618
0,408.3,193.2,267.0,19.84,1.618
0,408.3,192.9,267.0,19.84,1.704
0,408.3,192.6,267.0,19.84,1.704
