pid,x,y,z,T,speed
0,365.2,199.7,264.4,18.73,0.842
0,371.9,199.5,263.8,19.26,0.834
0,376.9,199.3,267.0,19.98,1.010
0,381.9,199.1,267.0,19.98,1.260
0,384.9,198.9,267.0,20.51,1.260
0,387.8,198.7,267.0,20.51,1.702
0,390.7,198.4,267.0,20.51,1.702
0,393.7,198.2,267.0,20.51,1.702
0,396.6,198.0,267.0,20.64,1.702
0,396.6,197.8,267.0,20.64,1.843
0,396.6,197.6,267.0,20.64,1.843
0,396.6,197.4,267.0,20.64,1.843
0,396.6,197.2,267.0,20.64,1.843
0,396.6,197.0,267.0,20.64,1.843
0,396.6,196.8,267.0,20.64,1.843
0,396.6,196.6,267.0,20.64,1.843
0,396.6,196.5,267.0,20.64,1.843
0,396.6,196.3,267.0,20.64,1.843
0,396.6,196.1,267.0,20.64,1.843
0,396.6,195.9,267.0,20.64,1.843
0,396.6,195.7,267.0,20.64,1.843
0,396.6,195.5,267.0,20.64,1.843
0,396.6,195.3,267.0,20.64,1.843
0,396.6,195.1,267.0,20.64,1.843
0,396.6,194.9,267.0,20.64,1.843
0,396.6,194.7,267.0,20.64,1.843
0,396.6,194.5,267.0,20.64,1.843
0,396.6,194.3,267.0,20.64,1.843
0,396.6,194.2,267.0,20.64,1.843
0,396.6,194.0,267.0,20.64,1.843
0,396.6,193.8,267.0,20.64,1.843
0,396.6,193.6,267.0,20.64,1.843
0,396.6,193.4,267.0,20.64,1.843
0,396.6,193.2,267.0,20.64,1.843
0,396.6,193.0,267.0,20.64,1.843
0,396.6,192.8,267.0,20.64,1.843
0,396.6,192.6,267.0,20.64,1.843
0,396.6,192.4,267.0,20.64,1.843
0,396.6,192.2,267.0,20.64,1.843
0,396.6,192.0,267.0,20.64,1.843
0,396.6,194.8,267.0,20.64,1.843
0,396.6,194.6,267.0,20.64,1.843
0,396.6,194.4,267.0,20.64,1.843
0,396.6,194.2,267.0,20.64,1.843
0,396.6,194.0,267.0,20.64,1.843
0,396.6,193.8,267.0,20.64,1.843
0,396.6,193.6,267.0,20.64,1.843
0,396.6,193.5,267.0,20.64,1.843
0,396.6,193.3,267.0,20.64,1.843
0,396.6,193.1,267.0,20.64,1.843
0,396.6,192.9,267.0,20.64,1.843
0,396.6,192.7,267.0,20.64,1.843
0,396.6,192.5,267.0,20.64,1.843
0,396.6,192.3,267.0,20.64,1.843
0,396.6,192.1,267.0,20.64,1.843
0,396.6,191.9,267.0,20.25,1.843
