dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.955
Xp,1,0,4.4570,1.7750,2.6000,18.626
Xp,2,0,4.4570,1.8500,2.6000,18.626
Xp,3,0,4.4570,1.9250,2.6000,18.241
Xp,4,0,4.4570,2.0000,2.6000,18.297
Xp,5,0,4.4570,2.0750,2.6000,18.297
Xp,6,0,4.4570,2.1500,2.6000,18.311
Xp,7,0,4.4570,2.2250,2.6000,18.645
Xp,8,0,4.4570,2.3000,2.6000,18.645
Xp,0,1,4.4232,1.7261,2.6045,22.955
Xp,1,1,4.5321,1.7933,2.5614,20.143
Xp,2,1,4.5681,1.8505,2.5642,19.405
Xp,3,1,4.5681,1.9255,2.5642,19.405
Xp,4,1,4.5678,1.9968,2.5640,19.481
Xp,5,1,4.5678,2.0718,2.5640,19.481
Xp,6,1,4.5611,2.1372,2.5601,19.532
Xp,7,1,4.5332,2.2058,2.5623,19.532
Xp,8,1,4.5332,2.2808,2.5623,20.293
Xp,0,2,4.5240,1.7402,2.5546,20.143
Xp,1,2,4.5697,1.8073,2.5392,20.143
Xp,2,2,4.6150,1.8512,2.5601,19.207
Xp,3,2,4.6150,1.9262,2.5601,19.207
Xp,4,2,4.6158,1.9904,2.5582,19.294
Xp,5,2,4.6158,2.0654,2.5582,19.294
Xp,6,2,4.6127,2.1231,2.5438,19.534
Xp,7,2,4.5848,2.1916,2.5461,19.532
Xp,8,2,4.5687,2.2653,2.5430,20.293
Xp,0,3,4.5616,1.7542,2.5324,20.143
Xp,1,3,4.6074,1.8213,2.5170,20.143
Xp,2,3,4.6719,1.8528,2.5535,19.207
Xp,3,3,4.6719,1.9278,2.5535,19.207
Xp,4,3,4.6733,1.9836,2.5498,19.294
Xp,5,3,4.6733,2.0586,2.5498,19.294
Xp,6,3,4.6694,2.1096,2.5265,19.534
Xp,7,3,4.6415,2.1782,2.5288,19.534
Xp,8,3,4.6042,2.2497,2.5237,20.293
Xp,0,4,4.5992,1.7682,2.5102,20.143
Xp,1,4,4.6433,1.8321,2.4975,20.387
Xp,2,4,4.7287,1.8543,2.5468,19.207
Xp,3,4,4.7287,1.9293,2.5468,19.207
Xp,4,4,4.7307,1.9768,2.5414,19.215
Xp,5,4,4.7307,2.0518,2.5414,19.215
Xp,6,4,4.7260,2.0961,2.5093,19.534
Xp,7,4,4.6982,2.1647,2.5115,19.534
Xp,8,4,4.6383,2.2373,2.5074,20.565
Xp,0,5,4.6351,1.7790,2.4908,20.387
Xp,1,5,4.6792,1.8429,2.4781,20.387
Xp,2,5,4.7929,1.8560,2.5370,19.106
Xp,3,5,4.7929,1.9310,2.5370,19.106
Xp,4,5,4.7947,1.9701,2.5300,19.215
Xp,5,5,4.7947,2.0451,2.5300,19.215
Xp,6,5,4.7900,2.0895,2.4979,19.215
Xp,7,5,4.7548,2.1513,2.4942,19.662
Xp,8,5,4.6724,2.2249,2.4911,20.565
Xp,0,6,4.6710,1.7898,2.4714,20.387
Xp,1,6,4.7151,1.8537,2.4587,19.207
Xp,2,6,4.8571,1.8577,2.5272,19.088
Xp,3,6,4.8571,1.9327,2.5272,19.088
Xp,4,6,4.8589,1.9717,2.5202,19.268
Xp,5,6,4.8587,2.0384,2.5187,19.268
Xp,6,6,4.8540,2.0828,2.4865,19.268
Xp,7,6,4.8125,2.1391,2.4768,19.662
Xp,8,6,4.7065,2.2125,2.4748,20.565
Xp,0,7,4.7069,1.8006,2.4520,20.387
Xp,1,7,4.7793,1.8554,2.4489,20.143
Xp,2,7,4.9292,1.8588,2.5132,19.088
Xp,3,7,4.9292,1.9338,2.5132,19.088
Xp,4,7,4.9309,1.9728,2.5063,19.268
Xp,5,7,4.9285,2.0325,2.5039,19.268
Xp,6,7,4.9238,2.0769,2.4718,19.268
Xp,7,7,4.8702,2.1270,2.4593,20.140
Xp,8,7,4.7632,2.1990,2.4575,19.662
Xp,0,8,4.7071,1.8094,2.4423,21.487
Xp,1,8,4.8025,1.8552,2.4330,20.143
Xp,2,8,5.0012,1.8599,2.4993,19.147
Xp,3,8,5.0012,1.9349,2.4993,19.147
Xp,4,8,5.0030,1.9740,2.4923,19.371
Xp,5,8,4.9983,2.0267,2.4892,19.371
Xp,6,8,4.9936,2.0710,2.4570,19.371
Xp,7,8,4.9222,2.1179,2.4437,20.878
Xp,8,8,4.7788,2.1877,2.4428,20.942
Xp,0,9,4.7073,1.8182,2.4326,21.487
Xp,1,9,4.8256,1.8551,2.4170,20.143
Xp,2,9,5.0745,1.8607,2.4845,19.147
Xp,3,9,5.0745,1.9357,2.4845,19.147
Xp,4,9,5.0729,1.9686,2.4772,19.147
Xp,5,9,5.0682,2.0213,2.4740,19.371
Xp,6,9,5.0335,2.0648,2.4364,20.097
Xp,7,9,4.9463,2.1098,2.4270,20.878
Xp,8,9,4.7945,2.1765,2.4280,20.942
Xp,0,10,4.7075,1.8269,2.4229,21.487
Xp,1,10,4.8488,1.8549,2.4011,20.143
Xp,2,10,5.1475,1.8613,2.4695,19.241
Xp,3,10,5.1475,1.9363,2.4695,19.241
Xp,4,10,5.1459,1.9692,2.4622,19.241
Xp,5,10,5.1368,2.0165,2.4591,19.510
Xp,6,10,5.0735,2.0586,2.4157,20.097
Xp,7,10,4.9703,2.1017,2.4102,20.931
Xp,8,10,4.8102,2.1652,2.4133,20.942
Xp,0,11,4.7077,1.8357,2.4132,21.487
Xp,1,11,4.8874,1.8544,2.3806,19.834
Xp,2,11,5.2206,1.8619,2.4545,19.363
Xp,3,11,5.2206,1.9369,2.4545,19.363
Xp,4,11,5.2190,1.9698,2.4472,19.691
Xp,5,11,5.2054,2.0116,2.4442,20.080
Xp,6,11,5.1168,2.0530,2.3949,20.080
Xp,7,11,4.9960,2.0948,2.3939,20.931
Xp,8,11,4.8258,2.1540,2.3986,20.942
Xp,0,12,4.7079,1.8445,2.4035,21.487
Xp,1,12,4.9261,1.8538,2.3601,19.834
Xp,2,12,5.2720,1.8611,2.4325,19.691
Xp,3,12,5.2720,1.9361,2.4325,19.691
Xp,4,12,5.2704,1.9690,2.4251,19.691
Xp,5,12,5.2509,2.0068,2.4237,20.094
Xp,6,12,5.1601,2.0475,2.3741,20.080
Xp,7,12,5.0217,2.0880,2.3776,20.097
Xp,8,12,4.8415,2.1427,2.3839,20.942
Xp,0,13,4.7081,1.8533,2.3938,20.424
Xp,1,13,4.9647,1.8533,2.3396,19.834
Xp,2,13,5.3234,1.8603,2.4104,19.691
Xp,3,13,5.3234,1.9353,2.4104,19.691
Xp,4,13,5.3219,1.9682,2.4031,19.691
Xp,5,13,5.2963,2.0019,2.4031,20.094
Xp,6,13,5.2034,2.0420,2.3533,20.080
Xp,7,13,5.0617,2.0818,2.3570,20.097
Xp,8,13,4.8656,2.1346,2.3671,20.878
Xp,0,14,4.7221,1.8533,2.3833,20.424
Xp,1,14,4.9980,1.8516,2.3192,20.075
Xp,2,14,5.3770,1.8596,2.3885,19.702
Xp,3,14,5.3770,1.9346,2.3885,19.702
Xp,4,14,5.3754,1.9675,2.3812,19.702
Xp,5,14,5.3418,1.9971,2.3826,20.132
Xp,6,14,5.2488,2.0372,2.3328,20.094
Xp,7,14,5.1017,2.0755,2.3363,20.080
Xp,8,14,4.8897,2.1265,2.3504,20.878
Xp,0,15,4.7360,1.8534,2.3728,20.143
Xp,1,15,5.0313,1.8499,2.2987,21.734
Xp,2,15,5.4305,1.8588,2.3666,19.702
Xp,3,15,5.4305,1.9338,2.3666,19.702
Xp,4,15,5.4290,1.9668,2.3593,19.702
Xp,5,15,5.3885,1.9929,2.3625,20.132
Xp,6,15,5.2840,2.0324,2.3129,20.406
Xp,7,15,5.1338,2.0702,2.3168,20.436
Xp,8,15,4.9138,2.1184,2.3337,20.878
Xp,0,16,4.7592,1.8533,2.3568,20.143
Xp,1,16,5.0646,1.8482,2.2783,21.734
Xp,2,16,5.4858,1.8583,2.3455,19.800
Xp,3,16,5.4858,1.9333,2.3455,19.800
Xp,4,16,5.4842,1.9662,2.3381,19.800
Xp,5,16,5.4352,1.9886,2.3424,20.132
Xp,6,16,5.3192,2.0276,2.2931,20.406
Xp,7,16,5.1660,2.0648,2.2973,20.436
Xp,8,16,4.9263,2.1111,2.3209,21.302
Xp,0,17,4.7824,1.8531,2.3409,20.143
Xp,1,17,5.0683,1.8494,2.2662,21.734
Xp,2,17,5.5411,1.8577,2.3243,19.939
Xp,3,17,5.5411,1.9327,2.3243,19.939
Xp,4,17,5.5327,1.9650,2.3159,19.939
Xp,5,17,5.4822,1.9855,2.3235,20.448
Xp,6,17,5.3566,2.0234,2.2732,20.400
Xp,7,17,5.1982,2.0595,2.2778,20.436
Xp,8,17,4.9389,2.1038,2.3081,21.302
Xp,0,18,4.8055,1.8529,2.3250,20.598
Xp,1,18,5.1016,1.8477,2.2457,21.827
Xp,2,18,5.5895,1.8565,2.3020,19.983
Xp,3,18,5.5895,1.9315,2.3020,19.983
Xp,4,18,5.5811,1.9638,2.2936,19.983
Xp,5,18,5.5219,1.9822,2.3041,20.448
Xp,6,18,5.3939,2.0192,2.2533,20.400
Xp,7,18,5.2334,2.0547,2.2579,20.406
Xp,8,18,4.9515,2.0965,2.2953,21.302
Xp,0,19,4.8181,1.8511,2.3129,20.598
Xp,1,19,5.1055,1.8485,2.2343,21.827
Xp,2,19,5.6385,1.8551,2.2801,19.983
Xp,3,19,5.6385,1.9301,2.2801,19.983
