dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.765
Xp,1,0,4.4570,1.7750,2.6000,18.567
Xp,2,0,4.4570,1.8500,2.6000,18.567
Xp,3,0,4.4570,1.9250,2.6000,18.187
Xp,4,0,4.4570,2.0000,2.6000,18.223
Xp,5,0,4.4570,2.0750,2.6000,18.223
Xp,6,0,4.4570,2.1500,2.6000,18.242
Xp,7,0,4.4570,2.2250,2.6000,18.572
Xp,8,0,4.4570,2.3000,2.6000,18.572
Xp,0,1,4.4238,1.7261,2.6044,22.765
Xp,1,1,4.5321,1.7935,2.5615,20.055
Xp,2,1,4.5681,1.8510,2.5642,19.315
Xp,3,1,4.5681,1.9260,2.5642,19.315
Xp,4,1,4.5678,1.9972,2.5641,19.367
Xp,5,1,4.5678,2.0722,2.5641,19.367
Xp,6,1,4.5613,2.1378,2.5601,19.409
Xp,7,1,4.5333,2.2061,2.5623,19.409
Xp,8,1,4.5333,2.2811,2.5623,20.139
Xp,0,2,4.5245,1.7404,2.5547,20.055
Xp,1,2,4.5695,1.8077,2.5394,20.055
Xp,2,2,4.6151,1.8527,2.5600,19.126
Xp,3,2,4.6151,1.9277,2.5600,19.126
Xp,4,2,4.6156,1.9917,2.5587,19.184
Xp,5,2,4.6156,2.0667,2.5587,19.184
Xp,6,2,4.6131,2.1244,2.5440,19.405
Xp,7,2,4.5852,2.1927,2.5461,19.409
Xp,8,2,4.5694,2.2659,2.5427,20.139
Xp,0,3,4.5618,1.7546,2.5327,20.055
Xp,1,3,4.6068,1.8220,2.5174,20.055
Xp,2,3,4.6721,1.8552,2.5532,19.126
Xp,3,3,4.6721,1.9302,2.5532,19.126
Xp,4,3,4.6729,1.9856,2.5507,19.184
Xp,5,3,4.6729,2.0606,2.5507,19.184
Xp,6,3,4.6702,2.1117,2.5267,19.405
Xp,7,3,4.6423,2.1800,2.5289,19.405
Xp,8,3,4.6054,2.2507,2.5232,20.139
Xp,0,4,4.5991,1.7689,2.5106,20.055
Xp,1,4,4.6423,1.8331,2.4982,20.298
Xp,2,4,4.7291,1.8577,2.5464,19.126
Xp,3,4,4.7291,1.9327,2.5464,19.126
Xp,4,4,4.7302,1.9796,2.5427,19.104
Xp,5,4,4.7302,2.0546,2.5427,19.104
Xp,6,4,4.7273,2.0990,2.5095,19.405
Xp,7,4,4.6994,2.1672,2.5117,19.405
Xp,8,4,4.6401,2.2386,2.5066,20.396
Xp,0,5,4.6346,1.7799,2.4914,20.298
Xp,1,5,4.6778,1.8441,2.4789,20.298
Xp,2,5,4.7932,1.8603,2.5364,19.032
Xp,3,5,4.7932,1.9353,2.5364,19.032
Xp,4,5,4.7942,1.9737,2.5317,19.104
Xp,5,5,4.7942,2.0487,2.5317,19.104
Xp,6,5,4.7857,2.0875,2.4920,19.104
Xp,7,5,4.7565,2.1545,2.4944,19.522
Xp,8,5,4.6748,2.2265,2.4900,20.396
Xp,0,6,4.6702,1.7910,2.4722,20.298
Xp,1,6,4.7134,1.8552,2.4597,19.126
Xp,2,6,4.8574,1.8629,2.5264,19.030
Xp,3,6,4.8574,1.9379,2.5264,19.030
Xp,4,6,4.8582,1.9678,2.5207,19.030
Xp,5,6,4.8582,2.0428,2.5207,19.141
Xp,6,6,4.8497,2.0816,2.4811,19.141
Xp,7,6,4.8148,2.1431,2.4770,19.522
Xp,8,6,4.7096,2.2144,2.4735,20.396
Xp,0,7,4.7057,1.8021,2.4529,20.298
Xp,1,7,4.7775,1.8578,2.4497,20.038
Xp,2,7,4.9290,1.8651,2.5123,19.030
Xp,3,7,4.9290,1.9401,2.5123,19.030
