dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.904
Xp,1,0,4.4570,1.7750,2.6000,18.613
Xp,2,0,4.4570,1.8500,2.6000,18.613
Xp,3,0,4.4570,1.9250,2.6000,18.223
Xp,4,0,4.4570,2.0000,2.6000,18.264
Xp,5,0,4.4570,2.0750,2.6000,18.264
Xp,6,0,4.4570,2.1500,2.6000,18.281
Xp,7,0,4.4570,2.2250,2.6000,18.615
Xp,8,0,4.4570,2.3000,2.6000,18.615
Xp,0,1,4.5285,1.7403,2.5527,20.131
Xp,1,1,4.5684,1.8086,2.5395,20.131
Xp,2,1,4.6225,1.8537,2.5645,19.179
Xp,3,1,4.6225,1.9287,2.5645,19.179
Xp,4,1,4.6229,1.9891,2.5627,19.247
Xp,5,1,4.6229,2.0633,2.5626,19.247
Xp,6,1,4.6193,2.1214,2.5457,19.472
Xp,7,1,4.5988,2.1909,2.5466,19.476
Xp,8,1,4.5677,2.2641,2.5441,20.221
Xp,0,2,4.5450,1.7466,2.5428,20.131
Xp,1,2,4.5875,1.8138,2.5299,20.131
Xp,2,2,4.6520,1.8546,2.5592,19.179
Xp,3,2,4.6520,1.9296,2.5592,19.179
Xp,4,2,4.6524,1.9872,2.5571,19.247
Xp,5,2,4.6523,2.0608,2.5569,19.247
Xp,6,2,4.6484,2.1166,2.5374,19.472
Xp,7,2,4.6251,2.1850,2.5379,19.472
Xp,8,2,4.5861,2.2579,2.5352,20.221
Xp,0,3,4.5604,1.7528,2.5332,20.131
Xp,1,3,4.6063,1.8186,2.5205,20.131
Xp,2,3,4.6824,1.8555,2.5539,19.179
Xp,3,3,4.6824,1.9305,2.5539,19.179
Xp,4,3,4.6828,1.9855,2.5515,19.247
Xp,5,3,4.6826,2.0582,2.5512,19.247
Xp,6,3,4.6776,2.1120,2.5292,19.472
Xp,7,3,4.6513,2.1792,2.5293,19.472
Xp,8,3,4.6039,2.2517,2.5265,20.221
Xp,0,4,4.5913,1.7672,2.5133,20.131
Xp,1,4,4.6487,1.8297,2.4987,20.381
Xp,2,4,4.7503,1.8574,2.5411,19.082
Xp,3,4,4.7503,1.9324,2.5411,19.082
Xp,4,4,4.7507,1.9817,2.5379,19.165
Xp,5,4,4.7503,2.0528,2.5375,19.165
Xp,6,4,4.7423,2.1015,2.5096,19.592
Xp,7,4,4.7083,2.1661,2.5093,19.472
Xp,8,4,4.6445,2.2378,2.5062,20.483
Xp,0,5,4.6164,1.7776,2.4971,20.381
Xp,1,5,4.6811,1.8369,2.4827,20.381
Xp,2,5,4.8067,1.8591,2.5313,19.082
Xp,3,5,4.8067,1.9341,2.5313,19.082
Xp,4,5,4.8068,1.9789,2.5277,19.165
Xp,5,5,4.8061,2.0481,2.5272,19.165
Xp,6,5,4.7938,2.0937,2.4951,19.592
Xp,7,5,4.7535,2.1562,2.4941,19.592
Xp,8,5,4.6741,2.2269,2.4912,20.483
Xp,0,6,4.6399,1.7883,2.4807,20.381
Xp,1,6,4.7158,1.8436,2.4658,20.381
Xp,2,6,4.8683,1.8609,2.5201,19.077
Xp,3,6,4.8683,1.9359,2.5201,19.077
Xp,4,6,4.8680,1.9765,2.5161,19.204
Xp,5,6,4.8669,2.0431,2.5154,19.204
Xp,6,6,4.8486,2.0861,2.4793,19.165
Xp,7,6,4.8002,2.1460,2.4778,19.592
Xp,8,6,4.7046,2.2155,2.4754,20.483
Xp,0,7,4.6616,1.7993,2.4644,20.381
Xp,1,7,4.7529,1.8496,2.4480,21.403
Xp,2,7,4.9349,1.8628,2.5072,19.077
Xp,3,7,4.9349,1.9378,2.5072,19.077
Xp,4,7,4.9341,1.9740,2.5028,19.204
Xp,5,7,4.9323,2.0378,2.5020,19.204
Xp,6,7,4.9062,2.0786,2.4620,19.204
Xp,7,7,4.8477,2.1355,2.4605,19.592
Xp,8,7,4.7358,2.2034,2.4587,19.592
Xp,0,8,4.6789,1.8092,2.4496,21.486
Xp,1,8,4.7880,1.8540,2.4305,20.105
