dir,k,step,x,y,z,T
Xp,4,11,5.2148,1.9699,2.4440,20.081
Xp,5,11,5.2075,2.0163,2.4431,20.427
Xp,6,11,5.1152,2.0537,2.3857,20.427
Xp,7,11,4.9715,2.0993,2.3871,21.399
Xp,8,11,4.8294,2.1572,2.3922,21.436
Xp,0,12,4.6938,1.8501,2.4123,20.856
Xp,1,12,5.0213,1.8571,2.3651,20.130
Xp,2,12,5.2699,1.8723,2.4250,20.081
Xp,3,12,5.2699,1.9473,2.4250,20.081
Xp,4,12,5.2616,1.9660,2.4228,20.081
Xp,5,12,5.2544,2.0124,2.4219,20.430
Xp,6,12,5.1597,2.0492,2.3643,20.427
Xp,7,12,4.9982,2.0931,2.3700,21.399
Xp,8,12,4.8460,2.1465,2.3766,21.436
Xp,0,13,4.7082,1.8523,2.4008,20.856
Xp,1,13,5.0655,1.8582,2.3430,20.130
Xp,2,13,5.3208,1.8731,2.4025,20.081
Xp,3,13,5.3208,1.9481,2.4025,20.081
Xp,4,13,5.3126,1.9669,2.4003,20.081
Xp,5,13,5.3013,2.0085,2.4007,20.430
Xp,6,13,5.2042,2.0446,2.3429,20.427
Xp,7,13,5.0393,2.0878,2.3487,20.456
Xp,8,13,4.8711,2.1389,2.3589,21.349
Xp,0,14,4.7226,1.8546,2.3892,20.856
Xp,1,14,5.1097,1.8592,2.3208,20.400
Xp,2,14,5.3736,1.8740,2.3803,20.107
Xp,3,14,5.3736,1.9490,2.3803,20.107
Xp,4,14,5.3654,1.9678,2.3781,20.107
Xp,5,14,5.3481,2.0047,2.3795,20.458
Xp,6,14,5.2511,2.0407,2.3217,20.755
Xp,7,14,5.0803,2.0825,2.3274,20.876
Xp,8,14,4.8962,2.1314,2.3413,21.349
Xp,0,15,4.7463,1.8565,2.3724,20.544
Xp,1,15,5.1478,1.8597,2.2987,20.400
Xp,2,15,5.4263,1.8750,2.3581,20.107
Xp,3,15,5.4263,1.9500,2.3581,20.107
Xp,4,15,5.4181,1.9687,2.3559,20.107
Xp,5,15,5.3964,2.0014,2.3587,20.458
Xp,6,15,5.2881,2.0370,2.3008,20.755
Xp,7,15,5.1142,2.0781,2.3070,20.800
Xp,8,15,4.9213,2.1239,2.3237,21.805
Xp,0,16,4.7701,1.8584,2.3555,20.544
Xp,1,16,5.1859,1.8601,2.2765,20.400
Xp,2,16,5.4801,1.8758,2.3369,20.243
Xp,3,16,5.4801,1.9508,2.3369,20.243
Xp,4,16,5.4709,1.9696,2.3336,20.243
Xp,5,16,5.4447,1.9981,2.3380,20.458
Xp,6,16,5.3251,2.0332,2.2800,20.755
Xp,7,16,5.1480,2.0738,2.2865,20.800
Xp,8,16,4.9353,2.1173,2.3096,21.805
Xp,0,17,4.7938,1.8602,2.3386,20.544
Xp,1,17,5.2240,1.8605,2.2543,20.352
Xp,2,17,5.5276,1.8764,2.3144,20.385
Xp,3,17,5.5276,1.9514,2.3144,20.385
Xp,4,17,5.5129,1.9673,2.3131,20.385
Xp,5,17,5.4867,1.9959,2.3174,20.763
Xp,6,17,5.3645,2.0301,2.2591,20.737
Xp,7,17,5.1819,2.0695,2.2660,20.800
Xp,8,17,4.9493,2.1107,2.2955,21.805
Xp,0,18,4.8175,1.8621,2.3217,21.043
Xp,1,18,5.2657,1.8610,2.2316,20.352
Xp,2,18,5.5750,1.8770,2.2920,20.437
Xp,3,18,5.5750,1.9520,2.2920,20.437
Xp,4,18,5.5603,1.9679,2.2907,20.385
Xp,5,18,5.5287,1.9936,2.2969,20.763
Xp,6,18,5.4039,2.0269,2.2382,20.737
Xp,7,18,5.2157,2.0652,2.2455,20.755
Xp,8,18,4.9633,2.1040,2.2814,21.805
Xp,0,19,4.8306,1.8628,2.3086,21.043
Xp,1,19,5.3074,1.8615,2.2090,20.627
Xp,2,19,5.6228,1.8772,2.2699,20.437
Xp,3,19,5.6228,1.9522,2.2699,20.437
Xp,4,19,5.6081,1.9681,2.2686,20.437
Xp,5,19,5.5708,1.9914,2.2764,20.800
Xp,6,19,5.4433,2.0237,2.2172,20.737
Xp,7,19,5.2527,2.0614,2.2246,20.755
Xp,8,19,4.9801,2.0984,2.2666,21.779
Xp,0,20,4.8438,1.8635,2.2955,21.043
Xp,1,20,5.3411,1.8616,2.1868,20.581
Xp,2,20,5.6707,1.8774,2.2479,20.437
Xp,3,20,5.6707,1.9524,2.2479,20.437
Xp,4,20,5.6560,1.9684,2.2465,20.437
Xp,5,20,5.6129,1.9896,2.2562,20.800
Xp,6,20,5.4785,2.0215,2.1966,20.981
Xp,7,20,5.2897,2.0577,2.2038,21.075
Xp,8,20,4.9970,2.0928,2.2519,21.779
Xp,0,21,4.8717,1.8639,2.2758,20.608
Xp,1,21,5.3779,1.8619,2.1641,20.581
Xp,2,21,5.7182,1.8762,2.2263,20.512
Xp,3,21,5.7182,1.9512,2.2263,20.512
Xp,4,21,5.7039,1.9686,2.2245,20.512
Xp,5,21,5.6550,1.9878,2.2359,20.800
Xp,6,21,5.5137,2.0194,2.1760,20.981
Xp,7,21,5.3183,2.0542,2.1840,21.075
Xp,8,21,5.0138,2.0872,2.2371,20.876
Xp,0,22,4.8997,1.8644,2.2561,20.608
Xp,1,22,5.4147,1.8621,2.1414,20.581
Xp,2,22,5.7657,1.8750,2.2047,20.630
Xp,3,22,5.7657,1.9500,2.2047,20.630
Xp,4,22,5.7514,1.9673,2.2029,20.630
Xp,5,22,5.6971,1.9860,2.2157,20.852
Xp,6,22,5.5490,2.0172,2.1555,20.981
Xp,7,22,5.3497,2.0513,2.1637,21.023
Xp,8,22,5.0436,2.0823,2.2174,20.876
Xp,0,23,4.9276,1.8649,2.2364,20.608
Xp,1,23,5.4515,1.8624,2.1187,20.567
Xp,2,23,5.8082,1.8737,2.1821,20.630
Xp,3,23,5.8082,1.9487,2.1821,20.630
Xp,4,23,5.7939,1.9660,2.1803,20.630
Xp,5,23,5.7351,1.9847,2.1951,21.004
Xp,6,23,5.5842,2.0150,2.1349,20.984
Xp,7,23,5.3811,2.0483,2.1434,21.023
Xp,8,23,5.0644,2.0778,2.1997,21.259
Xp,0,24,4.9556,1.8653,2.2167,20.608
Xp,1,24,5.4925,1.8627,2.0958,20.567
Xp,2,24,5.8421,1.8719,2.1643,21.347
Xp,3,24,5.8421,1.9469,2.1643,21.347
Xp,4,24,5.8278,1.9642,2.1625,21.347
Xp,5,24,5.7730,1.9834,2.1745,21.004
Xp,6,24,5.6202,2.0132,2.1143,20.984
Xp,7,24,5.4125,2.0453,2.1231,21.023
Xp,8,24,5.0852,2.0733,2.1820,21.259
Xp,0,25,4.9808,1.8653,2.1968,20.813
Xp,1,25,5.5275,1.8629,2.0730,20.767
Xp,2,25,5.8761,1.8701,2.1465,21.347
Xp,3,25,5.8761,1.9451,2.1465,21.347
Xp,4,25,5.8618,1.9625,2.1447,21.347
Xp,5,25,5.8109,1.9821,2.1539,21.378
Xp,6,25,5.6563,2.0115,2.0937,20.984
Xp,7,25,5.4438,2.0423,2.1029,21.023
Xp,8,25,5.1103,2.0693,2.1631,21.152
Xp,0,26,5.0060,1.8652,2.1768,20.813
Xp,1,26,5.5626,1.8631,2.0502,20.767
Xp,2,26,5.9100,1.8683,2.1286,21.347
Xp,3,26,5.9100,1.9433,2.1286,21.347
Xp,4,26,5.8957,1.9607,2.1268,21.347
Xp,5,26,5.8440,1.9822,2.1362,21.378
Xp,6,26,5.6866,2.0098,2.0733,21.181
Xp,7,26,5.4791,2.0401,2.0823,21.203
Xp,8,26,5.1354,2.0654,2.1441,21.152
Xp,0,27,5.0313,1.8651,2.1569,20.813
Xp,1,27,5.5992,1.8629,2.0272,20.761
Xp,2,27,5.9439,1.8665,2.1108,21.369
Xp,3,27,5.9439,1.9415,2.1108,21.369
Xp,4,27,5.9296,1.9589,2.1090,21.369
Xp,5,27,5.8772,1.9824,2.1184,21.378
Xp,6,27,5.7192,2.0085,2.0527,21.178
Xp,7,27,5.5081,2.0381,2.0621,21.203
Xp,8,27,5.1604,2.0614,2.1251,21.152
Xp,0,28,5.0565,1.8650,2.1370,20.813
Xp,1,28,5.6358,1.8628,2.0043,20.761
Xp,2,28,5.9787,1.8653,2.0934,21.369
Xp,3,28,5.9787,1.9403,2.0934,21.369
Xp,4,28,5.9644,1.9577,2.0916,21.369
Xp,5,28,5.9103,1.9825,2.1007,21.378
Xp,6,28,5.7518,2.0073,2.0320,21.178
Xp,7,28,5.5371,2.0360,2.0420,21.203
Xp,8,28,5.1855,2.0574,2.1062,21.152
Xp,0,29,5.0818,1.8649,2.1171,20.813
Xp,1,29,5.6724,1.8627,1.9813,20.761
Xp,2,29,6.0105,1.8643,2.0750,21.412
Xp,3,29,6.0105,1.9393,2.0750,21.412
Xp,4,29,5.9962,1.9566,2.0732,21.412
Xp,5,29,5.9435,1.9827,2.0829,21.426
Xp,6,29,5.7844,2.0060,2.0114,21.178
Xp,7,29,5.5662,2.0340,2.0219,21.203
Xp,8,29,5.2106,2.0535,2.0872,21.369
Xp,0,30,5.1116,1.8649,2.0958,20.704
Xp,1,30,5.7051,1.8614,1.9585,20.948
Xp,2,30,6.0423,1.8632,2.0567,21.412
Xp,3,30,6.0423,1.9382,2.0567,21.412
Xp,4,30,6.0280,1.9556,2.0549,21.412
Xp,5,30,5.9744,1.9828,2.0649,21.426
Xp,6,30,5.8170,2.0047,1.9908,21.499
Xp,7,30,5.5965,2.0323,2.0015,21.181
Xp,8,30,5.2321,2.0503,2.0689,21.369
Xp,0,31,5.1348,1.8646,2.0757,20.988
Xp,1,31,5.7379,1.8601,1.9357,20.948
Xp,2,31,6.0711,1.8620,2.0408,21.666
Xp,3,31,6.0711,1.9370,2.0408,21.666
Xp,4,31,6.0598,1.9546,2.0365,21.666
Xp,5,31,6.0052,1.9829,2.0468,21.426
Xp,6,31,5.8459,2.0047,1.9729,21.499
Xp,7,31,5.6268,2.0306,1.9811,21.181
Xp,8,31,5.2537,2.0471,2.0505,21.369
Xp,0,32,5.1580,1.8643,2.0557,20.988
Xp,1,32,5.7706,1.8589,1.9129,20.948
Xp,2,32,6.0999,1.8608,2.0250,21.666
Xp,3,32,6.0999,1.9358,2.0250,21.666
Xp,4,32,6.0886,1.9534,2.0207,21.666
Xp,5,32,6.0361,1.9830,2.0287,21.426
Xp,6,32,5.8707,2.0045,1.9551,21.628
Xp,7,32,5.6572,2.0289,1.9607,21.373
Xp,8,32,5.2753,2.0440,2.0322,21.369
Xp,0,33,5.1811,1.8640,2.0357,20.988
Xp,1,33,5.8034,1.8576,1.8900,20.948
Xp,2,33,6.1288,1.8596,2.0091,21.666
Xp,3,33,6.1288,1.9346,2.0091,21.666
Xp,4,33,6.1174,1.9521,2.0048,21.666
Xp,5,33,6.0656,1.9823,2.0123,21.601
Xp,6,33,5.8954,2.0043,1.9374,21.628
Xp,7,33,5.6824,2.0273,1.9408,21.373
Xp,8,33,5.2969,2.0408,2.0138,21.369
Xp,0,34,5.2043,1.8638,2.0157,20.988
Xp,1,34,5.8312,1.8563,1.8711,21.465
Xp,2,34,6.1576,1.8583,1.9933,21.666
Xp,3,34,6.1576,1.9333,1.9933,21.666
Xp,4,34,6.1463,1.9509,1.9890,21.666
Xp,5,34,6.0952,1.9816,1.9959,21.601
Xp,6,34,5.9202,2.0041,1.9197,21.628
Xp,7,34,5.7101,2.0261,1.9206,21.353
Xp,8,34,5.3184,2.0377,1.9955,21.369
Xp,0,35,5.2313,1.8636,1.9944,20.893
Xp,1,35,5.8590,1.8550,1.8521,21.465
Xp,2,35,6.1827,1.8568,1.9797,21.901
Xp,3,35,6.1827,1.9318,1.9797,21.901
Xp,4,35,6.1751,1.9497,1.9731,21.901
Xp,5,35,6.1247,1.9809,1.9795,21.601
Xp,6,35,5.9476,2.0042,1.9014,21.520
Xp,7,35,5.7378,2.0249,1.9003,21.353
Xp,8,35,5.3430,2.0349,1.9763,21.294
Xp,0,36,5.2583,1.8635,1.9732,20.893
Xp,1,36,5.8808,1.8543,1.8333,21.638
Xp,2,36,6.2078,1.8554,1.9662,21.896
Xp,3,36,6.2078,1.9304,1.9662,21.896
Xp,4,36,6.1988,1.9486,1.9587,21.896
Xp,5,36,6.1542,1.9802,1.9632,21.645
Xp,6,36,5.9750,2.0042,1.8831,21.520
Xp,7,36,5.7655,2.0237,1.8801,21.353
Xp,8,36,5.3619,2.0324,1.9584,21.535
Xp,0,37,5.2797,1.8632,1.9532,21.140
Xp,1,37,5.9026,1.8536,1.8145,21.638
Xp,2,37,6.2316,1.8543,1.9518,21.896
Xp,3,37,6.2316,1.9293,1.9518,21.896
Xp,4,37,6.2226,1.9475,1.9443,21.896
Xp,5,37,6.1812,1.9797,1.9461,21.720
Xp,6,37,6.0024,2.0043,1.8648,21.520
Xp,7,37,5.7932,2.0225,1.8598,21.353
Xp,8,37,5.3808,2.0299,1.9405,21.535
Xp,0,38,5.3012,1.8630,1.9331,21.140
Xp,1,38,5.9244,1.8530,1.7957,21.638
Xp,2,38,6.2553,1.8532,1.9373,21.896
Xp,3,38,6.2553,1.9282,1.9373,21.896
Xp,4,38,6.2463,1.9464,1.9298,21.896
Xp,5,38,6.2078,1.9787,1.9299,21.720
Xp,6,38,6.0298,2.0043,1.8465,21.720
Xp,7,38,5.8128,2.0215,1.8408,21.863
Xp,8,38,5.3998,2.0274,1.9226,21.535
Xp,0,39,5.3226,1.8627,1.9131,21.140
Xp,1,39,5.9472,1.8526,1.7770,21.645
Xp,2,39,6.2790,1.8521,1.9229,21.896
Xp,3,39,6.2790,1.9271,1.9229,21.896
Xp,4,39,6.2700,1.9453,1.9154,21.896
Xp,5,39,6.2344,1.9778,1.9136,21.720
Xp,6,39,6.0509,2.0044,1.8286,21.767
Xp,7,39,5.8308,2.0212,1.8240,21.863
Xp,8,39,5.4187,2.0249,1.9047,21.535
Xp,0,40,5.3473,1.8626,1.8920,21.060
Xp,1,40,5.9699,1.8522,1.7583,21.645
Xp,2,40,6.3031,1.8509,1.9080,21.888
Xp,3,40,6.3031,1.9259,1.9080,21.888
Xp,4,40,6.2937,1.9442,1.9009,21.888
Xp,5,40,6.2611,1.9769,1.8973,21.720
Xp,6,40,6.0729,2.0041,1.8113,21.767
Xp,7,40,5.8487,2.0209,1.8071,21.863
Xp,8,40,5.4376,2.0224,1.8868,21.535
Xp,0,41,5.3719,1.8625,1.8709,21.060
Xp,1,41,5.9927,1.8518,1.7396,21.645
Xp,2,41,6.3273,1.8497,1.8931,22.142
Xp,3,41,6.3273,1.9247,1.8931,21.888
Xp,4,41,6.3179,1.9430,1.8861,21.888
Xp,5,41,6.2877,1.9760,1.8811,21.720
Xp,6,41,6.0949,2.0039,1.7939,21.767
Xp,7,41,5.8667,2.0206,1.7903,21.863
Xp,8,41,5.4565,2.0199,1.8689,21.412
Xp,0,42,5.3965,1.8624,1.8498,21.470
