x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.9336,0.2638,0.2425,0.1222,26.76
60.0,60.0,110.0,0.2628,0.9371,-0.2299,0.0908,26.95
60.0,120.0,110.0,0.7098,0.6961,-0.1081,0.1223,26.98
60.0,180.0,110.0,0.8056,0.5769,-0.1348,0.1053,27.13
120.0,0.0,110.0,-0.9275,0.1786,0.3285,0.1468,26.66
120.0,60.0,110.0,0.3137,0.7948,-0.5196,0.0846,27.13
120.0,120.0,110.0,0.8588,0.4355,-0.2700,0.1285,27.34
120.0,180.0,110.0,0.8927,0.3604,-0.2705,0.1297,27.47
120.0,240.0,110.0,0.8942,0.2395,-0.3781,0.1097,27.39
120.0,300.0,110.0,0.9596,0.1109,-0.2586,0.0767,27.19
120.0,360.0,110.0,0.4705,-0.0877,0.8780,0.0730,27.08
180.0,0.0,110.0,-0.8333,0.1202,0.5396,0.1714,26.57
180.0,120.0,110.0,0.9334,0.3267,-0.1483,0.1259,27.52
180.0,180.0,110.0,0.9624,0.1917,-0.1922,0.1227,27.64
180.0,240.0,110.0,0.9528,0.0150,-0.3032,0.1125,27.53
180.0,300.0,110.0,0.9105,-0.2487,-0.3304,0.0903,27.36
240.0,0.0,110.0,-0.7204,0.0946,0.6871,0.1879,26.52
240.0,120.0,110.0,0.9771,0.2068,-0.0498,0.1221,27.58
240.0,180.0,110.0,0.9874,0.0587,-0.1467,0.1166,27.71
240.0,240.0,110.0,0.9785,-0.1107,-0.1739,0.1064,27.57
240.0,300.0,110.0,0.8808,-0.4667,0.0793,0.0772,27.52
240.0,480.0,110.0,0.2301,-0.1782,0.9567,0.0967,27.22
300.0,0.0,110.0,-0.5844,0.0837,0.8072,0.1857,26.52
300.0,120.0,110.0,0.9981,-0.0612,-0.0019,0.1063,27.68
300.0,180.0,110.0,0.9860,-0.1578,-0.0529,0.0856,27.71
300.0,240.0,110.0,0.9789,-0.1844,0.0877,0.0768,27.66
300.0,360.0,110.0,0.4802,-0.8254,0.2969,0.0737,27.65
300.0,420.0,110.0,0.4378,-0.8977,0.0497,0.0760,27.51
360.0,0.0,110.0,-0.3301,0.0575,0.9422,0.1516,26.59
360.0,120.0,110.0,0.5031,-0.3621,-0.7847,0.1338,27.42
360.0,180.0,110.0,0.0520,-0.0398,-0.9979,0.6052,24.79
360.0,240.0,110.0,0.1664,-0.0558,-0.9845,0.1353,27.17
360.0,420.0,110.0,0.1033,-0.9897,0.0993,0.0825,27.62
360.0,480.0,110.0,0.1173,-0.9727,0.2002,0.0732,27.41
360.0,540.0,110.0,0.0431,-0.1336,0.9901,0.1381,27.23
420.0,0.0,110.0,0.3301,0.0575,0.9422,0.1516,26.59
420.0,120.0,110.0,-0.5031,-0.3621,-0.7847,0.1338,27.42
420.0,180.0,110.0,-0.0520,-0.0398,-0.9979,0.6052,24.79
420.0,240.0,110.0,-0.1664,-0.0558,-0.9845,0.1353,27.17
420.0,420.0,110.0,-0.1779,-0.9802,0.0866,0.0824,27.62
420.0,540.0,110.0,-0.0520,-0.1277,0.9905,0.1369,27.22
480.0,0.0,110.0,0.5844,0.0837,0.8072,0.1857,26.52
480.0,120.0,110.0,-0.9981,-0.0612,-0.0019,0.1063,27.68
480.0,180.0,110.0,-0.9860,-0.1578,-0.0529,0.0856,27.71
480.0,240.0,110.0,-0.9789,-0.1844,0.0877,0.0768,27.66
480.0,360.0,110.0,-0.5228,-0.8009,0.2919,0.0730,27.63
480.0,420.0,110.0,-0.4528,-0.8896,0.0590,0.0755,27.51
480.0,540.0,110.0,-0.0367,-0.0508,0.9980,0.1611,27.21
540.0,0.0,110.0,0.7204,0.0946,0.6871,0.1879,26.52
540.0,120.0,110.0,-0.9771,0.2068,-0.0497,0.1221,27.58
540.0,180.0,110.0,-0.9874,0.0587,-0.1467,0.1166,27.71
540.0,240.0,110.0,-0.9785,-0.1106,-0.1739,0.1064,27.57
540.0,300.0,110.0,-0.9029,-0.4298,-0.0047,0.0797,27.50
540.0,480.0,110.0,-0.2068,-0.1565,0.9658,0.1016,27.21
600.0,0.0,110.0,0.8501,0.1368,0.5085,0.1646,26.58
600.0,60.0,110.0,-0.4678,0.7586,-0.4535,0.0744,27.19
600.0,120.0,110.0,-0.9217,0.3477,-0.1721,0.1262,27.50
600.0,180.0,110.0,-0.9544,0.2191,-0.2029,0.1238,27.63
600.0,240.0,110.0,-0.9432,0.0538,-0.3280,0.1128,27.51
600.0,300.0,110.0,-0.9095,-0.1987,-0.3650,0.0908,27.33
600.0,420.0,110.0,-0.3117,-0.1461,0.9389,0.0739,27.18
600.0,480.0,110.0,0.0373,-0.0637,0.9973,0.1708,27.18
660.0,0.0,110.0,0.9325,0.1872,0.3090,0.1444,26.67
660.0,60.0,110.0,-0.3383,0.7934,-0.5060,0.0870,27.13
660.0,120.0,110.0,-0.8442,0.4584,-0.2780,0.1294,27.29
660.0,180.0,110.0,-0.8755,0.3974,-0.2749,0.1304,27.40
660.0,240.0,110.0,-0.8906,0.2672,-0.3680,0.1082,27.36
660.0,300.0,110.0,-0.9716,0.1578,-0.1765,0.0722,27.17
660.0,360.0,110.0,-0.2279,-0.0842,0.9700,0.0931,27.06
720.0,0.0,110.0,0.9216,0.2778,0.2710,0.1191,26.76
720.0,60.0,110.0,-0.2616,0.9611,-0.0882,0.0937,26.90
720.0,120.0,110.0,-0.6760,0.7367,-0.0164,0.1195,26.95
720.0,180.0,110.0,-0.7851,0.6181,-0.0402,0.0959,27.10
720.0,300.0,110.0,-0.0824,-0.0258,0.9963,0.1065,27.17
780.0,0.0,110.0,0.3373,0.3709,0.8652,0.1188,26.88
780.0,60.0,110.0,-0.0619,0.6719,0.7381,0.1513,26.98
780.0,120.0,110.0,-0.1674,0.5119,0.8426,0.1199,27.08
