x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8161,0.0780,0.5727,0.1816,23.09
60.0,60.0,110.0,0.1095,0.9686,-0.2234,0.0831,23.02
60.0,120.0,110.0,0.4629,0.8810,-0.0977,0.1265,23.09
60.0,180.0,110.0,0.5103,0.8403,0.1831,0.0955,23.15
60.0,240.0,110.0,0.2900,0.4729,0.8320,0.0503,23.30
120.0,0.0,110.0,-0.8200,0.0274,0.5717,0.2136,23.06
120.0,60.0,110.0,-0.3808,0.8104,-0.4451,0.0608,23.15
120.0,120.0,110.0,0.4998,0.7563,-0.4222,0.0878,23.32
120.0,180.0,110.0,0.6669,0.6112,-0.4262,0.1202,23.29
120.0,240.0,110.0,0.6039,0.5387,-0.5874,0.0999,23.30
120.0,300.0,110.0,0.5846,0.5209,-0.6221,0.0426,23.41
120.0,360.0,110.0,0.1058,0.0394,0.9936,0.0682,23.41
180.0,0.0,110.0,-0.7724,0.0155,0.6349,0.2350,23.07
180.0,60.0,110.0,-0.6821,0.7088,-0.1799,0.0474,23.28
180.0,120.0,110.0,0.8119,0.5324,-0.2396,0.0534,23.40
180.0,180.0,110.0,0.8988,0.1894,-0.3954,0.1032,23.45
180.0,240.0,110.0,0.7818,0.1569,-0.6035,0.1138,23.50
180.0,300.0,110.0,0.7533,0.1617,-0.6374,0.0745,23.56
240.0,0.0,110.0,-0.7151,0.0126,0.6989,0.2340,23.11
240.0,120.0,110.0,0.9526,-0.2793,-0.1201,0.0545,23.46
240.0,180.0,110.0,0.9044,-0.2899,-0.3132,0.1082,23.57
240.0,240.0,110.0,0.8731,-0.1604,-0.4603,0.1090,23.65
240.0,300.0,110.0,0.9618,-0.1621,-0.2204,0.0556,23.64
240.0,480.0,110.0,0.1658,0.0727,0.9835,0.0598,23.41
300.0,0.0,110.0,-0.6236,0.0003,0.7817,0.2003,23.19
300.0,120.0,110.0,0.6608,-0.7494,-0.0409,0.0913,23.59
300.0,180.0,110.0,0.7414,-0.6451,-0.1851,0.1037,23.70
300.0,240.0,110.0,0.8696,-0.4641,-0.1684,0.0728,23.70
300.0,300.0,110.0,0.8616,-0.5060,0.0395,0.0409,23.62
360.0,0.0,110.0,-0.3302,-0.0425,0.9430,0.1448,23.28
360.0,60.0,110.0,0.1436,-0.7968,-0.5869,0.0786,23.54
360.0,120.0,110.0,0.1738,-0.4133,-0.8938,0.2635,22.97
360.0,180.0,110.0,0.0324,-0.1647,-0.9858,0.5034,21.92
360.0,240.0,110.0,0.2610,-0.3188,-0.9112,0.0688,23.46
