x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8214,0.0893,0.5633,0.1662,23.54
60.0,60.0,110.0,0.1238,0.9309,-0.3438,0.0841,23.52
60.0,120.0,110.0,0.4664,0.8699,-0.1606,0.1263,23.60
60.0,180.0,110.0,0.5337,0.8381,0.1129,0.0983,23.63
60.0,240.0,110.0,0.3814,0.5017,0.7764,0.0527,23.76
120.0,0.0,110.0,-0.8158,0.0364,0.5771,0.2003,23.49
120.0,60.0,110.0,-0.4081,0.7977,-0.4439,0.0657,23.62
120.0,120.0,110.0,0.4692,0.8016,-0.3706,0.0819,23.81
120.0,180.0,110.0,0.7005,0.5907,-0.4006,0.1190,23.79
120.0,240.0,110.0,0.6633,0.5180,-0.5401,0.1033,23.81
120.0,300.0,110.0,0.7224,0.4769,-0.5007,0.0498,23.87
120.0,360.0,110.0,0.1803,0.0245,0.9833,0.0653,23.82
180.0,0.0,110.0,-0.7637,0.0249,0.6451,0.2239,23.49
180.0,60.0,110.0,-0.6753,0.7073,-0.2088,0.0591,23.76
180.0,120.0,110.0,0.7680,0.6165,-0.1736,0.0483,23.89
180.0,180.0,110.0,0.9250,0.1387,-0.3536,0.1052,23.95
180.0,240.0,110.0,0.8422,0.1044,-0.5289,0.1154,24.01
180.0,300.0,110.0,0.8538,0.0693,-0.5159,0.0792,24.05
240.0,0.0,110.0,-0.7006,0.0231,0.7132,0.2271,23.51
240.0,60.0,110.0,-0.8727,0.4882,0.0108,0.0504,23.92
240.0,120.0,110.0,0.9802,-0.1561,-0.1222,0.0506,23.97
240.0,180.0,110.0,0.9245,-0.2725,-0.2665,0.1139,24.07
240.0,240.0,110.0,0.9195,-0.2017,-0.3373,0.1098,24.16
240.0,300.0,110.0,0.9499,-0.2884,-0.1201,0.0662,24.11
240.0,480.0,110.0,0.1831,0.0070,0.9831,0.0593,23.83
300.0,0.0,110.0,-0.5988,0.0122,0.8008,0.2028,23.57
300.0,120.0,110.0,0.7277,-0.6833,-0.0589,0.0865,24.09
300.0,180.0,110.0,0.7878,-0.6063,-0.1083,0.1021,24.19
300.0,240.0,110.0,0.8729,-0.4847,-0.0558,0.0771,24.19
300.0,300.0,110.0,0.8199,-0.5688,0.0647,0.0506,24.10
360.0,0.0,110.0,-0.3030,-0.0260,0.9526,0.1584,23.64
360.0,60.0,110.0,0.1502,-0.7910,-0.5931,0.0633,24.08
360.0,120.0,110.0,0.1907,-0.3815,-0.9045,0.2457,23.47
360.0,180.0,110.0,0.0276,-0.1427,-0.9894,0.5365,22.13
360.0,240.0,110.0,0.2886,-0.3269,-0.8999,0.0692,23.93
360.0,540.0,110.0,0.0395,0.0047,0.9992,0.1434,24.08
420.0,0.0,110.0,0.3029,-0.0260,0.9527,0.1584,23.64
420.0,60.0,110.0,-0.1500,-0.7910,-0.5932,0.0633,24.08
420.0,120.0,110.0,-0.1906,-0.3814,-0.9045,0.2457,23.47
420.0,180.0,110.0,-0.0276,-0.1427,-0.9894,0.5365,22.13
420.0,240.0,110.0,-0.2886,-0.3269,-0.8999,0.0692,23.93
