t_s,point,ue_x,ue_y,z,T_C,U_mag
9.2,C,4.00,4.50,0.10,28.850,0.0587
9.2,C,4.00,4.50,1.10,28.850,0.0002
9.2,C,4.00,4.50,1.70,28.850,0.0002
9.2,D,0.50,0.80,0.10,28.850,0.0588
9.2,D,0.50,0.80,1.10,28.850,0.0085
9.2,D,0.50,0.80,1.70,28.850,0.0131
10.35,A,4.00,2.00,0.10,28.850,0.0768
10.35,A,4.00,2.00,1.10,28.850,0.0473
10.35,A,4.00,2.00,1.70,28.850,0.0295
10.35,B,7.50,0.80,0.10,28.850,0.0652
10.35,B,7.50,0.80,1.10,28.850,0.0094
10.35,B,7.50,0.80,1.70,28.850,0.0145
10.35,C,4.00,4.50,0.10,28.850,0.0651
10.35,C,4.00,4.50,1.10,28.850,0.0002
10.35,C,4.00,4.50,1.70,28.850,0.0002
10.35,D,0.50,0.80,0.10,28.850,0.0652
10.35,D,0.50,0.80,1.10,28.850,0.0094
10.35,D,0.50,0.80,1.70,28.850,0.0145
11.5,A,4.00,2.00,0.10,28.850,0.0842
11.5,A,4.00,2.00,1.10,28.850,0.0518
11.5,A,4.00,2.00,1.70,28.850,0.0324
11.5,B,7.50,0.80,0.10,28.850,0.0714
11.5,B,7.50,0.80,1.10,28.850,0.0103
11.5,B,7.50,0.80,1.70,28.850,0.0159
11.5,C,4.00,4.50,0.10,28.850,0.0713
11.5,C,4.00,4.50,1.10,28.850,0.0003
11.5,C,4.00,4.50,1.70,28.850,0.0003
11.5,D,0.50,0.80,0.10,28.850,0.0714
11.5,D,0.50,0.80,1.10,28.850,0.0103
11.5,D,0.50,0.80,1.70,28.850,0.0159
12.65,A,4.00,2.00,0.10,28.850,0.0914
12.65,A,4.00,2.00,1.10,28.850,0.0562
12.65,A,4.00,2.00,1.70,28.850,0.0351
12.65,B,7.50,0.80,0.10,28.850,0.0775
12.65,B,7.50,0.80,1.10,28.850,0.0112
12.65,B,7.50,0.80,1.70,28.850,0.0173
12.65,C,4.00,4.50,0.10,28.850,0.0774
12.65,C,4.00,4.50,1.10,28.850,0.0003
12.65,C,4.00,4.50,1.70,28.850,0.0003
12.65,D,0.50,0.80,0.10,28.850,0.0775
12.65,D,0.50,0.80,1.10,28.850,0.0112
12.65,D,0.50,0.80,1.70,28.850,0.0173
13.8,A,4.00,2.00,0.10,28.850,0.0983
13.8,A,4.00,2.00,1.10,28.850,0.0605
13.8,A,4.00,2.00,1.70,28.850,0.0378
13.8,B,7.50,0.80,0.10,28.850,0.0834
13.8,B,7.50,0.80,1.10,28.850,0.0120
13.8,B,7.50,0.80,1.70,28.850,0.0186
13.8,C,4.00,4.50,0.10,28.850,0.0833
13.8,C,4.00,4.50,1.10,28.850,0.0003
13.8,C,4.00,4.50,1.70,28.850,0.0003
13.8,D,0.50,0.80,0.10,28.850,0.0834
13.8,D,0.50,0.80,1.10,28.850,0.0120
13.8,D,0.50,0.80,1.70,28.850,0.0186
14.95,A,4.00,2.00,0.10,28.850,0.1051
14.95,A,4.00,2.00,1.10,28.850,0.0647
14.95,A,4.00,2.00,1.70,28.850,0.0404
14.95,B,7.50,0.80,0.10,28.850,0.0892
14.95,B,7.50,0.80,1.10,28.850,0.0129
14.95,B,7.50,0.80,1.70,28.850,0.0199
14.95,C,4.00,4.50,0.10,28.850,0.0890
14.95,C,4.00,4.50,1.10,28.850,0.0003
14.95,C,4.00,4.50,1.70,28.850,0.0003
14.95,D,0.50,0.80,0.10,28.850,0.0892
14.95,D,0.50,0.80,1.10,28.850,0.0129
14.95,D,0.50,0.80,1.70,28.850,0.0199
16.1,A,4.00,2.00,0.10,28.850,0.1117
16.1,A,4.00,2.00,1.10,28.850,0.0687
16.1,A,4.00,2.00,1.70,28.850,0.0429
16.1,B,7.50,0.80,0.10,28.850,0.0948
16.1,B,7.50,0.80,1.10,28.850,0.0137
16.1,B,7.50,0.80,1.70,28.850,0.0211
16.1,C,4.00,4.50,0.10,28.850,0.0946
16.1,C,4.00,4.50,1.10,28.850,0.0003
16.1,C,4.00,4.50,1.70,28.850,0.0004
16.1,D,0.50,0.80,0.10,28.850,0.0948
16.1,D,0.50,0.80,1.10,28.850,0.0137
16.1,D,0.50,0.80,1.70,28.850,0.0211
17.25,A,4.00,2.00,0.10,28.850,0.1181
17.25,A,4.00,2.00,1.10,28.850,0.0727
17.25,A,4.00,2.00,1.70,28.850,0.0454
17.25,B,7.50,0.80,0.10,28.850,0.1002
17.25,B,7.50,0.80,1.10,28.850,0.0145
17.25,B,7.50,0.80,1.70,28.850,0.0223
17.25,C,4.00,4.50,0.10,28.850,0.1000
17.25,C,4.00,4.50,1.10,28.850,0.0004
17.25,C,4.00,4.50,1.70,28.850,0.0004
17.25,D,0.50,0.80,0.10,28.850,0.1002
17.25,D,0.50,0.80,1.10,28.850,0.0145
17.25,D,0.50,0.80,1.70,28.850,0.0223
18.4,A,4.00,2.00,0.10,28.850,0.1243
18.4,A,4.00,2.00,1.10,28.850,0.0765
18.4,A,4.00,2.00,1.70,28.850,0.0478
18.4,B,7.50,0.80,0.10,28.850,0.1054
18.4,B,7.50,0.80,1.10,28.850,0.0152
18.4,B,7.50,0.80,1.70,28.850,0.0235
18.4,C,4.00,4.50,0.10,28.850,0.1053
18.4,C,4.00,4.50,1.10,28.850,0.0004
18.4,C,4.00,4.50,1.70,28.850,0.0004
18.4,D,0.50,0.80,0.10,28.850,0.1054
18.4,D,0.50,0.80,1.10,28.850,0.0152
18.4,D,0.50,0.80,1.70,28.850,0.0235
19.55,A,4.00,2.00,0.10,28.850,0.1303
19.55,A,4.00,2.00,1.10,28.850,0.0802
19.55,A,4.00,2.00,1.70,28.850,0.0501
19.55,B,7.50,0.80,0.10,28.850,0.1105
19.55,B,7.50,0.80,1.10,28.850,0.0160
19.55,B,7.50,0.80,1.70,28.850,0.0247
19.55,C,4.00,4.50,0.10,28.850,0.1104
19.55,C,4.00,4.50,1.10,28.850,0.0004
19.55,C,4.00,4.50,1.70,28.850,0.0004
19.55,D,0.50,0.80,0.10,28.850,0.1105
19.55,D,0.50,0.80,1.10,28.850,0.0160
19.55,D,0.50,0.80,1.70,28.850,0.0247
20.7,A,4.00,2.00,0.10,28.850,0.1362
20.7,A,4.00,2.00,1.10,28.850,0.0838
20.7,A,4.00,2.00,1.70,28.850,0.0523
20.7,B,7.50,0.80,0.10,28.850,0.1155
20.7,B,7.50,0.80,1.10,28.850,0.0167
20.7,B,7.50,0.80,1.70,28.850,0.0258
20.7,C,4.00,4.50,0.10,28.850,0.1154
20.7,C,4.00,4.50,1.10,28.850,0.0004
20.7,C,4.00,4.50,1.70,28.850,0.0004
20.7,D,0.50,0.80,0.10,28.850,0.1155
20.7,D,0.50,0.80,1.10,28.850,0.0167
20.7,D,0.50,0.80,1.70,28.850,0.0258
21.85,A,4.00,2.00,0.10,28.850,0.1419
21.85,A,4.00,2.00,1.10,28.850,0.0873
21.85,A,4.00,2.00,1.70,28.850,0.0545
21.85,B,7.50,0.80,0.10,28.850,0.1204
21.85,B,7.50,0.80,1.10,28.850,0.0174
21.85,B,7.50,0.80,1.70,28.850,0.0268
21.85,C,4.00,4.50,0.10,28.850,0.1202
21.85,C,4.00,4.50,1.10,28.850,0.0004
21.85,C,4.00,4.50,1.70,28.850,0.0004
21.85,D,0.50,0.80,0.10,28.850,0.1204
21.85,D,0.50,0.80,1.10,28.850,0.0174
21.85,D,0.50,0.80,1.70,28.850,0.0268
23.0,A,4.00,2.00,0.10,28.850,0.1474
23.0,A,4.00,2.00,1.10,28.850,0.0907
23.0,A,4.00,2.00,1.70,28.850,0.0566
23.0,B,7.50,0.80,0.10,28.850,0.1250
23.0,B,7.50,0.80,1.10,28.850,0.0180
23.0,B,7.50,0.80,1.70,28.850,0.0279
23.0,C,4.00,4.50,0.10,28.850,0.1249
23.0,C,4.00,4.50,1.10,28.850,0.0004
23.0,C,4.00,4.50,1.70,28.850,0.0005
23.0,D,0.50,0.80,0.10,28.850,0.1250
23.0,D,0.50,0.80,1.10,28.850,0.0180
23.0,D,0.50,0.80,1.70,28.850,0.0279
24.15,A,4.00,2.00,0.10,28.850,0.1528
24.15,A,4.00,2.00,1.10,28.850,0.0940
24.15,A,4.00,2.00,1.70,28.850,0.0587
24.15,B,7.50,0.80,0.10,28.850,0.1296
24.15,B,7.50,0.80,1.10,28.850,0.0187
24.15,B,7.50,0.80,1.70,28.850,0.0289
24.15,C,4.00,4.50,0.10,28.850,0.1294
24.15,C,4.00,4.50,1.10,28.850,0.0005
24.15,C,4.00,4.50,1.70,28.850,0.0005
24.15,D,0.50,0.80,0.10,28.850,0.1296
24.15,D,0.50,0.80,1.10,28.850,0.0187
24.15,D,0.50,0.80,1.70,28.850,0.0289
25.3,A,4.00,2.00,0.10,28.850,0.1580
25.3,A,4.00,2.00,1.10,28.850,0.0972
25.3,A,4.00,2.00,1.70,28.850,0.0607
25.3,B,7.50,0.80,0.10,28.850,0.1340
25.3,B,7.50,0.80,1.10,28.850,0.0193
25.3,B,7.50,0.80,1.70,28.850,0.0299
25.3,C,4.00,4.50,0.10,28.850,0.1338
25.3,C,4.00,4.50,1.10,28.850,0.0005
25.3,C,4.00,4.50,1.70,28.850,0.0005
25.3,D,0.50,0.80,0.10,28.850,0.1340
25.3,D,0.50,0.80,1.10,28.850,0.0193
25.3,D,0.50,0.80,1.70,28.850,0.0299
26.45,A,4.00,2.00,0.10,28.850,0.1631
26.45,A,4.00,2.00,1.10,28.850,0.1003
26.45,A,4.00,2.00,1.70,28.850,0.0627
26.45,B,7.50,0.80,0.10,28.850,0.1383
26.45,B,7.50,0.80,1.10,28.850,0.0200
26.45,B,7.50,0.80,1.70,28.850,0.0309
26.45,C,4.00,4.50,0.10,28.850,0.1381
26.45,C,4.00,4.50,1.10,28.850,0.0005
26.45,C,4.00,4.50,1.70,28.850,0.0005
26.45,D,0.50,0.80,0.10,28.850,0.1383
26.45,D,0.50,0.80,1.10,28.850,0.0200
