ix,iy,x,y,T
15,3,120.0,24.0,23.265
16,3,128.0,24.0,23.265
17,3,136.0,24.0,23.265
18,3,144.0,24.0,23.235
19,3,152.0,24.0,23.235
20,3,160.0,24.0,23.235
21,3,168.0,24.0,23.235
22,3,176.0,24.0,23.257
23,3,184.0,24.0,23.257
24,3,192.0,24.0,23.257
25,3,200.0,24.0,23.272
26,3,208.0,24.0,23.272
27,3,216.0,24.0,23.272
28,3,224.0,24.0,23.295
29,3,232.0,24.0,23.295
30,3,240.0,24.0,23.295
31,3,248.0,24.0,23.295
32,3,256.0,24.0,23.326
33,3,264.0,24.0,23.326
34,3,272.0,24.0,23.326
35,3,280.0,24.0,23.358
36,3,288.0,24.0,23.358
37,3,296.0,24.0,23.358
38,3,304.0,24.0,23.358
39,3,312.0,24.0,23.395
40,3,320.0,24.0,23.395
41,3,328.0,24.0,23.395
42,3,336.0,24.0,23.395
43,3,344.0,24.0,23.439
44,3,352.0,24.0,23.439
45,3,360.0,24.0,23.439
46,3,368.0,24.0,23.473
47,3,376.0,24.0,23.473
48,3,384.0,24.0,23.473
49,3,392.0,24.0,23.473
50,3,400.0,24.0,23.485
51,3,408.0,24.0,23.485
52,3,416.0,24.0,23.485
53,3,424.0,24.0,23.463
54,3,432.0,24.0,23.463
55,3,440.0,24.0,23.463
56,3,448.0,24.0,23.425
57,3,456.0,24.0,23.425
58,3,464.0,24.0,23.425
59,3,472.0,24.0,23.425
60,3,480.0,24.0,23.379
61,3,488.0,24.0,23.379
62,3,496.0,24.0,23.379
63,3,504.0,24.0,23.338
64,3,512.0,24.0,23.338
65,3,520.0,24.0,23.338
66,3,528.0,24.0,23.338
67,3,536.0,24.0,23.304
68,3,544.0,24.0,23.304
69,3,552.0,24.0,23.304
70,3,560.0,24.0,23.282
71,3,568.0,24.0,23.282
72,3,576.0,24.0,23.282
73,3,584.0,24.0,23.282
74,3,592.0,24.0,23.266
75,3,600.0,24.0,23.266
76,3,608.0,24.0,23.266
77,3,616.0,24.0,23.254
78,3,624.0,24.0,23.254
79,3,632.0,24.0,23.254
80,3,640.0,24.0,23.254
81,3,648.0,24.0,23.251
82,3,656.0,24.0,23.251
83,3,664.0,24.0,23.251
84,3,672.0,24.0,23.251
85,3,680.0,24.0,23.257
86,3,688.0,24.0,23.257
87,3,696.0,24.0,23.257
88,3,704.0,24.0,23.271
89,3,712.0,24.0,23.271
90,3,720.0,24.0,23.271
91,3,728.0,24.0,23.332
92,3,736.0,24.0,23.332
93,3,744.0,24.0,23.332
94,3,752.0,24.0,23.332
95,3,760.0,24.0,23.428
96,3,768.0,24.0,23.428
97,3,776.0,24.0,23.428
98,3,784.0,24.0,23.428
99,3,792.0,24.0,23.666
1,4,8.0,32.0,23.526
2,4,16.0,32.0,23.526
3,4,24.0,32.0,23.526
4,4,32.0,32.0,23.197
5,4,40.0,32.0,23.197
6,4,48.0,32.0,23.197
7,4,56.0,32.0,23.182
8,4,64.0,32.0,23.182
9,4,72.0,32.0,23.182
10,4,80.0,32.0,23.182
11,4,88.0,32.0,23.200
12,4,96.0,32.0,23.200
13,4,104.0,32.0,23.200
14,4,112.0,32.0,23.213
15,4,120.0,32.0,23.213
16,4,128.0,32.0,23.213
17,4,136.0,32.0,23.213
18,4,144.0,32.0,23.230
19,4,152.0,32.0,23.230
20,4,160.0,32.0,23.230
21,4,168.0,32.0,23.230
22,4,176.0,32.0,23.305
23,4,184.0,32.0,23.305
24,4,192.0,32.0,23.305
25,4,200.0,32.0,23.368
26,4,208.0,32.0,23.368
27,4,216.0,32.0,23.368
28,4,224.0,32.0,23.449
29,4,232.0,32.0,23.449
30,4,240.0,32.0,23.449
31,4,248.0,32.0,23.449
32,4,256.0,32.0,23.547
33,4,264.0,32.0,23.547
34,4,272.0,32.0,23.547
35,4,280.0,32.0,23.621
36,4,288.0,32.0,23.621
37,4,296.0,32.0,23.621
38,4,304.0,32.0,23.621
39,4,312.0,32.0,23.681
40,4,320.0,32.0,23.681
41,4,328.0,32.0,23.681
42,4,336.0,32.0,23.681
43,4,344.0,32.0,23.727
44,4,352.0,32.0,23.727
45,4,360.0,32.0,23.727
46,4,368.0,32.0,23.752
47,4,376.0,32.0,23.752
48,4,384.0,32.0,23.752
49,4,392.0,32.0,23.752
50,4,400.0,32.0,23.764
51,4,408.0,32.0,23.764
52,4,416.0,32.0,23.764
53,4,424.0,32.0,23.744
54,4,432.0,32.0,23.744
55,4,440.0,32.0,23.744
56,4,448.0,32.0,23.715
57,4,456.0,32.0,23.715
58,4,464.0,32.0,23.715
59,4,472.0,32.0,23.715
60,4,480.0,32.0,23.659
61,4,488.0,32.0,23.659
62,4,496.0,32.0,23.659
63,4,504.0,32.0,23.578
64,4,512.0,32.0,23.578
65,4,520.0,32.0,23.578
66,4,528.0,32.0,23.578
67,4,536.0,32.0,23.482
68,4,544.0,32.0,23.482
69,4,552.0,32.0,23.482
70,4,560.0,32.0,23.403
71,4,568.0,32.0,23.403
72,4,576.0,32.0,23.403
73,4,584.0,32.0,23.403
74,4,592.0,32.0,23.349
75,4,600.0,32.0,23.349
76,4,608.0,32.0,23.349
77,4,616.0,32.0,23.276
78,4,624.0,32.0,23.276
79,4,632.0,32.0,23.276
80,4,640.0,32.0,23.276
81,4,648.0,32.0,23.221
82,4,656.0,32.0,23.221
83,4,664.0,32.0,23.221
84,4,672.0,32.0,23.221
85,4,680.0,32.0,23.205
86,4,688.0,32.0,23.205
87,4,696.0,32.0,23.205
88,4,704.0,32.0,23.196
