ix,iz,x,z,T
4,0,32.0,0.0,23.917
5,0,40.0,0.0,23.917
6,0,48.0,0.0,23.917
7,0,56.0,0.0,23.678
8,0,64.0,0.0,23.678
9,0,72.0,0.0,23.678
10,0,80.0,0.0,23.678
11,0,88.0,0.0,23.569
12,0,96.0,0.0,23.569
13,0,104.0,0.0,23.569
14,0,112.0,0.0,23.469
15,0,120.0,0.0,23.469
16,0,128.0,0.0,23.469
17,0,136.0,0.0,23.469
18,0,144.0,0.0,23.359
19,0,152.0,0.0,23.359
20,0,160.0,0.0,23.359
21,0,168.0,0.0,23.359
22,0,176.0,0.0,23.240
23,0,184.0,0.0,23.240
24,0,192.0,0.0,23.240
25,0,200.0,0.0,23.115
26,0,208.0,0.0,23.115
27,0,216.0,0.0,23.115
28,0,224.0,0.0,22.971
29,0,232.0,0.0,22.971
30,0,240.0,0.0,22.971
31,0,248.0,0.0,22.971
32,0,256.0,0.0,22.815
33,0,264.0,0.0,22.815
34,0,272.0,0.0,22.815
35,0,280.0,0.0,22.658
36,0,288.0,0.0,22.658
37,0,296.0,0.0,22.658
38,0,304.0,0.0,22.658
39,0,312.0,0.0,22.437
40,0,320.0,0.0,22.437
41,0,328.0,0.0,22.437
42,0,336.0,0.0,22.437
43,0,344.0,0.0,21.979
44,0,352.0,0.0,21.979
45,0,360.0,0.0,21.979
46,0,368.0,0.0,21.290
47,0,376.0,0.0,21.290
48,0,384.0,0.0,21.290
49,0,392.0,0.0,21.290
50,0,400.0,0.0,21.058
51,0,408.0,0.0,21.058
52,0,416.0,0.0,21.058
53,0,424.0,0.0,21.514
54,0,432.0,0.0,21.514
55,0,440.0,0.0,21.514
56,0,448.0,0.0,22.166
57,0,456.0,0.0,22.166
58,0,464.0,0.0,22.166
59,0,472.0,0.0,22.166
60,0,480.0,0.0,22.535
61,0,488.0,0.0,22.535
62,0,496.0,0.0,22.535
63,0,504.0,0.0,22.756
64,0,512.0,0.0,22.756
65,0,520.0,0.0,22.756
66,0,528.0,0.0,22.756
67,0,536.0,0.0,22.922
68,0,544.0,0.0,22.922
69,0,552.0,0.0,22.922
70,0,560.0,0.0,23.060
71,0,568.0,0.0,23.060
72,0,576.0,0.0,23.060
73,0,584.0,0.0,23.060
74,0,592.0,0.0,23.166
75,0,600.0,0.0,23.166
76,0,608.0,0.0,23.166
77,0,616.0,0.0,23.285
78,0,624.0,0.0,23.285
79,0,632.0,0.0,23.285
80,0,640.0,0.0,23.285
81,0,648.0,0.0,23.401
