ix,iy,x,y,T
97,7,776.0,56.0,26.331
98,7,784.0,56.0,26.331
99,7,792.0,56.0,26.382
1,8,8.0,64.0,26.352
2,8,16.0,64.0,26.352
3,8,24.0,64.0,26.352
4,8,32.0,64.0,26.335
5,8,40.0,64.0,26.335
6,8,48.0,64.0,26.335
7,8,56.0,64.0,26.286
8,8,64.0,64.0,26.286
9,8,72.0,64.0,26.286
10,8,80.0,64.0,26.286
11,8,88.0,64.0,26.098
12,8,96.0,64.0,26.098
13,8,104.0,64.0,26.098
14,8,112.0,64.0,25.954
15,8,120.0,64.0,25.954
16,8,128.0,64.0,25.954
17,8,136.0,64.0,25.954
18,8,144.0,64.0,25.926
19,8,152.0,64.0,25.926
20,8,160.0,64.0,25.926
21,8,168.0,64.0,25.926
22,8,176.0,64.0,25.954
23,8,184.0,64.0,25.954
24,8,192.0,64.0,25.954
25,8,200.0,64.0,25.940
26,8,208.0,64.0,25.940
27,8,216.0,64.0,25.940
28,8,224.0,64.0,26.000
29,8,232.0,64.0,26.000
30,8,240.0,64.0,26.000
31,8,248.0,64.0,26.000
32,8,256.0,64.0,26.117
33,8,264.0,64.0,26.117
34,8,272.0,64.0,26.117
35,8,280.0,64.0,26.219
36,8,288.0,64.0,26.219
37,8,296.0,64.0,26.219
38,8,304.0,64.0,26.219
39,8,312.0,64.0,26.273
40,8,320.0,64.0,26.273
41,8,328.0,64.0,26.273
42,8,336.0,64.0,26.273
43,8,344.0,64.0,26.276
44,8,352.0,64.0,26.276
45,8,360.0,64.0,26.276
46,8,368.0,64.0,26.247
47,8,376.0,64.0,26.247
48,8,384.0,64.0,26.247
49,8,392.0,64.0,26.247
50,8,400.0,64.0,26.223
51,8,408.0,64.0,26.223
52,8,416.0,64.0,26.223
53,8,424.0,64.0,26.261
54,8,432.0,64.0,26.261
55,8,440.0,64.0,26.261
56,8,448.0,64.0,26.278
57,8,456.0,64.0,26.278
58,8,464.0,64.0,26.278
59,8,472.0,64.0,26.278
60,8,480.0,64.0,26.254
61,8,488.0,64.0,26.254
62,8,496.0,64.0,26.254
63,8,504.0,64.0,26.190
64,8,512.0,64.0,26.190
65,8,520.0,64.0,26.190
66,8,528.0,64.0,26.190
67,8,536.0,64.0,26.077
68,8,544.0,64.0,26.077
69,8,552.0,64.0,26.077
70,8,560.0,64.0,25.971
71,8,568.0,64.0,25.971
72,8,576.0,64.0,25.971
73,8,584.0,64.0,25.971
74,8,592.0,64.0,25.946
75,8,600.0,64.0,25.946
76,8,608.0,64.0,25.946
77,8,616.0,64.0,25.946
78,8,624.0,64.0,25.946
79,8,632.0,64.0,25.946
