ix,iz,x,z,T
4,0,32.0,0.0,22.543
5,0,40.0,0.0,22.543
6,0,48.0,0.0,22.543
7,0,56.0,0.0,21.955
8,0,64.0,0.0,21.955
9,0,72.0,0.0,21.955
10,0,80.0,0.0,21.955
11,0,88.0,0.0,21.712
12,0,96.0,0.0,21.712
13,0,104.0,0.0,21.712
14,0,112.0,0.0,21.683
15,0,120.0,0.0,21.683
16,0,128.0,0.0,21.683
17,0,136.0,0.0,21.683
18,0,144.0,0.0,21.742
19,0,152.0,0.0,21.742
20,0,160.0,0.0,21.742
21,0,168.0,0.0,21.742
22,0,176.0,0.0,21.883
23,0,184.0,0.0,21.883
24,0,192.0,0.0,21.883
25,0,200.0,0.0,22.141
26,0,208.0,0.0,22.141
27,0,216.0,0.0,22.141
28,0,224.0,0.0,22.421
29,0,232.0,0.0,22.421
30,0,240.0,0.0,22.421
31,0,248.0,0.0,22.421
32,0,256.0,0.0,22.411
33,0,264.0,0.0,22.411
34,0,272.0,0.0,22.411
35,0,280.0,0.0,22.299
36,0,288.0,0.0,22.299
37,0,296.0,0.0,22.299
38,0,304.0,0.0,22.299
39,0,312.0,0.0,22.222
40,0,320.0,0.0,22.222
41,0,328.0,0.0,22.222
42,0,336.0,0.0,22.222
43,0,344.0,0.0,22.191
44,0,352.0,0.0,22.191
45,0,360.0,0.0,22.191
46,0,368.0,0.0,22.187
47,0,376.0,0.0,22.187
48,0,384.0,0.0,22.187
49,0,392.0,0.0,22.187
50,0,400.0,0.0,22.188
51,0,408.0,0.0,22.188
52,0,416.0,0.0,22.188
53,0,424.0,0.0,22.188
54,0,432.0,0.0,22.188
55,0,440.0,0.0,22.188
56,0,448.0,0.0,22.208
57,0,456.0,0.0,22.208
58,0,464.0,0.0,22.208
59,0,472.0,0.0,22.208
60,0,480.0,0.0,22.258
61,0,488.0,0.0,22.258
62,0,496.0,0.0,22.258
63,0,504.0,0.0,22.339
64,0,512.0,0.0,22.339
65,0,520.0,0.0,22.339
66,0,528.0,0.0,22.339
67,0,536.0,0.0,22.446
68,0,544.0,0.0,22.446
69,0,552.0,0.0,22.446
70,0,560.0,0.0,22.337
71,0,568.0,0.0,22.337
72,0,576.0,0.0,22.337
73,0,584.0,0.0,22.337
74,0,592.0,0.0,22.017
75,0,600.0,0.0,22.017
76,0,608.0,0.0,22.017
77,0,616.0,0.0,21.806
78,0,624.0,0.0,21.806
79,0,632.0,0.0,21.806
80,0,640.0,0.0,21.806
81,0,648.0,0.0,21.706
82,0,656.0,0.0,21.706
83,0,664.0,0.0,21.706
84,0,672.0,0.0,21.706
85,0,680.0,0.0,21.682
86,0,688.0,0.0,21.682
87,0,696.0,0.0,21.682
88,0,704.0,0.0,21.770
89,0,712.0,0.0,21.770
90,0,720.0,0.0,21.770
91,0,728.0,0.0,22.203
92,0,736.0,0.0,22.203
93,0,744.0,0.0,22.203
94,0,752.0,0.0,22.203
95,0,760.0,0.0,22.924
96,0,768.0,0.0,22.924
4,1,32.0,8.0,22.543
5,1,40.0,8.0,22.543
6,1,48.0,8.0,22.543
7,1,56.0,8.0,21.955
8,1,64.0,8.0,21.955
9,1,72.0,8.0,21.955
10,1,80.0,8.0,21.955
11,1,88.0,8.0,21.712
12,1,96.0,8.0,21.712
13,1,104.0,8.0,21.712
14,1,112.0,8.0,21.683
15,1,120.0,8.0,21.683
16,1,128.0,8.0,21.683
17,1,136.0,8.0,21.683
18,1,144.0,8.0,21.742
19,1,152.0,8.0,21.742
20,1,160.0,8.0,21.742
21,1,168.0,8.0,21.742
22,1,176.0,8.0,21.883
23,1,184.0,8.0,21.883
24,1,192.0,8.0,21.883
25,1,200.0,8.0,22.141
26,1,208.0,8.0,22.141
27,1,216.0,8.0,22.141
28,1,224.0,8.0,22.421
29,1,232.0,8.0,22.421
30,1,240.0,8.0,22.421
31,1,248.0,8.0,22.421
32,1,256.0,8.0,22.411
33,1,264.0,8.0,22.411
34,1,272.0,8.0,22.411
35,1,280.0,8.0,22.299
36,1,288.0,8.0,22.299
37,1,296.0,8.0,22.299
38,1,304.0,8.0,22.299
39,1,312.0,8.0,22.222
40,1,320.0,8.0,22.222
41,1,328.0,8.0,22.222
42,1,336.0,8.0,22.222
43,1,344.0,8.0,22.191
44,1,352.0,8.0,22.191
45,1,360.0,8.0,22.191
46,1,368.0,8.0,22.187
47,1,376.0,8.0,22.187
