ix,iy,x,y,T
0,0,0.0,0.0,24.185
1,0,8.0,0.0,24.185
2,0,16.0,0.0,24.185
3,0,24.0,0.0,24.185
4,0,32.0,0.0,24.028
5,0,40.0,0.0,24.028
6,0,48.0,0.0,24.028
7,0,56.0,0.0,23.943
8,0,64.0,0.0,23.943
9,0,72.0,0.0,23.943
10,0,80.0,0.0,23.943
11,0,88.0,0.0,23.906
12,0,96.0,0.0,23.906
13,0,104.0,0.0,23.906
14,0,112.0,0.0,23.902
15,0,120.0,0.0,23.902
16,0,128.0,0.0,23.902
17,0,136.0,0.0,23.902
18,0,144.0,0.0,23.876
19,0,152.0,0.0,23.876
20,0,160.0,0.0,23.876
21,0,168.0,0.0,23.876
22,0,176.0,0.0,23.890
23,0,184.0,0.0,23.890
24,0,192.0,0.0,23.890
25,0,200.0,0.0,23.901
26,0,208.0,0.0,23.901
27,0,216.0,0.0,23.901
28,0,224.0,0.0,23.917
29,0,232.0,0.0,23.917
30,0,240.0,0.0,23.917
31,0,248.0,0.0,23.917
32,0,256.0,0.0,23.942
33,0,264.0,0.0,23.942
34,0,272.0,0.0,23.942
35,0,280.0,0.0,23.967
36,0,288.0,0.0,23.967
37,0,296.0,0.0,23.967
38,0,304.0,0.0,23.967
39,0,312.0,0.0,23.996
40,0,320.0,0.0,23.996
41,0,328.0,0.0,23.996
42,0,336.0,0.0,23.996
43,0,344.0,0.0,24.032
44,0,352.0,0.0,24.032
45,0,360.0,0.0,24.032
46,0,368.0,0.0,24.070
47,0,376.0,0.0,24.070
48,0,384.0,0.0,24.070
49,0,392.0,0.0,24.070
50,0,400.0,0.0,24.088
51,0,408.0,0.0,24.088
52,0,416.0,0.0,24.088
53,0,424.0,0.0,24.057
54,0,432.0,0.0,24.057
55,0,440.0,0.0,24.057
56,0,448.0,0.0,24.020
57,0,456.0,0.0,24.020
58,0,464.0,0.0,24.020
59,0,472.0,0.0,24.020
60,0,480.0,0.0,23.984
61,0,488.0,0.0,23.984
62,0,496.0,0.0,23.984
63,0,504.0,0.0,23.951
64,0,512.0,0.0,23.951
65,0,520.0,0.0,23.951
66,0,528.0,0.0,23.951
67,0,536.0,0.0,23.924
68,0,544.0,0.0,23.924
69,0,552.0,0.0,23.924
70,0,560.0,0.0,23.908
71,0,568.0,0.0,23.908
