pid,step,x,y,z,speed
0,0,3.7351,1.7421,2.6449,0.9903
1,0,3.7079,1.8861,2.6453,0.8621
2,0,3.9853,1.6834,2.5739,1.2916
3,0,4.1969,2.155,2.6492,0.999
4,0,3.5795,1.9461,2.6011,0.8348
5,0,3.949,2.3961,2.6002,0.8355
6,0,3.603,2.1973,2.599,0.804
7,0,3.5112,2.106,2.5999,0.8307
8,0,4.167,2.4092,2.6002,0.8355
9,0,3.7742,1.6002,2.5814,0.8018
10,0,3.971,1.7297,2.6486,1.2736
11,0,4.2563,2.274,2.6452,1.0159
12,0,3.5161,2.07,2.5999,0.8307
13,0,3.8448,1.7794,2.6512,0.9678
14,0,4.4382,1.7131,2.626,0.5438
15,0,3.6824,1.716,2.6494,0.7757
16,0,4.1877,2.253,2.6492,1.0159
17,0,4.3186,2.0492,2.5759,1.2837
18,0,3.7267,2.2258,2.6492,0.999
19,0,4.3502,1.731,2.6221,0.8047
20,0,3.751,1.609,2.5814,1.1881
21,0,3.6568,1.6733,2.6241,0.7757
22,0,3.9418,1.4931,2.5984,0.8251
23,0,4.3258,1.6499,2.6558,0.5585
24,0,4.3523,1.8983,2.5755,1.29
25,0,3.4923,1.9759,2.6512,0.3771
26,0,4.0789,1.5435,2.5984,0.8251
27,0,3.8702,2.404,2.6002,0.8355
28,0,4.3222,1.661,2.6558,0.5585
29,0,3.64,1.7325,2.6494,0.5437
30,0,3.6808,2.0211,2.6444,0.831
31,0,3.7266,2.3189,2.6452,1.0159
32,0,4.3352,2.3142,2.6252,0.7911
33,0,3.6104,2.0278,2.6011,0.8348
34,0,3.7776,1.5689,2.5972,0.8018
35,0,3.7815,1.8386,2.67,1.2518
36,0,3.8077,1.8294,2.6512,0.9678
37,0,3.8739,2.3852,2.6002,0.8355
38,0,3.9358,2.33,2.6445,0.8938
39,0,4.2844,2.296,2.6504,0.7911
40,0,4.4799,2.1755,2.599,0.804
41,0,3.6461,2.0266,2.6469,0.8307
42,0,4.1898,2.322,2.6452,1.0159
43,0,4.0022,1.5714,2.5995,0.8264
44,0,3.6741,1.6733,2.6241,0.7757
45,0,3.6119,1.9089,2.6006,0.8343
46,0,4.3769,1.8367,2.5755,1.29
47,0,3.9039,2.4669,2.6002,0.8355
48,0,3.738,2.2805,2.6478,1.0159
49,0,3.6856,1.6707,2.6241,0.7757
50,0,4.3044,1.7219,2.6221,0.8047
51,0,4.4412,2.1464,2.5999,0.8307
52,0,3.8216,1.7156,2.6528,1.1881
53,0,4.2384,1.5389,2.6261,0.469
54,0,4.3708,2.0436,2.5759,1.2837
55,0,4.0673,2.2844,2.6431,0.845
56,0,4.3983,1.8126,2.5755,0.8343
57,0,3.572,2.0705,2.5999,0.8307
58,0,4.168,2.2187,2.6492,0.999
59,0,3.9006,1.6594,2.575,1.2736
60,0,4.4273,2.19,2.599,0.804
61,0,3.7183,2.1258,2.6462,0.8927
62,0,3.5396,2.1219,2.5999,0.8307
63,0,3.6771,2.3981,2.6272,0.5062
64,0,4.4712,1.9227,2.6011,0.8348
65,0,3.8201,1.5361,2.5972,0.8018
66,0,3.8765,1.6332,2.575,1.2736
67,0,4.161,1.627,2.575,1.2736
68,0,3.8777,2.3945,2.6002,0.8355
69,0,3.7327,2.2775,2.6452,1.0159
70,0,4.1869,1.6668,2.575,1.2736
71,0,3.8463,1.7164,2.6528,1.1881
72,0,4.1588,1.6702,2.575,1.2736
73,0,4.0765,1.5423,2.5984,0.8251
74,0,4.3279,1.8363,2.5755,1.29
75,0,3.6973,1.8811,2.6453,0.8621
76,0,3.8596,1.771,2.6512,0.9678
77,0,4.0726,2.2609,2.67,0.8938
78,0,4.3035,2.2219,2.5821,1.1992
79,0,4.3038,1.8593,2.5755,1.29
80,0,3.7184,2.0697,2.6462,0.8927
81,0,3.89,2.4428,2.6002,0.8355
82,0,4.2515,2.3568,2.6504,0.5063
83,0,4.2281,2.3312,2.6452,1.0159
84,0,4.277,2.2163,2.6514,1.1992
85,0,3.758,2.4602,2.5989,0.8131
86,0,3.8402,2.3148,2.6478,0.9951
87,0,4.2353,2.4284,2.6272,0.5063
88,0,4.0086,1.6386,2.5739,1.2916
89,0,4.127,1.6024,2.575,0.8251
90,0,3.7527,1.8242,2.67,0.8621
91,0,4.3562,2.0417,2.5749,1.2837
92,0,3.8276,1.5284,2.5972,0.8018
93,0,3.9311,1.7229,2.6486,1.2736
94,0,3.725,1.7074,2.6494,0.7757
95,0,4.0378,1.7022,2.5739,1.2916
96,0,3.6743,1.9153,2.6444,0.8621
97,0,4.3097,1.8651,2.5755,1.29
