pid,x,y,z,T,speed
0,418.4,161.6,257.5,18.53,1.274
0,417.4,166.2,250.0,19.62,1.107
0,416.1,170.7,248.9,19.71,0.876
0,414.8,175.3,247.9,19.71,0.606
0,413.6,179.8,246.8,19.71,0.606
0,411.4,181.4,251.3,19.93,0.606
0,408.7,183.6,260.7,19.65,0.654
0,408.7,186.1,267.0,19.60,1.252
0,408.7,188.6,267.0,19.60,1.623
0,408.7,191.1,267.0,19.60,1.623
0,408.7,190.6,267.0,19.60,1.623
0,408.7,193.1,267.0,19.56,1.623
0,408.7,192.7,267.0,19.56,1.704
0,408.7,192.3,267.0,19.56,1.704
0,408.7,191.8,267.0,19.60,1.704
0,408.7,191.4,267.0,19.60,1.623
0,408.7,190.9,267.0,19.60,1.623
0,408.7,190.5,267.0,19.60,1.623
0,408.7,193.0,267.0,19.56,1.623
0,408.7,192.5,267.0,19.56,1.704
0,408.7,192.1,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.2,267.0,19.56,1.704
0,408.7,193.7,267.0,19.56,1.704
0,408.7,193.3,267.0,19.56,1.704
0,408.7,192.8,267.0,19.56,1.704
0,408.7,192.4,267.0,19.56,1.704
0,408.7,191.9,267.0,19.60,1.704
0,408.7,191.5,267.0,19.60,1.623
0,408.7,191.1,267.0,19.60,1.623
0,408.7,190.6,267.0,19.60,1.623
0,408.7,193.1,267.0,19.56,1.623
0,408.7,192.7,267.0,19.56,1.704
0,408.7,192.2,267.0,19.56,1.704
0,408.7,194.7,267.0,19.56,1.704
0,408.7,194.3,267.0,19.56,1.704
0,408.7,193.8,267.0,19.56,1.704
0,408.7,193.4,267.0,19.56,1.704
0,408.7,193.0,267.0,19.56,1.704
0,408.7,192.5,267.0,19.56,1.704
0,408.7,192.1,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.1,267.0,19.56,1.704
0,408.7,193.7,267.0,19.56,1.704
0,408.7,193.2,267.0,19.56,1.704
0,408.7,192.8,267.0,19.56,1.704
0,408.7,192.4,267.0,19.56,1.704
0,408.7,191.9,267.0,19.60,1.704
0,408.7,191.5,267.0,19.60,1.623
0,408.7,191.0,267.0,19.60,1.623
0,408.7,190.6,267.0,19.60,1.623
0,408.7,193.1,267.0,19.56,1.623
0,408.7,192.7,267.0,19.56,1.704
0,408.7,192.2,267.0,19.56,1.704
0,408.7,194.7,267.0,19.56,1.704
0,408.7,194.3,267.0,19.56,1.704
0,408.7,193.8,267.0,19.56,1.704
0,408.7,193.4,267.0,19.56,1.704
0,408.7,192.9,267.0,19.56,1.704
0,408.7,192.5,267.0,19.56,1.704
0,408.7,192.1,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.1,267.0,19.56,1.704
0,408.7,193.7,267.0,19.56,1.704
0,408.7,193.2,267.0,19.56,1.704
0,408.7,192.8,267.0,19.56,1.704
0,408.7,192.3,267.0,19.56,1.704
0,408.7,191.9,267.0,19.60,1.704
0,408.7,191.5,267.0,19.60,1.623
0,408.7,191.0,267.0,19.60,1.623
0,408.7,190.6,267.0,19.60,1.623
0,408.7,193.1,267.0,19.56,1.623
0,408.7,192.6,267.0,19.56,1.704
0,408.7,192.2,267.0,19.56,1.704
0,408.7,194.7,267.0,19.56,1.704
0,408.7,194.2,267.0,19.56,1.704
0,408.7,193.8,267.0,19.56,1.704
0,408.7,193.3,267.0,19.56,1.704
0,408.7,192.9,267.0,19.56,1.704
0,408.7,192.5,267.0,19.56,1.704
0,408.7,192.0,267.0,19.56,1.704
0,408.7,194.5,267.0,19.56,1.704
0,408.7,194.1,267.0,19.56,1.704
0,408.7,193.6,267.0,19.56,1.704
0,408.7,193.2,267.0,19.56,1.704
0,408.7,192.8,267.0,19.56,1.704
0,408.7,192.3,267.0,19.56,1.704
0,408.7,191.9,267.0,19.60,1.704
0,408.7,191.4,267.0,19.60,1.623
0,408.7,191.0,267.0,19.60,1.623
0,408.7,190.5,267.0,19.60,1.623
0,408.7,193.0,267.0,19.56,1.623
0,408.7,192.6,267.0,19.56,1.704
0,408.7,192.2,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.2,267.0,19.56,1.704
0,408.7,193.8,267.0,19.56,1.704
0,408.7,193.3,267.0,19.56,1.704
0,408.7,192.9,267.0,19.56,1.704
0,408.7,192.4,267.0,19.56,1.704
0,408.7,192.0,267.0,19.60,1.704
0,408.7,191.6,267.0,19.60,1.623
0,408.7,191.1,267.0,19.60,1.623
0,408.7,190.7,267.0,19.60,1.623
0,408.7,193.2,267.0,19.56,1.623
0,408.7,192.7,267.0,19.56,1.704
0,408.7,192.3,267.0,19.56,1.704
0,408.7,191.8,267.0,19.60,1.704
0,408.7,191.4,267.0,19.60,1.623
0,408.7,190.9,267.0,19.60,1.623
0,408.7,190.5,267.0,19.60,1.623
0,408.7,193.0,267.0,19.56,1.623
0,408.7,192.6,267.0,19.56,1.704
0,408.7,192.1,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.2,267.0,19.56,1.704
0,408.7,193.7,267.0,19.56,1.704
0,408.7,193.3,267.0,19.56,1.704
0,408.7,192.9,267.0,19.56,1.704
0,408.7,192.4,267.0,19.56,1.704
0,408.7,192.0,267.0,19.60,1.704
0,408.7,191.5,267.0,19.60,1.623
0,408.7,191.1,267.0,19.60,1.623
0,408.7,190.6,267.0,19.60,1.623
0,408.7,193.1,267.0,19.56,1.623
0,408.7,192.7,267.0,19.56,1.704
0,408.7,192.2,267.0,19.56,1.704
0,408.7,191.8,267.0,19.60,1.704
0,408.7,191.4,267.0,19.60,1.623
0,408.7,190.9,267.0,19.60,1.623
0,408.7,190.5,267.0,19.60,1.623
0,408.7,193.0,267.0,19.56,1.623
0,408.7,192.5,267.0,19.56,1.704
0,408.7,192.1,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.2,267.0,19.56,1.704
0,408.7,193.7,267.0,19.56,1.704
0,408.7,193.3,267.0,19.56,1.704
0,408.7,192.8,267.0,19.56,1.704
0,408.7,192.4,267.0,19.56,1.704
0,408.7,191.9,267.0,19.60,1.704
0,408.7,191.5,267.0,19.60,1.623
0,408.7,191.1,267.0,19.60,1.623
0,408.7,190.6,267.0,19.60,1.623
0,408.7,193.1,267.0,19.56,1.623
0,408.7,192.7,267.0,19.56,1.704
0,408.7,192.2,267.0,19.56,1.704
0,408.7,194.7,267.0,19.56,1.704
0,408.7,194.3,267.0,19.56,1.704
0,408.7,193.8,267.0,19.56,1.704
0,408.7,193.4,267.0,19.56,1.704
0,408.7,192.9,267.0,19.56,1.704
0,408.7,192.5,267.0,19.56,1.704
0,408.7,192.1,267.0,19.56,1.704
0,408.7,194.6,267.0,19.56,1.704
0,408.7,194.1,267.0,19.56,1.704
0,408.7,193.7,267.0,19.56,1.704
0,408.7,193.2,267.0,19.56,1.704
0,408.7,192.8,267.0,19.56,1.704
0,408.7,192.3,267.0,19.56,1.704
6,420.5,244.5,262.7,21.44,0.506
6,419.8,241.8,260.4,20.06,0.444
6,419.5,238.7,255.5,19.15,0.739
6,417.6,232.4,255.0,19.15,0.826
6,415.6,226.1,254.5,19.65,0.826
6,413.2,221.1,260.4,19.65,1.020
6,410.8,216.1,266.4,19.57,1.020
6,407.9,212.9,267.0,19.58,1.248
6,407.9,209.6,267.0,19.58,1.592
6,407.9,206.4,267.0,19.58,1.592
6,407.9,203.2,267.0,19.67,1.592
6,407.9,202.7,267.0,19.67,1.704
6,407.9,202.3,267.0,19.67,1.704
6,407.9,201.8,267.0,19.67,1.704
6,407.9,201.4,267.0,19.67,1.704
6,407.9,201.0,267.0,19.67,1.704
6,407.9,200.5,267.0,19.67,1.704
6,407.9,200.1,267.0,19.67,1.704
6,407.9,199.6,267.0,19.67,1.704
6,407.9,199.2,267.0,19.67,1.704
6,407.9,198.7,267.0,19.67,1.704
6,407.9,198.3,267.0,19.67,1.704
6,407.9,197.8,267.0,19.67,1.704
6,407.9,197.4,267.0,19.67,1.704
6,407.9,197.0,267.0,19.67,1.704
6,407.9,196.5,267.0,19.67,1.704
6,407.9,196.1,267.0,19.67,1.704
6,407.9,195.6,267.0,19.67,1.704
6,407.9,195.2,267.0,19.67,1.704
6,407.9,194.8,267.0,19.67,1.704
6,407.9,194.3,267.0,19.67,1.704
6,407.9,193.9,267.0,19.67,1.704
6,407.9,193.4,267.0,19.67,1.704
6,407.9,193.0,267.0,19.67,1.704
6,407.9,192.5,267.0,19.67,1.704
6,407.9,192.1,267.0,19.67,1.704
6,407.9,194.6,267.0,19.67,1.704
6,407.9,194.2,267.0,19.67,1.704
6,407.9,193.7,267.0,19.67,1.704
6,407.9,193.3,267.0,19.67,1.704
6,407.9,192.8,267.0,19.67,1.704
6,407.9,192.4,267.0,19.67,1.704
6,407.9,191.9,267.0,19.35,1.704
6,407.9,191.5,267.0,19.35,1.623
6,407.9,191.0,267.0,19.35,1.623
6,407.9,190.6,267.0,19.35,1.623
6,407.9,193.1,267.0,19.67,1.623
6,407.9,192.7,267.0,19.67,1.704
6,407.9,192.2,267.0,19.67,1.704
6,407.9,194.7,267.0,19.67,1.704
6,407.9,194.3,267.0,19.67,1.704
6,407.9,193.8,267.0,19.67,1.704
6,407.9,193.4,267.0,19.67,1.704
6,407.9,192.9,267.0,19.67,1.704
6,407.9,192.5,267.0,19.67,1.704
6,407.9,192.1,267.0,19.67,1.704
6,407.9,194.6,267.0,19.67,1.704
