pid,x,y,z,T,speed
0,429.8,240.4,262.7,21.35,0.507
0,425.3,235.6,262.8,21.03,0.445
0,420.9,230.8,262.8,21.03,0.816
0,418.9,224.5,262.3,19.60,0.816
0,416.0,219.3,267.0,19.52,1.021
0,413.2,214.1,267.0,19.64,1.247
0,410.3,210.8,267.0,19.64,1.591
0,407.4,207.6,267.0,19.53,1.591
0,407.4,204.3,267.0,19.53,1.684
0,407.4,203.8,267.0,19.62,1.684
0,407.4,203.4,267.0,19.62,1.846
0,407.4,202.9,267.0,19.62,1.846
0,407.4,202.4,267.0,19.62,1.846
0,407.4,201.9,267.0,19.62,1.846
0,407.4,201.4,267.0,19.62,1.846
0,407.4,200.9,267.0,19.62,1.846
0,407.4,200.5,267.0,19.62,1.846
0,407.4,200.0,267.0,19.62,1.846
0,407.4,199.5,267.0,19.62,1.846
0,407.4,199.0,267.0,19.62,1.846
0,407.4,198.5,267.0,19.62,1.846
0,407.4,198.0,267.0,19.62,1.846
0,407.4,197.6,267.0,19.62,1.846
0,407.4,197.1,267.0,19.62,1.846
0,407.4,196.6,267.0,19.62,1.846
0,407.4,196.1,267.0,19.62,1.846
0,407.4,195.6,267.0,19.62,1.846
0,407.4,195.2,267.0,19.62,1.846
0,407.4,194.7,267.0,19.62,1.846
0,407.4,194.2,267.0,19.62,1.846
0,407.4,193.7,267.0,19.62,1.846
0,407.4,193.2,267.0,19.62,1.846
0,407.4,192.7,267.0,19.62,1.846
0,407.4,192.3,267.0,19.62,1.846
0,407.4,191.8,267.0,19.30,1.846
0,407.4,191.3,267.0,19.30,1.734
0,407.4,190.8,267.0,19.30,1.734
0,407.4,190.3,267.0,19.30,1.734
0,407.4,192.8,267.0,19.62,1.734
0,407.4,192.3,267.0,19.62,1.846
0,407.4,191.8,267.0,19.30,1.846
0,407.4,191.3,267.0,19.30,1.734
0,407.4,190.9,267.0,19.30,1.734
0,407.4,190.4,267.0,19.30,1.734
0,407.4,192.8,267.0,19.62,1.734
0,407.4,192.4,267.0,19.62,1.846
