pid,x,y,z,T,speed
0,396.0,165.4,257.4,18.70,1.295
0,396.0,170.2,249.8,19.96,1.124
0,396.0,175.2,248.4,19.96,0.646
0,396.0,180.2,247.0,20.16,0.646
0,396.0,182.1,252.0,19.87,0.674
0,396.0,184.5,262.3,19.87,1.321
0,396.0,187.1,267.0,19.80,1.321
0,396.0,189.7,267.0,19.80,1.726
0,396.0,192.3,267.0,19.75,1.726
0,396.0,191.9,267.0,19.80,1.845
0,396.0,191.6,267.0,19.80,1.726
0,396.0,191.2,267.0,19.80,1.726
0,396.0,190.8,267.0,19.80,1.726
0,396.0,190.5,267.0,19.80,1.726
0,396.0,193.0,267.0,19.75,1.726
0,396.0,192.7,267.0,19.75,1.845
0,396.0,192.3,267.0,19.75,1.845
0,396.0,191.9,267.0,19.80,1.845
0,396.0,191.6,267.0,19.80,1.726
0,396.0,191.2,267.0,19.80,1.726
0,396.0,190.8,267.0,19.80,1.726
0,396.0,190.5,267.0,19.80,1.726
0,396.0,193.1,267.0,19.75,1.726
0,396.0,192.7,267.0,19.75,1.845
0,396.0,192.3,267.0,19.75,1.845
0,396.0,192.0,267.0,19.80,1.845
0,396.0,191.6,267.0,19.80,1.726
0,396.0,191.2,267.0,19.80,1.726
0,396.0,190.9,267.0,19.80,1.726
0,396.0,190.5,267.0,19.80,1.726
0,396.0,193.1,267.0,19.75,1.726
0,396.0,192.7,267.0,19.75,1.845
0,396.0,192.3,267.0,19.75,1.845
0,396.0,192.0,267.0,19.80,1.845
0,396.0,191.6,267.0,19.80,1.726
0,396.0,191.2,267.0,19.80,1.726
0,396.0,190.9,267.0,19.80,1.726
0,396.0,190.5,267.0,19.80,1.726
0,396.0,193.1,267.0,19.75,1.726
0,396.0,192.7,267.0,19.75,1.845
0,396.0,192.4,267.0,19.75,1.845
0,396.0,192.0,267.0,19.75,1.845
0,396.0,194.6,267.0,19.75,1.845
0,396.0,194.2,267.0,19.75,1.845
0,396.0,193.9,267.0,19.75,1.845
0,396.0,193.5,267.0,19.75,1.845
0,396.0,193.1,267.0,19.75,1.845
0,396.0,192.8,267.0,19.75,1.845
0,396.0,192.4,267.0,19.75,1.845
0,396.0,192.0,267.0,19.75,1.845
0,396.0,194.6,267.0,19.75,1.845
0,396.0,194.2,267.0,19.75,1.845
0,396.0,193.9,267.0,19.75,1.845
0,396.0,193.5,267.0,19.75,1.845
0,396.0,193.2,267.0,19.75,1.845
0,396.0,192.8,267.0,19.75,1.845
0,396.0,192.4,267.0,19.75,1.845
0,396.0,192.1,267.0,19.75,1.845
0,396.0,194.6,267.0,19.75,1.845
0,396.0,194.3,267.0,19.75,1.845
0,396.0,193.9,267.0,19.75,1.845
0,396.0,193.5,267.0,19.75,1.845
0,396.0,193.2,267.0,19.75,1.845
0,396.0,192.8,267.0,19.75,1.845
0,396.0,192.4,267.0,19.75,1.845
0,396.0,192.1,267.0,19.75,1.845
0,396.0,194.7,267.0,19.75,1.845
0,396.0,194.3,267.0,19.75,1.845
0,396.0,193.9,267.0,19.75,1.845
0,396.0,193.6,267.0,19.75,1.845
0,396.0,193.2,267.0,19.75,1.845
0,396.0,192.8,267.0,19.75,1.845
0,396.0,192.5,267.0,19.75,1.845
0,396.0,192.1,267.0,19.75,1.845
0,396.0,194.7,267.0,19.75,1.845
0,396.0,194.3,267.0,19.75,1.845
0,396.0,193.9,267.0,19.75,1.845
0,396.0,193.6,267.0,19.75,1.845
0,396.0,193.2,267.0,19.75,1.845
0,396.0,192.9,267.0,19.75,1.845
0,396.0,192.5,267.0,19.75,1.845
0,396.0,192.1,267.0,19.75,1.845
0,396.0,194.7,267.0,19.75,1.845
0,396.0,194.3,267.0,19.75,1.845
0,396.0,194.0,267.0,19.75,1.845
