pid,x,y,z,T,speed
0,397.7,190.4,267.0,19.31,1.733
0,397.7,192.9,267.0,19.63,1.733
0,397.7,192.4,267.0,19.63,1.846
0,397.7,191.9,267.0,19.31,1.846
0,397.7,191.5,267.0,19.31,1.733
0,397.7,191.0,267.0,19.31,1.733
0,397.7,190.5,267.0,19.31,1.733
0,397.7,193.0,267.0,19.63,1.733
0,397.7,192.5,267.0,19.63,1.846
0,397.7,192.1,267.0,19.63,1.846
0,397.7,194.6,267.0,19.63,1.846
0,397.7,194.1,267.0,19.63,1.846
0,397.7,193.6,267.0,19.63,1.846
0,397.7,193.1,267.0,19.63,1.846
0,397.7,192.7,267.0,19.63,1.846
0,397.7,192.2,267.0,19.63,1.846
0,397.7,194.7,267.0,19.63,1.846
0,397.7,194.2,267.0,19.63,1.846
0,397.7,193.7,267.0,19.63,1.846
0,397.7,193.2,267.0,19.63,1.846
0,397.7,192.8,267.0,19.63,1.846
0,397.7,192.3,267.0,19.63,1.846
0,397.7,191.8,267.0,19.31,1.846
0,397.7,191.4,267.0,19.31,1.733
0,397.7,190.9,267.0,19.31,1.733
0,397.7,190.4,267.0,19.31,1.733
0,397.7,192.9,267.0,19.63,1.733
0,397.7,192.4,267.0,19.63,1.846
0,397.7,192.0,267.0,19.31,1.846
0,397.7,191.5,267.0,19.31,1.733
0,397.7,191.0,267.0,19.31,1.733
0,397.7,190.5,267.0,19.31,1.733
0,397.7,193.0,267.0,19.63,1.733
0,397.7,192.5,267.0,19.63,1.846
6,451.2,205.6,260.0,21.41,0.831
6,448.2,204.8,255.0,21.41,0.736
6,445.2,204.0,250.0,22.04,0.736
6,442.6,203.4,246.5,19.85,0.560
6,438.1,203.1,241.1,19.85,0.878
6,435.7,202.5,236.9,20.87,0.878
6,433.2,202.0,232.8,20.87,0.606
6,430.8,201.5,228.6,20.30,0.606
6,428.9,201.0,225.0,20.57,0.532
6,426.9,200.4,221.3,20.57,0.518
6,425.0,199.9,217.7,20.57,0.518
6,423.7,199.3,213.8,20.76,0.518
6,422.4,198.8,209.8,20.76,0.526
6,421.1,198.2,205.8,20.76,0.526
6,420.2,197.7,201.7,20.89,0.526
6,420.0,197.3,197.5,20.89,0.537
6,419.8,197.0,193.4,20.49,0.537
6,419.7,196.6,188.8,20.55,0.518
6,419.6,196.2,184.3,20.55,0.574
6,419.4,195.9,179.7,20.60,0.574
6,419.4,195.5,174.6,20.60,0.639
6,419.4,195.2,169.5,20.60,0.639
6,419.4,194.8,164.2,20.63,0.639
6,419.5,194.4,158.9,20.63,0.660
6,419.5,194.0,153.7,20.66,0.660
6,419.5,193.7,148.3,20.66,0.677
6,419.6,193.3,142.9,20.69,0.677
6,419.6,192.9,137.4,20.69,0.690
6,419.7,192.5,131.8,20.75,0.690
6,419.7,192.1,126.3,20.75,0.701
6,419.7,191.7,120.5,20.55,0.701
6,419.8,191.3,114.5,20.58,0.723
6,419.8,190.9,108.6,20.58,0.744
6,419.8,190.5,102.6,20.60,0.744
6,419.7,189.8,98.4,20.60,0.752
6,419.7,189.4,92.3,20.62,0.752
6,419.8,189.0,86.3,20.62,0.757
6,419.9,188.6,80.2,20.63,0.757
6,419.8,187.9,76.1,20.63,0.531
6,419.8,187.3,71.9,20.65,0.758
6,419.9,186.9,65.9,20.65,0.753
6,419.9,186.2,61.7,20.65,0.530
6,420.4,185.6,57.6,21.51,0.530
6,420.9,185.0,53.5,21.51,0.520
6,421.4,184.4,49.4,21.51,0.520
6,422.2,183.9,45.5,21.42,0.520
6,423.1,183.4,41.7,21.42,0.500
6,424.0,182.9,37.8,21.42,0.500
6,425.4,182.6,34.3,21.29,0.500
6,426.8,182.2,30.9,21.29,0.468
6,428.2,181.9,27.4,21.29,0.468
6,429.6,181.5,23.9,21.12,0.468
6,431.6,181.5,21.3,21.12,0.424
6,434.1,181.3,19.2,21.68,0.424
6,436.5,181.1,17.1,21.68,0.399
6,438.9,181.0,15.1,21.68,0.399
6,441.4,180.8,13.0,21.68,0.399
6,444.9,181.0,11.6,21.39,0.399
6,448.6,181.2,10.5,21.39,0.492
6,452.4,181.4,9.4,21.39,0.492
6,456.2,181.5,8.4,21.54,0.492
6,460.1,181.7,7.6,21.54,0.495
6,464.0,181.8,6.8,21.54,0.495
6,467.8,181.9,5.9,21.54,0.495
6,471.7,182.0,5.3,21.67,0.495
6,475.5,182.1,4.7,21.67,0.485
6,479.3,182.2,4.1,21.67,0.485
6,482.9,182.3,3.7,21.83,0.485
6,486.4,182.3,3.4,21.83,0.446
6,490.0,182.4,3.0,21.83,0.446
6,493.5,182.4,3.0,21.98,0.446
6,496.9,182.5,3.0,21.98,0.424
6,500.3,182.5,3.0,21.98,0.424
6,503.7,182.6,3.0,21.98,0.424
6,506.9,182.6,3.0,22.07,0.424
6,510.1,182.7,3.0,22.07,0.403
6,513.3,182.7,3.0,22.07,0.403
6,516.5,182.7,3.0,22.15,0.403
6,519.6,182.7,3.0,22.15,0.382
6,522.6,182.7,3.0,22.15,0.382
6,525.7,182.8,3.0,22.15,0.382
6,528.7,182.8,3.0,22.23,0.382
6,531.6,182.8,3.0,22.23,0.363
6,534.5,182.8,3.0,22.23,0.363
6,537.4,182.8,3.0,22.23,0.363
6,540.3,182.8,3.0,22.35,0.363
6,542.9,182.8,3.0,22.35,0.327
6,545.5,182.7,3.0,22.35,0.327
6,548.1,182.7,3.0,22.35,0.327
6,550.8,182.7,3.0,22.35,0.327
6,553.2,182.6,3.0,22.45,0.327
6,555.7,182.6,3.0,22.45,0.310
6,558.2,182.6,3.0,22.45,0.310
6,560.7,182.5,3.0,22.45,0.310
6,563.2,182.5,3.0,22.45,0.310
6,565.5,182.4,3.0,22.52,0.310
6,567.9,182.4,3.0,22.52,0.295
6,570.2,182.3,3.0,22.52,0.295
6,572.6,182.3,3.0,22.52,0.295
6,575.0,182.2,3.0,22.52,0.295
6,577.2,182.1,3.0,22.60,0.295
