pid,x,y,z,T,speed
0,418.0,175.3,264.5,19.05,0.992
0,415.4,181.7,264.4,19.64,0.862
0,412.5,184.2,267.0,19.64,1.623
0,409.6,186.7,267.0,19.64,1.623
0,406.7,189.1,267.0,19.38,1.623
0,406.7,191.6,267.0,19.38,1.730
0,406.7,191.2,267.0,19.38,1.730
0,406.7,190.8,267.0,19.38,1.730
0,406.7,190.4,267.0,19.38,1.730
0,406.7,192.9,267.0,19.70,1.730
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.3,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,192.9,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,193.0,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
0,406.7,193.0,267.0,19.70,1.846
0,406.7,192.5,267.0,19.70,1.846
0,406.7,192.1,267.0,19.70,1.846
0,406.7,194.6,267.0,19.70,1.846
0,406.7,194.2,267.0,19.70,1.846
0,406.7,193.8,267.0,19.70,1.846
0,406.7,193.4,267.0,19.70,1.846
