t_s,point,ue_x,ue_y,z,T_C,U_mag
7.57,C,4.00,4.50,0.10,28.873,0.0791
7.57,C,4.00,4.50,1.10,26.280,0.4978
7.57,C,4.00,4.50,1.70,25.529,0.7997
7.57,D,0.50,0.80,0.10,28.873,0.0186
7.57,D,0.50,0.80,1.10,28.867,0.0345
7.57,D,0.50,0.80,1.70,28.861,0.0452
8.45,A,4.00,2.00,0.10,28.872,0.0183
8.45,A,4.00,2.00,1.10,28.867,0.1090
8.45,A,4.00,2.00,1.70,28.861,0.2074
8.45,B,7.50,0.80,0.10,28.873,0.0275
8.45,B,7.50,0.80,1.10,28.867,0.0502
8.45,B,7.50,0.80,1.70,28.861,0.0633
8.45,C,4.00,4.50,0.10,28.873,0.1188
8.45,C,4.00,4.50,1.10,26.239,0.5849
8.45,C,4.00,4.50,1.70,25.585,0.7817
8.45,D,0.50,0.80,0.10,28.873,0.0275
8.45,D,0.50,0.80,1.10,28.867,0.0502
8.45,D,0.50,0.80,1.70,28.861,0.0633
9.33,A,4.00,2.00,0.10,28.872,0.0210
9.33,A,4.00,2.00,1.10,28.867,0.1150
9.33,A,4.00,2.00,1.70,28.861,0.2111
9.33,B,7.50,0.80,0.10,28.872,0.0400
9.33,B,7.50,0.80,1.10,28.867,0.0723
9.33,B,7.50,0.80,1.70,28.860,0.0871
9.33,C,4.00,4.50,0.10,28.872,0.1734
9.33,C,4.00,4.50,1.10,26.333,0.6073
9.33,C,4.00,4.50,1.70,25.600,0.7703
9.33,D,0.50,0.80,0.10,28.872,0.0400
9.33,D,0.50,0.80,1.10,28.867,0.0723
9.33,D,0.50,0.80,1.70,28.860,0.0871
10.21,A,4.00,2.00,0.10,28.872,0.0249
10.21,A,4.00,2.00,1.10,28.867,0.1212
10.21,A,4.00,2.00,1.70,28.861,0.2148
10.21,B,7.50,0.80,0.10,28.872,0.0574
10.21,B,7.50,0.80,1.10,28.865,0.1023
10.21,B,7.50,0.80,1.70,28.850,0.1153
10.21,C,4.00,4.50,0.10,28.849,0.2495
10.21,C,4.00,4.50,1.10,26.437,0.6055
10.21,C,4.00,4.50,1.70,25.601,0.7640
10.21,D,0.50,0.80,0.10,28.872,0.0574
10.21,D,0.50,0.80,1.10,28.865,0.1023
10.21,D,0.50,0.80,1.70,28.850,0.1153
11.10,A,4.00,2.00,0.10,28.871,0.0305
11.10,A,4.00,2.00,1.10,28.867,0.1280
11.10,A,4.00,2.00,1.70,28.861,0.2184
11.10,B,7.50,0.80,0.10,28.872,0.0811
11.10,B,7.50,0.80,1.10,28.835,0.1399
11.10,B,7.50,0.80,1.70,28.811,0.1454
11.10,C,4.00,4.50,0.10,28.549,0.3300
11.10,C,4.00,4.50,1.10,26.516,0.5988
11.10,C,4.00,4.50,1.70,25.598,0.7611
11.10,D,0.50,0.80,0.10,28.872,0.0811
11.10,D,0.50,0.80,1.10,28.835,0.1399
11.10,D,0.50,0.80,1.70,28.811,0.1455
11.98,A,4.00,2.00,0.10,28.871,0.0386
11.98,A,4.00,2.00,1.10,28.867,0.1354
11.98,A,4.00,2.00,1.70,28.861,0.2220
11.98,B,7.50,0.80,0.10,28.872,0.1135
11.98,B,7.50,0.80,1.10,28.701,0.1775
11.98,B,7.50,0.80,1.70,28.712,0.1707
11.98,C,4.00,4.50,0.10,27.874,0.3237
11.98,C,4.00,4.50,1.10,26.570,0.5926
11.98,C,4.00,4.50,1.70,25.595,0.7603
11.98,D,0.50,0.80,0.10,28.872,0.1135
11.98,D,0.50,0.80,1.10,28.701,0.1775
11.98,D,0.50,0.80,1.70,28.712,0.1707
12.86,A,4.00,2.00,0.10,28.870,0.0501
12.86,A,4.00,2.00,1.10,28.867,0.1435
12.86,A,4.00,2.00,1.70,28.861,0.2255
12.86,B,7.50,0.80,0.10,28.871,0.1590
12.86,B,7.50,0.80,1.10,28.387,0.2014
12.86,B,7.50,0.80,1.70,28.507,0.1814
12.86,C,4.00,4.50,0.10,27.486,0.2729
12.86,C,4.00,4.50,1.10,26.604,0.5872
12.86,C,4.00,4.50,1.70,25.593,0.7606
12.86,D,0.50,0.80,0.10,28.871,0.1590
12.86,D,0.50,0.80,1.10,28.387,0.2014
12.86,D,0.50,0.80,1.70,28.507,0.1814
13.75,A,4.00,2.00,0.10,28.844,0.0679
13.75,A,4.00,2.00,1.10,28.866,0.1521
13.75,A,4.00,2.00,1.70,28.861,0.2290
13.75,B,7.50,0.80,0.10,28.845,0.2252
13.75,B,7.50,0.80,1.10,27.933,0.2060
13.75,B,7.50,0.80,1.70,28.192,0.1679
13.75,C,4.00,4.50,0.10,27.375,0.2289
13.75,C,4.00,4.50,1.10,26.622,0.5824
13.75,C,4.00,4.50,1.70,25.590,0.7613
13.75,D,0.50,0.80,0.10,28.845,0.2252
13.75,D,0.50,0.80,1.10,27.933,0.2060
13.75,D,0.50,0.80,1.70,28.192,0.1679
14.63,A,4.00,2.00,0.10,28.607,0.1043
14.63,A,4.00,2.00,1.10,28.866,0.1612
14.63,A,4.00,2.00,1.70,28.861,0.2324
14.63,B,7.50,0.80,0.10,28.633,0.3077
14.63,B,7.50,0.80,1.10,27.493,0.1999
14.63,B,7.50,0.80,1.70,27.870,0.1359
14.63,C,4.00,4.50,0.10,27.372,0.1985
14.63,C,4.00,4.50,1.10,26.628,0.5787
14.63,C,4.00,4.50,1.70,25.587,0.7624
14.63,D,0.50,0.80,0.10,28.633,0.3077
14.63,D,0.50,0.80,1.10,27.493,0.1999
14.63,D,0.50,0.80,1.70,27.870,0.1359
15.51,A,4.00,2.00,0.10,27.896,0.1844
15.51,A,4.00,2.00,1.10,28.865,0.1708
15.51,A,4.00,2.00,1.70,28.860,0.2358
15.51,B,7.50,0.80,0.10,28.124,0.3706
15.51,B,7.50,0.80,1.10,27.236,0.1970
15.51,B,7.50,0.80,1.70,27.675,0.1117
15.51,C,4.00,4.50,0.10,27.403,0.1793
15.51,C,4.00,4.50,1.10,26.625,0.5763
15.51,C,4.00,4.50,1.70,25.584,0.7637
15.51,D,0.50,0.80,0.10,28.124,0.3706
15.51,D,0.50,0.80,1.10,27.236,0.1970
15.51,D,0.50,0.80,1.70,27.675,0.1117
16.40,A,4.00,2.00,0.10,27.319,0.2760
16.40,A,4.00,2.00,1.10,28.862,0.1808
16.40,A,4.00,2.00,1.70,28.860,0.2394
16.40,B,7.50,0.80,0.10,27.583,0.3972
16.40,B,7.50,0.80,1.10,27.195,0.1995
16.40,B,7.50,0.80,1.70,27.642,0.1163
16.40,C,4.00,4.50,0.10,27.438,0.1682
16.40,C,4.00,4.50,1.10,26.615,0.5754
16.40,C,4.00,4.50,1.70,25.581,0.7652
16.40,D,0.50,0.80,0.10,27.583,0.3972
16.40,D,0.50,0.80,1.10,27.195,0.1995
16.40,D,0.50,0.80,1.70,27.642,0.1163
17.28,A,4.00,2.00,0.10,27.169,0.3383
17.28,A,4.00,2.00,1.10,28.845,0.1902
17.28,A,4.00,2.00,1.70,28.860,0.2435
