t_s,point,ue_x,ue_y,z,T_C,U_mag
263.30,C,4.00,4.50,0.10,22.942,0.2017
263.30,C,4.00,4.50,1.10,22.048,0.4419
263.30,C,4.00,4.50,1.70,21.616,0.6499
263.30,D,0.50,0.80,0.10,22.912,0.2023
263.30,D,0.50,0.80,1.10,22.972,0.1490
263.30,D,0.50,0.80,1.70,23.413,0.0734
264.18,A,4.00,2.00,0.10,23.323,0.1010
264.18,A,4.00,2.00,1.10,22.677,0.0501
264.18,A,4.00,2.00,1.70,22.671,0.1209
264.18,B,7.50,0.80,0.10,22.913,0.2014
264.18,B,7.50,0.80,1.10,22.961,0.1519
264.18,B,7.50,0.80,1.70,23.391,0.0756
264.18,C,4.00,4.50,0.10,22.942,0.1996
264.18,C,4.00,4.50,1.10,22.045,0.4394
264.18,C,4.00,4.50,1.70,21.610,0.6496
264.18,D,0.50,0.80,0.10,22.913,0.2014
264.18,D,0.50,0.80,1.10,22.961,0.1519
264.18,D,0.50,0.80,1.70,23.391,0.0757
265.07,A,4.00,2.00,0.10,23.322,0.1004
265.07,A,4.00,2.00,1.10,22.672,0.0498
265.07,A,4.00,2.00,1.70,22.668,0.1217
265.07,B,7.50,0.80,0.10,22.915,0.2003
265.07,B,7.50,0.80,1.10,22.949,0.1552
265.07,B,7.50,0.80,1.70,23.369,0.0779
265.07,C,4.00,4.50,0.10,22.942,0.1979
265.07,C,4.00,4.50,1.10,22.041,0.4370
265.07,C,4.00,4.50,1.70,21.605,0.6492
265.07,D,0.50,0.80,0.10,22.915,0.2002
265.07,D,0.50,0.80,1.10,22.949,0.1552
265.07,D,0.50,0.80,1.70,23.369,0.0779
265.96,A,4.00,2.00,0.10,23.321,0.0999
265.96,A,4.00,2.00,1.10,22.668,0.0494
265.96,A,4.00,2.00,1.70,22.665,0.1225
265.96,B,7.50,0.80,0.10,22.919,0.1990
265.96,B,7.50,0.80,1.10,22.940,0.1587
265.96,B,7.50,0.80,1.70,23.349,0.0800
265.96,C,4.00,4.50,0.10,22.942,0.1964
265.96,C,4.00,4.50,1.10,22.037,0.4346
265.96,C,4.00,4.50,1.70,21.600,0.6489
265.96,D,0.50,0.80,0.10,22.919,0.1990
265.96,D,0.50,0.80,1.10,22.940,0.1587
265.96,D,0.50,0.80,1.70,23.348,0.0801
266.84,A,4.00,2.00,0.10,23.320,0.0998
266.84,A,4.00,2.00,1.10,22.664,0.0488
266.84,A,4.00,2.00,1.70,22.663,0.1234
266.84,B,7.50,0.80,0.10,22.924,0.1976
266.84,B,7.50,0.80,1.10,22.931,0.1624
266.84,B,7.50,0.80,1.70,23.330,0.0820
266.84,C,4.00,4.50,0.10,22.942,0.1954
266.84,C,4.00,4.50,1.10,22.033,0.4322
266.84,C,4.00,4.50,1.70,21.595,0.6485
266.84,D,0.50,0.80,0.10,22.924,0.1976
266.84,D,0.50,0.80,1.10,22.931,0.1624
266.84,D,0.50,0.80,1.70,23.330,0.0821
267.73,A,4.00,2.00,0.10,23.319,0.0999
267.73,A,4.00,2.00,1.10,22.659,0.0481
267.73,A,4.00,2.00,1.70,22.660,0.1243
267.73,B,7.50,0.80,0.10,22.930,0.1963
267.73,B,7.50,0.80,1.10,22.925,0.1662
267.73,B,7.50,0.80,1.70,23.313,0.0838
267.73,C,4.00,4.50,0.10,22.942,0.1947
267.73,C,4.00,4.50,1.10,22.028,0.4300
267.73,C,4.00,4.50,1.70,21.590,0.6482
267.73,D,0.50,0.80,0.10,22.930,0.1963
267.73,D,0.50,0.80,1.10,22.925,0.1662
267.73,D,0.50,0.80,1.70,23.313,0.0839
268.62,A,4.00,2.00,0.10,23.317,0.1002
268.62,A,4.00,2.00,1.10,22.655,0.0473
268.62,A,4.00,2.00,1.70,22.658,0.1251
268.62,B,7.50,0.80,0.10,22.937,0.1949
268.62,B,7.50,0.80,1.10,22.920,0.1698
268.62,B,7.50,0.80,1.70,23.299,0.0854
268.62,C,4.00,4.50,0.10,22.941,0.1944
268.62,C,4.00,4.50,1.10,22.023,0.4278
268.62,C,4.00,4.50,1.70,21.586,0.6478
268.62,D,0.50,0.80,0.10,22.937,0.1949
268.62,D,0.50,0.80,1.10,22.920,0.1698
268.62,D,0.50,0.80,1.70,23.299,0.0854
269.50,A,4.00,2.00,0.10,23.315,0.1008
269.50,A,4.00,2.00,1.10,22.651,0.0462
269.50,A,4.00,2.00,1.70,22.656,0.1260
269.50,B,7.50,0.80,0.10,22.945,0.1936
269.50,B,7.50,0.80,1.10,22.917,0.1733
269.50,B,7.50,0.80,1.70,23.287,0.0866
269.50,C,4.00,4.50,0.10,22.940,0.1945
269.50,C,4.00,4.50,1.10,22.018,0.4258
269.50,C,4.00,4.50,1.70,21.582,0.6475
269.50,D,0.50,0.80,0.10,22.945,0.1936
269.50,D,0.50,0.80,1.10,22.917,0.1733
269.50,D,0.50,0.80,1.70,23.287,0.0866
270.39,A,4.00,2.00,0.10,23.312,0.1017
270.39,A,4.00,2.00,1.10,22.647,0.0451
270.39,A,4.00,2.00,1.70,22.654,0.1267
270.39,B,7.50,0.80,0.10,22.954,0.1925
270.39,B,7.50,0.80,1.10,22.915,0.1765
270.39,B,7.50,0.80,1.70,23.279,0.0874
270.39,C,4.00,4.50,0.10,22.938,0.1949
270.39,C,4.00,4.50,1.10,22.013,0.4239
270.39,C,4.00,4.50,1.70,21.578,0.6471
270.39,D,0.50,0.80,0.10,22.954,0.1925
270.39,D,0.50,0.80,1.10,22.915,0.1765
270.39,D,0.50,0.80,1.70,23.279,0.0875
271.28,A,4.00,2.00,0.10,23.309,0.1027
271.28,A,4.00,2.00,1.10,22.643,0.0438
271.28,A,4.00,2.00,1.70,22.652,0.1274
271.28,B,7.50,0.80,0.10,22.964,0.1916
271.28,B,7.50,0.80,1.10,22.915,0.1793
271.28,B,7.50,0.80,1.70,23.274,0.0880
271.28,C,4.00,4.50,0.10,22.936,0.1956
271.28,C,4.00,4.50,1.10,22.007,0.4222
271.28,C,4.00,4.50,1.70,21.574,0.6468
271.28,D,0.50,0.80,0.10,22.964,0.1916
271.28,D,0.50,0.80,1.10,22.915,0.1793
271.28,D,0.50,0.80,1.70,23.274,0.0880
272.16,A,4.00,2.00,0.10,23.305,0.1039
272.16,A,4.00,2.00,1.10,22.640,0.0423
272.16,A,4.00,2.00,1.70,22.650,0.1281
272.16,B,7.50,0.80,0.10,22.974,0.1910
272.16,B,7.50,0.80,1.10,22.915,0.1817
272.16,B,7.50,0.80,1.70,23.272,0.0882
272.16,C,4.00,4.50,0.10,22.933,0.1967
272.16,C,4.00,4.50,1.10,22.001,0.4207
272.16,C,4.00,4.50,1.70,21.570,0.6464
272.16,D,0.50,0.80,0.10,22.974,0.1910
272.16,D,0.50,0.80,1.10,22.915,0.1818
272.16,D,0.50,0.80,1.70,23.272,0.0882
273.05,A,4.00,2.00,0.10,23.300,0.1053
273.05,A,4.00,2.00,1.10,22.636,0.0407
273.05,A,4.00,2.00,1.70,22.648,0.1286
273.05,B,7.50,0.80,0.10,22.984,0.1906
273.05,B,7.50,0.80,1.10,22.915,0.1838
273.05,B,7.50,0.80,1.70,23.272,0.0882
273.05,C,4.00,4.50,0.10,22.930,0.1980
273.05,C,4.00,4.50,1.10,21.995,0.4194
273.05,C,4.00,4.50,1.70,21.567,0.6461
273.05,D,0.50,0.80,0.10,22.984,0.1906
273.05,D,0.50,0.80,1.10,22.915,0.1838
273.05,D,0.50,0.80,1.70,23.272,0.0882
273.94,A,4.00,2.00,0.10,23.295,0.1067
273.94,A,4.00,2.00,1.10,22.633,0.0390
273.94,A,4.00,2.00,1.70,22.646,0.1290
273.94,B,7.50,0.80,0.10,22.994,0.1905
273.94,B,7.50,0.80,1.10,22.915,0.1855
273.94,B,7.50,0.80,1.70,23.275,0.0880
273.94,C,4.00,4.50,0.10,22.926,0.1996
273.94,C,4.00,4.50,1.10,21.988,0.4183
273.94,C,4.00,4.50,1.70,21.563,0.6458
273.94,D,0.50,0.80,0.10,22.994,0.1905
273.94,D,0.50,0.80,1.10,22.915,0.1855
273.94,D,0.50,0.80,1.70,23.275,0.0880
274.82,A,4.00,2.00,0.10,23.289,0.1081
274.82,A,4.00,2.00,1.10,22.629,0.0372
274.82,A,4.00,2.00,1.70,22.643,0.1292
274.82,B,7.50,0.80,0.10,23.003,0.1907
274.82,B,7.50,0.80,1.10,22.915,0.1868
274.82,B,7.50,0.80,1.70,23.280,0.0876
274.82,C,4.00,4.50,0.10,22.922,0.2014
274.82,C,4.00,4.50,1.10,21.981,0.4175
274.82,C,4.00,4.50,1.70,21.560,0.6455
274.82,D,0.50,0.80,0.10,23.003,0.1907
274.82,D,0.50,0.80,1.10,22.915,0.1869
274.82,D,0.50,0.80,1.70,23.280,0.0876
275.71,A,4.00,2.00,0.10,23.283,0.1095
275.71,A,4.00,2.00,1.10,22.626,0.0354
275.71,A,4.00,2.00,1.70,22.640,0.1293
275.71,B,7.50,0.80,0.10,23.012,0.1913
275.71,B,7.50,0.80,1.10,22.914,0.1880
275.71,B,7.50,0.80,1.70,23.287,0.0871
275.71,C,4.00,4.50,0.10,22.917,0.2034
275.71,C,4.00,4.50,1.10,21.975,0.4169
275.71,C,4.00,4.50,1.70,21.556,0.6453
275.71,D,0.50,0.80,0.10,23.012,0.1913
275.71,D,0.50,0.80,1.10,22.914,0.1880
275.71,D,0.50,0.80,1.70,23.287,0.0871
276.60,A,4.00,2.00,0.10,23.277,0.1108
276.60,A,4.00,2.00,1.10,22.623,0.0336
276.60,A,4.00,2.00,1.70,22.637,0.1293
276.60,B,7.50,0.80,0.10,23.019,0.1922
276.60,B,7.50,0.80,1.10,22.913,0.1890
276.60,B,7.50,0.80,1.70,23.293,0.0865
276.60,C,4.00,4.50,0.10,22.912,0.2055
276.60,C,4.00,4.50,1.10,21.968,0.4165
276.60,C,4.00,4.50,1.70,21.551,0.6451
276.60,D,0.50,0.80,0.10,23.019,0.1922
276.60,D,0.50,0.80,1.10,22.913,0.1890
276.60,D,0.50,0.80,1.70,23.293,0.0866
277.48,A,4.00,2.00,0.10,23.270,0.1119
277.48,A,4.00,2.00,1.10,22.620,0.0317
277.48,A,4.00,2.00,1.70,22.633,0.1292
277.48,B,7.50,0.80,0.10,23.025,0.1934
277.48,B,7.50,0.80,1.10,22.910,0.1898
277.48,B,7.50,0.80,1.70,23.300,0.0859
277.48,C,4.00,4.50,0.10,22.907,0.2077
277.48,C,4.00,4.50,1.10,21.961,0.4162
277.48,C,4.00,4.50,1.70,21.547,0.6450
277.48,D,0.50,0.80,0.10,23.025,0.1934
277.48,D,0.50,0.80,1.10,22.910,0.1898
277.48,D,0.50,0.80,1.70,23.300,0.0860
278.37,A,4.00,2.00,0.10,23.264,0.1129
278.37,A,4.00,2.00,1.10,22.617,0.0300
278.37,A,4.00,2.00,1.70,22.630,0.1289
278.37,B,7.50,0.80,0.10,23.029,0.1950
278.37,B,7.50,0.80,1.10,22.907,0.1905
278.37,B,7.50,0.80,1.70,23.306,0.0852
278.37,C,4.00,4.50,0.10,22.901,0.2101
278.37,C,4.00,4.50,1.10,21.955,0.4160
278.37,C,4.00,4.50,1.70,21.542,0.6449
278.37,D,0.50,0.80,0.10,23.029,0.1950
278.37,D,0.50,0.80,1.10,22.907,0.1905
278.37,D,0.50,0.80,1.70,23.306,0.0852
279.25,A,4.00,2.00,0.10,23.257,0.1138
279.25,A,4.00,2.00,1.10,22.614,0.0283
279.25,A,4.00,2.00,1.70,22.626,0.1284
279.25,B,7.50,0.80,0.10,23.031,0.1970
279.25,B,7.50,0.80,1.10,22.903,0.1910
279.25,B,7.50,0.80,1.70,23.311,0.0844
279.25,C,4.00,4.50,0.10,22.895,0.2126
279.25,C,4.00,4.50,1.10,21.949,0.4159
279.25,C,4.00,4.50,1.70,21.536,0.6448
279.25,D,0.50,0.80,0.10,23.031,0.1970
279.25,D,0.50,0.80,1.10,22.903,0.1910
279.25,D,0.50,0.80,1.70,23.311,0.0844
280.14,A,4.00,2.00,0.10,23.251,0.1144
280.14,A,4.00,2.00,1.10,22.612,0.0269
280.14,A,4.00,2.00,1.70,22.622,0.1279
280.14,B,7.50,0.80,0.10,23.031,0.1993
280.14,B,7.50,0.80,1.10,22.899,0.1913
280.14,B,7.50,0.80,1.70,23.316,0.0836
280.14,C,4.00,4.50,0.10,22.889,0.2151
280.14,C,4.00,4.50,1.10,21.944,0.4158
280.14,C,4.00,4.50,1.70,21.530,0.6449
280.14,D,0.50,0.80,0.10,23.031,0.1993
280.14,D,0.50,0.80,1.10,22.899,0.1913
280.14,D,0.50,0.80,1.70,23.316,0.0836
281.03,A,4.00,2.00,0.10,23.245,0.1147
281.03,A,4.00,2.00,1.10,22.610,0.0256
281.03,A,4.00,2.00,1.70,22.618,0.1272
281.03,B,7.50,0.80,0.10,23.030,0.2018
281.03,B,7.50,0.80,1.10,22.895,0.1914
281.03,B,7.50,0.80,1.70,23.321,0.0826
281.03,C,4.00,4.50,0.10,22.882,0.2177
281.03,C,4.00,4.50,1.10,21.939,0.4156
281.03,C,4.00,4.50,1.70,21.523,0.6450
281.03,D,0.50,0.80,0.10,23.030,0.2018
281.03,D,0.50,0.80,1.10,22.895,0.1914
281.03,D,0.50,0.80,1.70,23.321,0.0826
281.92,A,4.00,2.00,0.10,23.239,0.1149
281.92,A,4.00,2.00,1.10,22.608,0.0245
281.92,A,4.00,2.00,1.70,22.613,0.1265
281.92,B,7.50,0.80,0.10,23.026,0.2047
281.92,B,7.50,0.80,1.10,22.890,0.1914
281.92,B,7.50,0.80,1.70,23.325,0.0816
281.92,C,4.00,4.50,0.10,22.875,0.2204
281.92,C,4.00,4.50,1.10,21.935,0.4153
281.92,C,4.00,4.50,1.70,21.515,0.6453
281.92,D,0.50,0.80,0.10,23.026,0.2047
281.92,D,0.50,0.80,1.10,22.890,0.1914
281.92,D,0.50,0.80,1.70,23.325,0.0816
282.80,A,4.00,2.00,0.10,23.234,0.1148
282.80,A,4.00,2.00,1.10,22.606,0.0237
282.80,A,4.00,2.00,1.70,22.609,0.1256
282.80,B,7.50,0.80,0.10,23.021,0.2079
282.80,B,7.50,0.80,1.10,22.886,0.1912
282.80,B,7.50,0.80,1.70,23.329,0.0806
282.80,C,4.00,4.50,0.10,22.868,0.2231
282.80,C,4.00,4.50,1.10,21.931,0.4149
282.80,C,4.00,4.50,1.70,21.507,0.6456
282.80,D,0.50,0.80,0.10,23.021,0.2079
282.80,D,0.50,0.80,1.10,22.886,0.1912
282.80,D,0.50,0.80,1.70,23.329,0.0806
283.69,A,4.00,2.00,0.10,23.229,0.1146
283.69,A,4.00,2.00,1.10,22.605,0.0232
283.69,A,4.00,2.00,1.70,22.605,0.1246
283.69,B,7.50,0.80,0.10,23.014,0.2112
283.69,B,7.50,0.80,1.10,22.882,0.1907
283.69,B,7.50,0.80,1.70,23.333,0.0794
283.69,C,4.00,4.50,0.10,22.861,0.2259
283.69,C,4.00,4.50,1.10,21.929,0.4143
283.69,C,4.00,4.50,1.70,21.498,0.6460
283.69,D,0.50,0.80,0.10,23.014,0.2112
283.69,D,0.50,0.80,1.10,22.882,0.1907
283.69,D,0.50,0.80,1.70,23.333,0.0794
284.57,A,4.00,2.00,0.10,23.225,0.1141
284.57,A,4.00,2.00,1.10,22.603,0.0229
284.57,A,4.00,2.00,1.70,22.601,0.1236
284.57,B,7.50,0.80,0.10,23.006,0.2147
284.57,B,7.50,0.80,1.10,22.878,0.1900
284.57,B,7.50,0.80,1.70,23.337,0.0782
284.57,C,4.00,4.50,0.10,22.854,0.2288
284.57,C,4.00,4.50,1.10,21.928,0.4134
284.57,C,4.00,4.50,1.70,21.488,0.6466
284.57,D,0.50,0.80,0.10,23.006,0.2147
284.57,D,0.50,0.80,1.10,22.878,0.1900
284.57,D,0.50,0.80,1.70,23.337,0.0782
285.46,A,4.00,2.00,0.10,23.221,0.1135
285.46,A,4.00,2.00,1.10,22.602,0.0229
285.46,A,4.00,2.00,1.70,22.596,0.1225
285.46,B,7.50,0.80,0.10,22.997,0.2184
285.46,B,7.50,0.80,1.10,22.874,0.1890
285.46,B,7.50,0.80,1.70,23.341,0.0768
285.46,C,4.00,4.50,0.10,22.847,0.2317
285.46,C,4.00,4.50,1.10,21.928,0.4124
285.46,C,4.00,4.50,1.70,21.478,0.6472
285.46,D,0.50,0.80,0.10,22.997,0.2184
285.46,D,0.50,0.80,1.10,22.874,0.1890
285.46,D,0.50,0.80,1.70,23.341,0.0768
286.35,A,4.00,2.00,0.10,23.218,0.1128
286.35,A,4.00,2.00,1.10,22.601,0.0231
286.35,A,4.00,2.00,1.70,22.592,0.1214
286.35,B,7.50,0.80,0.10,22.987,0.2222
286.35,B,7.50,0.80,1.10,22.871,0.1877
286.35,B,7.50,0.80,1.70,23.344,0.0753
286.35,C,4.00,4.50,0.10,22.840,0.2348
286.35,C,4.00,4.50,1.10,21.929,0.4110
286.35,C,4.00,4.50,1.70,21.468,0.6479
286.35,D,0.50,0.80,0.10,22.987,0.2222
286.35,D,0.50,0.80,1.10,22.871,0.1877
286.35,D,0.50,0.80,1.70,23.344,0.0753
287.23,A,4.00,2.00,0.10,23.215,0.1120
287.23,A,4.00,2.00,1.10,22.600,0.0236
287.23,A,4.00,2.00,1.70,22.588,0.1203
287.23,B,7.50,0.80,0.10,22.976,0.2261
287.23,B,7.50,0.80,1.10,22.868,0.1863
287.23,B,7.50,0.80,1.70,23.347,0.0739
287.23,C,4.00,4.50,0.10,22.833,0.2380
287.23,C,4.00,4.50,1.10,21.931,0.4094
287.23,C,4.00,4.50,1.70,21.457,0.6486
287.23,D,0.50,0.80,0.10,22.976,0.2261
287.23,D,0.50,0.80,1.10,22.868,0.1864
287.23,D,0.50,0.80,1.70,23.347,0.0739
288.12,A,4.00,2.00,0.10,23.212,0.1112
288.12,A,4.00,2.00,1.10,22.599,0.0243
288.12,A,4.00,2.00,1.70,22.584,0.1191
288.12,B,7.50,0.80,0.10,22.964,0.2302
288.12,B,7.50,0.80,1.10,22.866,0.1847
288.12,B,7.50,0.80,1.70,23.349,0.0727
288.12,C,4.00,4.50,0.10,22.827,0.2414
288.12,C,4.00,4.50,1.10,21.935,0.4076
288.12,C,4.00,4.50,1.70,21.447,0.6494
288.12,D,0.50,0.80,0.10,22.964,0.2302
288.12,D,0.50,0.80,1.10,22.866,0.1847
288.12,D,0.50,0.80,1.70,23.349,0.0727
289.01,A,4.00,2.00,0.10,23.210,0.1103
289.01,A,4.00,2.00,1.10,22.598,0.0253
289.01,A,4.00,2.00,1.70,22.581,0.1179
289.01,B,7.50,0.80,0.10,22.952,0.2341
289.01,B,7.50,0.80,1.10,22.863,0.1830
289.01,B,7.50,0.80,1.70,23.351,0.0715
289.01,C,4.00,4.50,0.10,22.820,0.2448
289.01,C,4.00,4.50,1.10,21.939,0.4056
289.01,C,4.00,4.50,1.70,21.436,0.6502
289.01,D,0.50,0.80,0.10,22.952,0.2341
289.01,D,0.50,0.80,1.10,22.863,0.1830
289.01,D,0.50,0.80,1.70,23.351,0.0715
289.89,A,4.00,2.00,0.10,23.208,0.1095
289.89,A,4.00,2.00,1.10,22.597,0.0263
289.89,A,4.00,2.00,1.70,22.577,0.1167
289.89,B,7.50,0.80,0.10,22.939,0.2380
289.89,B,7.50,0.80,1.10,22.860,0.1812
289.89,B,7.50,0.80,1.70,23.352,0.0705
289.89,C,4.00,4.50,0.10,22.814,0.2483
289.89,C,4.00,4.50,1.10,21.945,0.4034
289.89,C,4.00,4.50,1.70,21.425,0.6510
289.89,D,0.50,0.80,0.10,22.939,0.2380
289.89,D,0.50,0.80,1.10,22.860,0.1812
289.89,D,0.50,0.80,1.70,23.352,0.0705
290.78,A,4.00,2.00,0.10,23.207,0.1087
290.78,A,4.00,2.00,1.10,22.596,0.0276
290.78,A,4.00,2.00,1.70,22.574,0.1156
290.78,B,7.50,0.80,0.10,22.925,0.2417
290.78,B,7.50,0.80,1.10,22.856,0.1794
290.78,B,7.50,0.80,1.70,23.352,0.0700
290.78,C,4.00,4.50,0.10,22.809,0.2520
290.78,C,4.00,4.50,1.10,21.953,0.4010
290.78,C,4.00,4.50,1.70,21.415,0.6519
290.78,D,0.50,0.80,0.10,22.925,0.2417
290.78,D,0.50,0.80,1.10,22.856,0.1794
290.78,D,0.50,0.80,1.70,23.352,0.0700
291.67,A,4.00,2.00,0.10,23.206,0.1079
291.67,A,4.00,2.00,1.10,22.595,0.0291
291.67,A,4.00,2.00,1.70,22.571,0.1145
291.67,B,7.50,0.80,0.10,22.911,0.2452
291.67,B,7.50,0.80,1.10,22.850,0.1776
291.67,B,7.50,0.80,1.70,23.350,0.0701
291.67,C,4.00,4.50,0.10,22.803,0.2556
291.67,C,4.00,4.50,1.10,21.961,0.3986
291.67,C,4.00,4.50,1.70,21.405,0.6527
291.67,D,0.50,0.80,0.10,22.911,0.2452
291.67,D,0.50,0.80,1.10,22.850,0.1776
291.67,D,0.50,0.80,1.70,23.350,0.0701
292.55,A,4.00,2.00,0.10,23.205,0.1073
292.55,A,4.00,2.00,1.10,22.594,0.0307
292.55,A,4.00,2.00,1.70,22.568,0.1136
292.55,B,7.50,0.80,0.10,22.896,0.2484
292.55,B,7.50,0.80,1.10,22.843,0.1760
292.55,B,7.50,0.80,1.70,23.346,0.0706
292.55,C,4.00,4.50,0.10,22.798,0.2593
292.55,C,4.00,4.50,1.10,21.969,0.3961
292.55,C,4.00,4.50,1.70,21.395,0.6535
292.55,D,0.50,0.80,0.10,22.896,0.2484
292.55,D,0.50,0.80,1.10,22.843,0.1760
292.55,D,0.50,0.80,1.70,23.346,0.0706
293.44,A,4.00,2.00,0.10,23.204,0.1068
293.44,A,4.00,2.00,1.10,22.594,0.0324
293.44,A,4.00,2.00,1.70,22.565,0.1127
293.44,B,7.50,0.80,0.10,22.882,0.2514
293.44,B,7.50,0.80,1.10,22.833,0.1745
293.44,B,7.50,0.80,1.70,23.341,0.0717
293.44,C,4.00,4.50,0.10,22.793,0.2631
293.44,C,4.00,4.50,1.10,21.978,0.3937
293.44,C,4.00,4.50,1.70,21.385,0.6543
293.44,D,0.50,0.80,0.10,22.882,0.2514
293.44,D,0.50,0.80,1.10,22.833,0.1745
293.44,D,0.50,0.80,1.70,23.341,0.0717
294.33,A,4.00,2.00,0.10,23.203,0.1064
294.33,A,4.00,2.00,1.10,22.593,0.0343
294.33,A,4.00,2.00,1.70,22.563,0.1121
294.33,B,7.50,0.80,0.10,22.867,0.2540
294.33,B,7.50,0.80,1.10,22.821,0.1731
294.33,B,7.50,0.80,1.70,23.332,0.0734
294.33,C,4.00,4.50,0.10,22.788,0.2668
294.33,C,4.00,4.50,1.10,21.988,0.3913
294.33,C,4.00,4.50,1.70,21.376,0.6551
294.33,D,0.50,0.80,0.10,22.867,0.2540
294.33,D,0.50,0.80,1.10,22.821,0.1731
294.33,D,0.50,0.80,1.70,23.332,0.0734
295.21,A,4.00,2.00,0.10,23.203,0.1062
295.21,A,4.00,2.00,1.10,22.593,0.0362
295.21,A,4.00,2.00,1.70,22.561,0.1117
295.21,B,7.50,0.80,0.10,22.851,0.2562
295.21,B,7.50,0.80,1.10,22.807,0.1717
295.21,B,7.50,0.80,1.70,23.321,0.0756
295.21,C,4.00,4.50,0.10,22.784,0.2704
295.21,C,4.00,4.50,1.10,21.997,0.3891
295.21,C,4.00,4.50,1.70,21.367,0.6558
295.21,D,0.50,0.80,0.10,22.851,0.2562
295.21,D,0.50,0.80,1.10,22.807,0.1717
295.21,D,0.50,0.80,1.70,23.321,0.0756
296.10,A,4.00,2.00,0.10,23.202,0.1061
296.10,A,4.00,2.00,1.10,22.593,0.0383
296.10,A,4.00,2.00,1.70,22.560,0.1116
296.10,B,7.50,0.80,0.10,22.837,0.2580
296.10,B,7.50,0.80,1.10,22.791,0.1704
296.10,B,7.50,0.80,1.70,23.307,0.0781
296.10,C,4.00,4.50,0.10,22.780,0.2740
296.10,C,4.00,4.50,1.10,22.006,0.3870
296.10,C,4.00,4.50,1.70,21.359,0.6564
296.10,D,0.50,0.80,0.10,22.837,0.2580
296.10,D,0.50,0.80,1.10,22.791,0.1704
296.10,D,0.50,0.80,1.70,23.307,0.0781
296.99,A,4.00,2.00,0.10,23.202,0.1062
296.99,A,4.00,2.00,1.10,22.593,0.0405
296.99,A,4.00,2.00,1.70,22.559,0.1118
296.99,B,7.50,0.80,0.10,22.822,0.2594
296.99,B,7.50,0.80,1.10,22.772,0.1690
296.99,B,7.50,0.80,1.70,23.291,0.0810
296.99,C,4.00,4.50,0.10,22.775,0.2775
296.99,C,4.00,4.50,1.10,22.014,0.3851
296.99,C,4.00,4.50,1.70,21.351,0.6570
296.99,D,0.50,0.80,0.10,22.822,0.2594
296.99,D,0.50,0.80,1.10,22.772,0.1690
296.99,D,0.50,0.80,1.70,23.291,0.0810
297.87,A,4.00,2.00,0.10,23.201,0.1065
297.87,A,4.00,2.00,1.10,22.593,0.0428
297.87,A,4.00,2.00,1.70,22.559,0.1125
297.87,B,7.50,0.80,0.10,22.809,0.2605
297.87,B,7.50,0.80,1.10,22.753,0.1677
297.87,B,7.50,0.80,1.70,23.271,0.0842
297.87,C,4.00,4.50,0.10,22.772,0.2808
297.87,C,4.00,4.50,1.10,22.022,0.3835
297.87,C,4.00,4.50,1.70,21.343,0.6575
297.87,D,0.50,0.80,0.10,22.809,0.2605
297.87,D,0.50,0.80,1.10,22.753,0.1677
297.87,D,0.50,0.80,1.70,23.271,0.0842
298.76,A,4.00,2.00,0.10,23.201,0.1070
298.76,A,4.00,2.00,1.10,22.594,0.0451
298.76,A,4.00,2.00,1.70,22.560,0.1135
298.76,B,7.50,0.80,0.10,22.796,0.2611
298.76,B,7.50,0.80,1.10,22.733,0.1664
298.76,B,7.50,0.80,1.70,23.248,0.0871
298.76,C,4.00,4.50,0.10,22.768,0.2840
298.76,C,4.00,4.50,1.10,22.029,0.3821
298.76,C,4.00,4.50,1.70,21.336,0.6579
298.76,D,0.50,0.80,0.10,22.796,0.2611
298.76,D,0.50,0.80,1.10,22.733,0.1664
298.76,D,0.50,0.80,1.70,23.248,0.0871
299.64,A,4.00,2.00,0.10,23.200,0.1076
299.64,A,4.00,2.00,1.10,22.595,0.0475
299.64,A,4.00,2.00,1.70,22.561,0.1150
299.64,B,7.50,0.80,0.10,22.784,0.2614
299.64,B,7.50,0.80,1.10,22.713,0.1652
299.64,B,7.50,0.80,1.70,23.222,0.0897
299.64,C,4.00,4.50,0.10,22.764,0.2869
299.64,C,4.00,4.50,1.10,22.036,0.3810
299.64,C,4.00,4.50,1.70,21.329,0.6583
299.64,D,0.50,0.80,0.10,22.784,0.2614
299.64,D,0.50,0.80,1.10,22.713,0.1652
299.64,D,0.50,0.80,1.70,23.222,0.0897
300.53,A,4.00,2.00,0.10,23.199,0.1084
300.53,A,4.00,2.00,1.10,22.596,0.0499
300.53,A,4.00,2.00,1.70,22.563,0.1170
300.53,B,7.50,0.80,0.10,22.772,0.2614
300.53,B,7.50,0.80,1.10,22.694,0.1643
300.53,B,7.50,0.80,1.70,23.194,0.0917
300.53,C,4.00,4.50,0.10,22.761,0.2897
300.53,C,4.00,4.50,1.10,22.041,0.3802
300.53,C,4.00,4.50,1.70,21.323,0.6586
300.53,D,0.50,0.80,0.10,22.772,0.2614
300.53,D,0.50,0.80,1.10,22.694,0.1643
300.53,D,0.50,0.80,1.70,23.194,0.0917
301.42,A,4.00,2.00,0.10,23.198,0.1093
301.42,A,4.00,2.00,1.10,22.597,0.0523
301.42,A,4.00,2.00,1.70,22.565,0.1194
301.42,B,7.50,0.80,0.10,22.761,0.2612
301.42,B,7.50,0.80,1.10,22.675,0.1637
301.42,B,7.50,0.80,1.70,23.163,0.0929
301.42,C,4.00,4.50,0.10,22.757,0.2922
