ix,iz,x,z,T
4,0,32.0,0.0,26.014
5,0,40.0,0.0,26.014
6,0,48.0,0.0,26.014
7,0,56.0,0.0,25.517
8,0,64.0,0.0,25.517
9,0,72.0,0.0,25.517
10,0,80.0,0.0,25.517
11,0,88.0,0.0,25.366
12,0,96.0,0.0,25.366
13,0,104.0,0.0,25.366
14,0,112.0,0.0,25.391
15,0,120.0,0.0,25.391
16,0,128.0,0.0,25.391
17,0,136.0,0.0,25.391
18,0,144.0,0.0,25.479
19,0,152.0,0.0,25.479
20,0,160.0,0.0,25.479
21,0,168.0,0.0,25.479
22,0,176.0,0.0,25.612
23,0,184.0,0.0,25.612
24,0,192.0,0.0,25.612
25,0,200.0,0.0,25.750
26,0,208.0,0.0,25.750
27,0,216.0,0.0,25.750
28,0,224.0,0.0,25.897
29,0,232.0,0.0,25.897
30,0,240.0,0.0,25.897
31,0,248.0,0.0,25.897
32,0,256.0,0.0,26.041
33,0,264.0,0.0,26.041
34,0,272.0,0.0,26.041
35,0,280.0,0.0,26.182
36,0,288.0,0.0,26.182
37,0,296.0,0.0,26.182
38,0,304.0,0.0,26.182
39,0,312.0,0.0,26.274
40,0,320.0,0.0,26.274
41,0,328.0,0.0,26.274
42,0,336.0,0.0,26.274
43,0,344.0,0.0,26.322
44,0,352.0,0.0,26.322
45,0,360.0,0.0,26.322
46,0,368.0,0.0,26.460
47,0,376.0,0.0,26.460
48,0,384.0,0.0,26.460
49,0,392.0,0.0,26.460
50,0,400.0,0.0,26.559
51,0,408.0,0.0,26.559
52,0,416.0,0.0,26.559
53,0,424.0,0.0,26.391
54,0,432.0,0.0,26.391
55,0,440.0,0.0,26.391
56,0,448.0,0.0,26.292
57,0,456.0,0.0,26.292
58,0,464.0,0.0,26.292
59,0,472.0,0.0,26.292
60,0,480.0,0.0,26.239
61,0,488.0,0.0,26.239
62,0,496.0,0.0,26.239
63,0,504.0,0.0,26.137
64,0,512.0,0.0,26.137
65,0,520.0,0.0,26.137
66,0,528.0,0.0,26.137
67,0,536.0,0.0,25.993
68,0,544.0,0.0,25.993
69,0,552.0,0.0,25.993
70,0,560.0,0.0,25.850
71,0,568.0,0.0,25.850
72,0,576.0,0.0,25.850
73,0,584.0,0.0,25.850
74,0,592.0,0.0,25.685
75,0,600.0,0.0,25.685
76,0,608.0,0.0,25.685
77,0,616.0,0.0,25.548
78,0,624.0,0.0,25.548
79,0,632.0,0.0,25.548
80,0,640.0,0.0,25.548
81,0,648.0,0.0,25.434
82,0,656.0,0.0,25.434
83,0,664.0,0.0,25.434
84,0,672.0,0.0,25.434
85,0,680.0,0.0,25.371
