ix,iz,x,z,T
17,2,136.0,16.0,21.653
18,2,144.0,16.0,21.714
19,2,152.0,16.0,21.714
20,2,160.0,16.0,21.714
21,2,168.0,16.0,21.714
22,2,176.0,16.0,21.855
23,2,184.0,16.0,21.855
24,2,192.0,16.0,21.855
25,2,200.0,16.0,22.097
26,2,208.0,16.0,22.097
27,2,216.0,16.0,22.097
28,2,224.0,16.0,22.378
29,2,232.0,16.0,22.378
30,2,240.0,16.0,22.378
31,2,248.0,16.0,22.378
32,2,256.0,16.0,22.387
33,2,264.0,16.0,22.387
34,2,272.0,16.0,22.387
35,2,280.0,16.0,22.277
36,2,288.0,16.0,22.277
37,2,296.0,16.0,22.277
38,2,304.0,16.0,22.277
39,2,312.0,16.0,22.192
40,2,320.0,16.0,22.192
41,2,328.0,16.0,22.192
42,2,336.0,16.0,22.192
43,2,344.0,16.0,22.149
44,2,352.0,16.0,22.149
45,2,360.0,16.0,22.149
46,2,368.0,16.0,22.135
47,2,376.0,16.0,22.135
48,2,384.0,16.0,22.135
49,2,392.0,16.0,22.135
50,2,400.0,16.0,22.130
51,2,408.0,16.0,22.130
52,2,416.0,16.0,22.130
53,2,424.0,16.0,22.133
54,2,432.0,16.0,22.133
55,2,440.0,16.0,22.133
56,2,448.0,16.0,22.158
57,2,456.0,16.0,22.158
58,2,464.0,16.0,22.158
59,2,472.0,16.0,22.158
60,2,480.0,16.0,22.209
61,2,488.0,16.0,22.209
62,2,496.0,16.0,22.209
63,2,504.0,16.0,22.291
64,2,512.0,16.0,22.291
65,2,520.0,16.0,22.291
66,2,528.0,16.0,22.291
67,2,536.0,16.0,22.402
68,2,544.0,16.0,22.402
69,2,552.0,16.0,22.402
70,2,560.0,16.0,22.307
71,2,568.0,16.0,22.307
72,2,576.0,16.0,22.307
73,2,584.0,16.0,22.307
74,2,592.0,16.0,21.988
75,2,600.0,16.0,21.988
76,2,608.0,16.0,21.988
77,2,616.0,16.0,21.770
78,2,624.0,16.0,21.770
79,2,632.0,16.0,21.770
80,2,640.0,16.0,21.770
81,2,648.0,16.0,21.665
82,2,656.0,16.0,21.665
83,2,664.0,16.0,21.665
84,2,672.0,16.0,21.665
85,2,680.0,16.0,21.639
86,2,688.0,16.0,21.639
87,2,696.0,16.0,21.639
88,2,704.0,16.0,21.727
89,2,712.0,16.0,21.727
90,2,720.0,16.0,21.727
91,2,728.0,16.0,22.154
92,2,736.0,16.0,22.154
93,2,744.0,16.0,22.154
94,2,752.0,16.0,22.154
95,2,760.0,16.0,22.862
96,2,768.0,16.0,22.862
4,3,32.0,24.0,22.544
5,3,40.0,24.0,22.544
6,3,48.0,24.0,22.544
7,3,56.0,24.0,21.932
8,3,64.0,24.0,21.932
9,3,72.0,24.0,21.932
10,3,80.0,24.0,21.932
11,3,88.0,24.0,21.680
12,3,96.0,24.0,21.680
13,3,104.0,24.0,21.680
14,3,112.0,24.0,21.653
15,3,120.0,24.0,21.653
16,3,128.0,24.0,21.653
17,3,136.0,24.0,21.653
18,3,144.0,24.0,21.714
19,3,152.0,24.0,21.714
20,3,160.0,24.0,21.714
21,3,168.0,24.0,21.714
22,3,176.0,24.0,21.855
23,3,184.0,24.0,21.855
24,3,192.0,24.0,21.855
25,3,200.0,24.0,22.097
26,3,208.0,24.0,22.097
27,3,216.0,24.0,22.097
28,3,224.0,24.0,22.378
29,3,232.0,24.0,22.378
30,3,240.0,24.0,22.378
31,3,248.0,24.0,22.378
32,3,256.0,24.0,22.387
33,3,264.0,24.0,22.387
34,3,272.0,24.0,22.387
35,3,280.0,24.0,22.277
36,3,288.0,24.0,22.277
37,3,296.0,24.0,22.277
38,3,304.0,24.0,22.277
39,3,312.0,24.0,22.192
40,3,320.0,24.0,22.192
41,3,328.0,24.0,22.192
42,3,336.0,24.0,22.192
43,3,344.0,24.0,22.149
44,3,352.0,24.0,22.149
45,3,360.0,24.0,22.149
46,3,368.0,24.0,22.135
47,3,376.0,24.0,22.135
48,3,384.0,24.0,22.135
49,3,392.0,24.0,22.135
50,3,400.0,24.0,22.130
51,3,408.0,24.0,22.130
52,3,416.0,24.0,22.130
53,3,424.0,24.0,22.133
54,3,432.0,24.0,22.133
55,3,440.0,24.0,22.133
56,3,448.0,24.0,22.158
57,3,456.0,24.0,22.158
58,3,464.0,24.0,22.158
59,3,472.0,24.0,22.158
60,3,480.0,24.0,22.209
61,3,488.0,24.0,22.209
62,3,496.0,24.0,22.209
63,3,504.0,24.0,22.291
64,3,512.0,24.0,22.291
65,3,520.0,24.0,22.291
66,3,528.0,24.0,22.291
67,3,536.0,24.0,22.402
68,3,544.0,24.0,22.402
69,3,552.0,24.0,22.402
70,3,560.0,24.0,22.307
71,3,568.0,24.0,22.307
72,3,576.0,24.0,22.307
73,3,584.0,24.0,22.307
74,3,592.0,24.0,21.988
75,3,600.0,24.0,21.988
76,3,608.0,24.0,21.988
77,3,616.0,24.0,21.770
78,3,624.0,24.0,21.770
79,3,632.0,24.0,21.770
80,3,640.0,24.0,21.770
81,3,648.0,24.0,21.665
82,3,656.0,24.0,21.665
83,3,664.0,24.0,21.665
84,3,672.0,24.0,21.665
85,3,680.0,24.0,21.639
86,3,688.0,24.0,21.639
87,3,696.0,24.0,21.639
88,3,704.0,24.0,21.727
89,3,712.0,24.0,21.727
90,3,720.0,24.0,21.727
91,3,728.0,24.0,22.154
92,3,736.0,24.0,22.154
93,3,744.0,24.0,22.154
94,3,752.0,24.0,22.154
95,3,760.0,24.0,22.862
96,3,768.0,24.0,22.862
4,4,32.0,32.0,22.415
5,4,40.0,32.0,22.415
6,4,48.0,32.0,22.415
7,4,56.0,32.0,21.718
8,4,64.0,32.0,21.718
9,4,72.0,32.0,21.718
10,4,80.0,32.0,21.718
11,4,88.0,32.0,21.490
12,4,96.0,32.0,21.490
13,4,104.0,32.0,21.490
14,4,112.0,32.0,21.466
15,4,120.0,32.0,21.466
16,4,128.0,32.0,21.466
17,4,136.0,32.0,21.466
18,4,144.0,32.0,21.538
19,4,152.0,32.0,21.538
20,4,160.0,32.0,21.538
21,4,168.0,32.0,21.538
22,4,176.0,32.0,21.690
23,4,184.0,32.0,21.690
24,4,192.0,32.0,21.690
25,4,200.0,32.0,21.916
26,4,208.0,32.0,21.916
27,4,216.0,32.0,21.916
28,4,224.0,32.0,22.090
29,4,232.0,32.0,22.090
30,4,240.0,32.0,22.090
31,4,248.0,32.0,22.090
32,4,256.0,32.0,22.106
33,4,264.0,32.0,22.106
34,4,272.0,32.0,22.106
35,4,280.0,32.0,22.029
36,4,288.0,32.0,22.029
37,4,296.0,32.0,22.029
38,4,304.0,32.0,22.029
39,4,312.0,32.0,21.944
40,4,320.0,32.0,21.944
41,4,328.0,32.0,21.944
42,4,336.0,32.0,21.944
43,4,344.0,32.0,21.892
44,4,352.0,32.0,21.892
45,4,360.0,32.0,21.892
46,4,368.0,32.0,21.869
47,4,376.0,32.0,21.869
48,4,384.0,32.0,21.869
49,4,392.0,32.0,21.869
50,4,400.0,32.0,21.859
51,4,408.0,32.0,21.859
52,4,416.0,32.0,21.859
53,4,424.0,32.0,21.852
54,4,432.0,32.0,21.852
55,4,440.0,32.0,21.852
56,4,448.0,32.0,21.875
57,4,456.0,32.0,21.875
58,4,464.0,32.0,21.875
59,4,472.0,32.0,21.875
60,4,480.0,32.0,21.922
61,4,488.0,32.0,21.922
62,4,496.0,32.0,21.922
63,4,504.0,32.0,21.989
64,4,512.0,32.0,21.989
65,4,520.0,32.0,21.989
66,4,528.0,32.0,21.989
67,4,536.0,32.0,22.063
68,4,544.0,32.0,22.063
69,4,552.0,32.0,22.063
70,4,560.0,32.0,22.022
71,4,568.0,32.0,22.022
72,4,576.0,32.0,22.022
73,4,584.0,32.0,22.022
74,4,592.0,32.0,21.819
75,4,600.0,32.0,21.819
76,4,608.0,32.0,21.819
77,4,616.0,32.0,21.605
78,4,624.0,32.0,21.605
79,4,632.0,32.0,21.605
80,4,640.0,32.0,21.605
81,4,648.0,32.0,21.487
82,4,656.0,32.0,21.487
83,4,664.0,32.0,21.487
84,4,672.0,32.0,21.487
85,4,680.0,32.0,21.459
86,4,688.0,32.0,21.459
87,4,696.0,32.0,21.459
88,4,704.0,32.0,21.545
89,4,712.0,32.0,21.545
90,4,720.0,32.0,21.545
91,4,728.0,32.0,22.017
92,4,736.0,32.0,22.017
93,4,744.0,32.0,22.017
94,4,752.0,32.0,22.017
95,4,760.0,32.0,22.865
96,4,768.0,32.0,22.865
4,5,32.0,40.0,22.415
5,5,40.0,40.0,22.415
6,5,48.0,40.0,22.415
7,5,56.0,40.0,21.718
8,5,64.0,40.0,21.718
9,5,72.0,40.0,21.718
10,5,80.0,40.0,21.718
11,5,88.0,40.0,21.490
12,5,96.0,40.0,21.490
13,5,104.0,40.0,21.490
14,5,112.0,40.0,21.466
15,5,120.0,40.0,21.466
16,5,128.0,40.0,21.466
17,5,136.0,40.0,21.466
18,5,144.0,40.0,21.538
19,5,152.0,40.0,21.538
20,5,160.0,40.0,21.538
21,5,168.0,40.0,21.538
22,5,176.0,40.0,21.690
23,5,184.0,40.0,21.690
24,5,192.0,40.0,21.690
25,5,200.0,40.0,21.916
26,5,208.0,40.0,21.916
27,5,216.0,40.0,21.916
28,5,224.0,40.0,22.090
29,5,232.0,40.0,22.090
30,5,240.0,40.0,22.090
31,5,248.0,40.0,22.090
32,5,256.0,40.0,22.106
33,5,264.0,40.0,22.106
34,5,272.0,40.0,22.106
35,5,280.0,40.0,22.029
36,5,288.0,40.0,22.029
37,5,296.0,40.0,22.029
38,5,304.0,40.0,22.029
39,5,312.0,40.0,21.944
40,5,320.0,40.0,21.944
41,5,328.0,40.0,21.944
42,5,336.0,40.0,21.944
43,5,344.0,40.0,21.892
44,5,352.0,40.0,21.892
45,5,360.0,40.0,21.892
46,5,368.0,40.0,21.869
47,5,376.0,40.0,21.869
48,5,384.0,40.0,21.869
49,5,392.0,40.0,21.869
50,5,400.0,40.0,21.859
51,5,408.0,40.0,21.859
52,5,416.0,40.0,21.859
53,5,424.0,40.0,21.852
54,5,432.0,40.0,21.852
55,5,440.0,40.0,21.852
56,5,448.0,40.0,21.875
57,5,456.0,40.0,21.875
58,5,464.0,40.0,21.875
59,5,472.0,40.0,21.875
60,5,480.0,40.0,21.922
61,5,488.0,40.0,21.922
62,5,496.0,40.0,21.922
63,5,504.0,40.0,21.989
64,5,512.0,40.0,21.989
65,5,520.0,40.0,21.989
66,5,528.0,40.0,21.989
67,5,536.0,40.0,22.063
68,5,544.0,40.0,22.063
69,5,552.0,40.0,22.063
70,5,560.0,40.0,22.022
71,5,568.0,40.0,22.022
72,5,576.0,40.0,22.022
73,5,584.0,40.0,22.022
74,5,592.0,40.0,21.819
75,5,600.0,40.0,21.819
76,5,608.0,40.0,21.819
77,5,616.0,40.0,21.605
78,5,624.0,40.0,21.605
79,5,632.0,40.0,21.605
80,5,640.0,40.0,21.605
81,5,648.0,40.0,21.487
