x,y,z,T,Ux,Uy,Uz,p,source
2.2500,0.0500,0.0500,300.727,-0.3255,0.0957,-0.0900,100031.00,vane25
2.3500,0.0500,0.0500,300.226,-0.3184,0.1110,-0.1294,100031.00,vane25
2.4500,0.0500,0.0500,299.886,-0.3007,0.1193,-0.1505,100031.00,vane25
2.5500,0.0500,0.0500,299.694,-0.2823,0.1245,-0.1587,100031.00,vane25
2.6500,0.0500,0.0500,299.594,-0.2665,0.1289,-0.1625,100031.00,vane25
2.7500,0.0500,0.0500,299.546,-0.2533,0.1331,-0.1668,100031.00,vane25
2.8500,0.0500,0.0500,299.525,-0.2409,0.1373,-0.1727,100031.00,vane25
2.9500,0.0500,0.0500,299.521,-0.2278,0.1412,-0.1802,100031.00,vane25
3.0500,0.0500,0.0500,299.526,-0.2128,0.1449,-0.1887,100031.00,vane25
3.1500,0.0500,0.0500,299.537,-0.1952,0.1481,-0.1975,100031.00,vane25
3.2500,0.0500,0.0500,299.552,-0.1747,0.1507,-0.2063,100031.00,vane25
3.3500,0.0500,0.0500,299.570,-0.1510,0.1528,-0.2148,100031.00,vane25
3.4500,0.0500,0.0500,299.593,-0.1242,0.1540,-0.2225,100031.00,vane25
3.5500,0.0500,0.0500,299.621,-0.0945,0.1544,-0.2290,100031.00,vane25
3.6500,0.0500,0.0500,299.656,-0.0626,0.1538,-0.2331,100031.00,vane25
3.7500,0.0500,0.0500,299.699,-0.0313,0.1524,-0.2332,100031.00,vane25
3.8500,0.0500,0.0500,299.761,0.0017,0.1514,-0.2227,100031.00,vane25
3.9500,0.0500,0.0500,299.844,0.0063,0.1510,-0.1901,100031.00,vane25
4.0500,0.0500,0.0500,299.844,-0.0063,0.1510,-0.1901,100031.00,vane25
4.1500,0.0500,0.0500,299.761,-0.0017,0.1514,-0.2227,100031.00,vane25
4.2500,0.0500,0.0500,299.699,0.0313,0.1524,-0.2332,100031.00,vane25
4.3500,0.0500,0.0500,299.656,0.0626,0.1538,-0.2331,100031.00,vane25
4.4500,0.0500,0.0500,299.621,0.0945,0.1544,-0.2290,100031.00,vane25
4.5500,0.0500,0.0500,299.593,0.1242,0.1540,-0.2225,100031.00,vane25
