x,y,z,T,Ux,Uy,Uz,p,source
2.2500,0.0500,0.0500,297.491,-0.1646,0.0593,-0.0581,100031.00,vane25
2.3500,0.0500,0.0500,297.438,-0.1716,0.0644,-0.0615,100031.00,vane25
2.4500,0.0500,0.0500,297.388,-0.1813,0.0696,-0.0666,100031.00,vane25
2.5500,0.0500,0.0500,297.340,-0.1916,0.0747,-0.0730,100031.00,vane25
2.6500,0.0500,0.0500,297.295,-0.2013,0.0795,-0.0804,100031.00,vane25
2.7500,0.0500,0.0500,297.254,-0.2091,0.0839,-0.0882,100031.00,vane25
2.8500,0.0500,0.0500,297.216,-0.2141,0.0879,-0.0965,100031.00,vane25
2.9500,0.0500,0.0500,297.181,-0.2158,0.0914,-0.1048,100031.00,vane25
3.0500,0.0500,0.0500,297.150,-0.2137,0.0945,-0.1132,100031.00,vane25
3.1500,0.0500,0.0500,297.122,-0.2074,0.0971,-0.1215,100031.00,vane25
3.2500,0.0500,0.0500,297.097,-0.1967,0.0993,-0.1294,100031.00,vane25
3.3500,0.0500,0.0500,297.076,-0.1816,0.1008,-0.1370,100031.00,vane25
3.4500,0.0500,0.0500,297.059,-0.1619,0.1018,-0.1440,100031.00,vane25
3.5500,0.0500,0.0500,297.046,-0.1377,0.1020,-0.1502,100031.00,vane25
3.6500,0.0500,0.0500,297.037,-0.1094,0.1015,-0.1552,100031.00,vane25
3.7500,0.0500,0.0500,297.034,-0.0777,0.1001,-0.1583,100031.00,vane25
3.8500,0.0500,0.0500,297.038,-0.0428,0.0977,-0.1577,100031.00,vane25
3.9500,0.0500,0.0500,297.052,-0.0167,0.0939,-0.1487,100031.00,vane25
4.0500,0.0500,0.0500,297.052,0.0167,0.0939,-0.1487,100031.00,vane25
4.1500,0.0500,0.0500,297.038,0.0428,0.0977,-0.1577,100031.00,vane25
4.2500,0.0500,0.0500,297.034,0.0777,0.1001,-0.1583,100031.00,vane25
4.3500,0.0500,0.0500,297.037,0.1094,0.1015,-0.1552,100031.00,vane25
4.4500,0.0500,0.0500,297.046,0.1377,0.1020,-0.1502,100031.00,vane25
4.5500,0.0500,0.0500,297.059,0.1619,0.1018,-0.1440,100031.00,vane25
4.6500,0.0500,0.0500,297.076,0.1816,0.1008,-0.1370,100031.00,vane25
4.7500,0.0500,0.0500,297.097,0.1967,0.0993,-0.1294,100031.00,vane25
4.8500,0.0500,0.0500,297.122,0.2074,0.0971,-0.1215,100031.00,vane25
4.9500,0.0500,0.0500,297.150,0.2137,0.0945,-0.1132,100031.00,vane25
5.0500,0.0500,0.0500,297.181,0.2158,0.0914,-0.1048,100031.00,vane25
5.1500,0.0500,0.0500,297.216,0.2141,0.0879,-0.0965,100031.00,vane25
5.2500,0.0500,0.0500,297.254,0.2091,0.0839,-0.0882,100031.00,vane25
5.3500,0.0500,0.0500,297.295,0.2013,0.0795,-0.0804,100031.00,vane25
5.4500,0.0500,0.0500,297.340,0.1916,0.0747,-0.0730,100031.00,vane25
5.5500,0.0500,0.0500,297.388,0.1813,0.0696,-0.0666,100031.00,vane25
5.6500,0.0500,0.0500,297.438,0.1716,0.0644,-0.0615,100031.00,vane25
5.7500,0.0500,0.0500,297.491,0.1646,0.0593,-0.0581,100031.00,vane25
2.2500,0.1500,0.0500,297.410,-0.1490,0.1087,-0.0420,100031.00,vane25
2.3500,0.1500,0.0500,297.363,-0.1536,0.1173,-0.0424,100031.00,vane25
2.4500,0.1500,0.0500,297.320,-0.1614,0.1264,-0.0441,100031.00,vane25
2.5500,0.1500,0.0500,297.278,-0.1705,0.1356,-0.0471,100031.00,vane25
2.6500,0.1500,0.0500,297.240,-0.1792,0.1445,-0.0509,100031.00,vane25
2.7500,0.1500,0.0500,297.204,-0.1863,0.1530,-0.0553,100031.00,vane25
2.8500,0.1500,0.0500,297.171,-0.1910,0.1610,-0.0601,100031.00,vane25
2.9500,0.1500,0.0500,297.143,-0.1925,0.1684,-0.0651,100031.00,vane25
3.0500,0.1500,0.0500,297.117,-0.1904,0.1751,-0.0702,100031.00,vane25
3.1500,0.1500,0.0500,297.095,-0.1844,0.1811,-0.0752,100031.00,vane25
3.2500,0.1500,0.0500,297.076,-0.1743,0.1862,-0.0802,100031.00,vane25
3.3500,0.1500,0.0500,297.060,-0.1599,0.1904,-0.0849,100031.00,vane25
3.4500,0.1500,0.0500,297.048,-0.1414,0.1935,-0.0892,100031.00,vane25
3.5500,0.1500,0.0500,297.039,-0.1188,0.1955,-0.0930,100031.00,vane25
3.6500,0.1500,0.0500,297.034,-0.0927,0.1961,-0.0959,100031.00,vane25
3.7500,0.1500,0.0500,297.034,-0.0641,0.1955,-0.0972,100031.00,vane25
3.8500,0.1500,0.0500,297.040,-0.0336,0.1935,-0.0955,100031.00,vane25
3.9500,0.1500,0.0500,297.053,-0.0117,0.1899,-0.0881,100031.00,vane25
4.0500,0.1500,0.0500,297.053,0.0117,0.1899,-0.0881,100031.00,vane25
4.1500,0.1500,0.0500,297.040,0.0336,0.1935,-0.0955,100031.00,vane25
4.2500,0.1500,0.0500,297.034,0.0641,0.1955,-0.0972,100031.00,vane25
4.3500,0.1500,0.0500,297.034,0.0927,0.1961,-0.0959,100031.00,vane25
4.4500,0.1500,0.0500,297.039,0.1188,0.1955,-0.0930,100031.00,vane25
4.5500,0.1500,0.0500,297.048,0.1414,0.1935,-0.0892,100031.00,vane25
4.6500,0.1500,0.0500,297.060,0.1599,0.1904,-0.0849,100031.00,vane25
4.7500,0.1500,0.0500,297.076,0.1743,0.1862,-0.0802,100031.00,vane25
4.8500,0.1500,0.0500,297.095,0.1844,0.1811,-0.0752,100031.00,vane25
4.9500,0.1500,0.0500,297.117,0.1904,0.1751,-0.0702,100031.00,vane25
5.0500,0.1500,0.0500,297.142,0.1925,0.1684,-0.0651,100031.00,vane25
5.1500,0.1500,0.0500,297.171,0.1910,0.1610,-0.0601,100031.00,vane25
5.2500,0.1500,0.0500,297.204,0.1863,0.1530,-0.0553,100031.00,vane25
5.3500,0.1500,0.0500,297.240,0.1792,0.1445,-0.0509,100031.00,vane25
5.4500,0.1500,0.0500,297.278,0.1705,0.1356,-0.0471,100031.00,vane25
5.5500,0.1500,0.0500,297.320,0.1614,0.1264,-0.0441,100031.00,vane25
5.6500,0.1500,0.0500,297.363,0.1536,0.1173,-0.0424,100031.00,vane25
5.7500,0.1500,0.0500,297.410,0.1490,0.1087,-0.0420,100031.00,vane25
2.2500,0.2500,0.0500,297.390,-0.1286,0.1606,-0.0310,100031.00,vane25
2.3500,0.2500,0.0500,297.346,-0.1314,0.1719,-0.0305,100031.00,vane25
2.4500,0.2500,0.0500,297.306,-0.1379,0.1829,-0.0306,100031.00,vane25
2.5500,0.2500,0.0500,297.269,-0.1460,0.1937,-0.0317,100031.00,vane25
2.6500,0.2500,0.0500,297.234,-0.1542,0.2042,-0.0335,100031.00,vane25
2.7500,0.2500,0.0500,297.202,-0.1612,0.2142,-0.0359,100031.00,vane25
2.8500,0.2500,0.0500,297.173,-0.1660,0.2235,-0.0388,100031.00,vane25
2.9500,0.2500,0.0500,297.148,-0.1680,0.2320,-0.0419,100031.00,vane25
3.0500,0.2500,0.0500,297.127,-0.1666,0.2395,-0.0451,100031.00,vane25
3.1500,0.2500,0.0500,297.109,-0.1616,0.2461,-0.0484,100031.00,vane25
3.2500,0.2500,0.0500,297.094,-0.1527,0.2515,-0.0516,100031.00,vane25
3.3500,0.2500,0.0500,297.082,-0.1399,0.2556,-0.0547,100031.00,vane25
3.4500,0.2500,0.0500,297.073,-0.1233,0.2584,-0.0576,100031.00,vane25
3.5500,0.2500,0.0500,297.068,-0.1031,0.2597,-0.0600,100031.00,vane25
3.6500,0.2500,0.0500,297.066,-0.0799,0.2595,-0.0617,100031.00,vane25
3.7500,0.2500,0.0500,297.069,-0.0548,0.2578,-0.0622,100031.00,vane25
3.8500,0.2500,0.0500,297.076,-0.0284,0.2552,-0.0602,100031.00,vane25
3.9500,0.2500,0.0500,297.089,-0.0094,0.2515,-0.0543,100031.00,vane25
4.0500,0.2500,0.0500,297.089,0.0094,0.2515,-0.0543,100031.00,vane25
4.1500,0.2500,0.0500,297.076,0.0284,0.2552,-0.0602,100031.00,vane25
