x,y,z,T,Ux,Uy,Uz,p,source
4.8500,0.1500,0.0500,298.381,0.2086,0.2465,-0.1103,100031.00,vane25
4.9500,0.1500,0.0500,298.388,0.2249,0.2410,-0.1054,100031.00,vane25
5.0500,0.1500,0.0500,298.399,0.2375,0.2349,-0.1002,100031.00,vane25
5.1500,0.1500,0.0500,298.414,0.2465,0.2282,-0.0948,100031.00,vane25
5.2500,0.1500,0.0500,298.433,0.2516,0.2210,-0.0893,100031.00,vane25
5.3500,0.1500,0.0500,298.457,0.2529,0.2134,-0.0836,100031.00,vane25
5.4500,0.1500,0.0500,298.483,0.2502,0.2053,-0.0779,100031.00,vane25
5.5500,0.1500,0.0500,298.514,0.2440,0.1968,-0.0726,100031.00,vane25
5.6500,0.1500,0.0500,298.549,0.2349,0.1877,-0.0679,100031.00,vane25
5.7500,0.1500,0.0500,298.587,0.2252,0.1782,-0.0651,100031.00,vane25
2.2500,0.2500,0.0500,298.608,-0.2012,0.2541,-0.0441,100031.00,vane25
2.3500,0.2500,0.0500,298.576,-0.2094,0.2658,-0.0451,100031.00,vane25
2.4500,0.2500,0.0500,298.549,-0.2177,0.2768,-0.0478,100031.00,vane25
2.5500,0.2500,0.0500,298.526,-0.2236,0.2872,-0.0513,100031.00,vane25
2.6500,0.2500,0.0500,298.506,-0.2262,0.2969,-0.0551,100031.00,vane25
2.7500,0.2500,0.0500,298.491,-0.2250,0.3060,-0.0589,100031.00,vane25
2.8500,0.2500,0.0500,298.479,-0.2200,0.3144,-0.0627,100031.00,vane25
2.9500,0.2500,0.0500,298.471,-0.2114,0.3220,-0.0663,100031.00,vane25
3.0500,0.2500,0.0500,298.467,-0.1992,0.3289,-0.0696,100031.00,vane25
3.1500,0.2500,0.0500,298.467,-0.1838,0.3347,-0.0726,100031.00,vane25
3.2500,0.2500,0.0500,298.472,-0.1653,0.3394,-0.0753,100031.00,vane25
3.3500,0.2500,0.0500,298.482,-0.1439,0.3426,-0.0775,100031.00,vane25
3.4500,0.2500,0.0500,298.498,-0.1199,0.3440,-0.0792,100031.00,vane25
3.5500,0.2500,0.0500,298.518,-0.0938,0.3436,-0.0802,100031.00,vane25
3.6500,0.2500,0.0500,298.544,-0.0664,0.3413,-0.0802,100031.00,vane25
3.7500,0.2500,0.0500,298.575,-0.0394,0.3376,-0.0783,100031.00,vane25
3.8500,0.2500,0.0500,298.611,-0.0131,0.3338,-0.0721,100031.00,vane25
3.9500,0.2500,0.0500,298.651,-0.0014,0.3306,-0.0584,100031.00,vane25
4.0500,0.2500,0.0500,298.651,0.0014,0.3306,-0.0584,100031.00,vane25
4.1500,0.2500,0.0500,298.611,0.0131,0.3338,-0.0721,100031.00,vane25
4.2500,0.2500,0.0500,298.575,0.0394,0.3376,-0.0783,100031.00,vane25
4.3500,0.2500,0.0500,298.544,0.0664,0.3413,-0.0802,100031.00,vane25
4.4500,0.2500,0.0500,298.518,0.0938,0.3436,-0.0802,100031.00,vane25
4.5500,0.2500,0.0500,298.498,0.1199,0.3440,-0.0792,100031.00,vane25
4.6500,0.2500,0.0500,298.482,0.1439,0.3426,-0.0775,100031.00,vane25
4.7500,0.2500,0.0500,298.472,0.1653,0.3394,-0.0753,100031.00,vane25
4.8500,0.2500,0.0500,298.467,0.1838,0.3347,-0.0726,100031.00,vane25
4.9500,0.2500,0.0500,298.467,0.1992,0.3289,-0.0696,100031.00,vane25
5.0500,0.2500,0.0500,298.471,0.2114,0.3220,-0.0662,100031.00,vane25
5.1500,0.2500,0.0500,298.479,0.2200,0.3144,-0.0627,100031.00,vane25
5.2500,0.2500,0.0500,298.491,0.2250,0.3060,-0.0589,100031.00,vane25
5.3500,0.2500,0.0500,298.506,0.2262,0.2969,-0.0551,100031.00,vane25
5.4500,0.2500,0.0500,298.526,0.2236,0.2872,-0.0513,100031.00,vane25
5.5500,0.2500,0.0500,298.549,0.2177,0.2768,-0.0478,100031.00,vane25
5.6500,0.2500,0.0500,298.576,0.2094,0.2658,-0.0451,100031.00,vane25
5.7500,0.2500,0.0500,298.608,0.2012,0.2541,-0.0441,100031.00,vane25
2.2500,0.3500,0.0500,298.634,-0.1764,0.3045,-0.0298,100031.00,vane25
2.3500,0.3500,0.0500,298.608,-0.1837,0.3171,-0.0300,100031.00,vane25
2.4500,0.3500,0.0500,298.586,-0.1916,0.3287,-0.0317,100031.00,vane25
2.5500,0.3500,0.0500,298.569,-0.1974,0.3392,-0.0342,100031.00,vane25
2.6500,0.3500,0.0500,298.555,-0.2002,0.3489,-0.0369,100031.00,vane25
2.7500,0.3500,0.0500,298.545,-0.1994,0.3578,-0.0397,100031.00,vane25
2.8500,0.3500,0.0500,298.539,-0.1950,0.3658,-0.0425,100031.00,vane25
2.9500,0.3500,0.0500,298.537,-0.1871,0.3729,-0.0450,100031.00,vane25
3.0500,0.3500,0.0500,298.538,-0.1760,0.3790,-0.0473,100031.00,vane25
3.1500,0.3500,0.0500,298.544,-0.1618,0.3837,-0.0492,100031.00,vane25
3.2500,0.3500,0.0500,298.553,-0.1449,0.3870,-0.0509,100031.00,vane25
3.3500,0.3500,0.0500,298.568,-0.1256,0.3885,-0.0523,100031.00,vane25
3.4500,0.3500,0.0500,298.586,-0.1042,0.3881,-0.0532,100031.00,vane25
3.5500,0.3500,0.0500,298.610,-0.0810,0.3856,-0.0536,100031.00,vane25
3.6500,0.3500,0.0500,298.638,-0.0569,0.3812,-0.0532,100031.00,vane25
3.7500,0.3500,0.0500,298.669,-0.0335,0.3759,-0.0514,100031.00,vane25
3.8500,0.3500,0.0500,298.701,-0.0110,0.3717,-0.0458,100031.00,vane25
3.9500,0.3500,0.0500,298.734,-0.0008,0.3697,-0.0341,100031.00,vane25
4.0500,0.3500,0.0500,298.734,0.0008,0.3697,-0.0341,100031.00,vane25
4.1500,0.3500,0.0500,298.701,0.0110,0.3717,-0.0458,100031.00,vane25
4.2500,0.3500,0.0500,298.669,0.0335,0.3759,-0.0514,100031.00,vane25
4.3500,0.3500,0.0500,298.638,0.0569,0.3812,-0.0532,100031.00,vane25
4.4500,0.3500,0.0500,298.610,0.0810,0.3856,-0.0536,100031.00,vane25
4.5500,0.3500,0.0500,298.586,0.1042,0.3881,-0.0532,100031.00,vane25
4.6500,0.3500,0.0500,298.568,0.1256,0.3885,-0.0523,100031.00,vane25
4.7500,0.3500,0.0500,298.553,0.1449,0.3870,-0.0509,100031.00,vane25
4.8500,0.3500,0.0500,298.544,0.1618,0.3837,-0.0492,100031.00,vane25
4.9500,0.3500,0.0500,298.538,0.1760,0.3790,-0.0473,100031.00,vane25
5.0500,0.3500,0.0500,298.537,0.1871,0.3729,-0.0450,100031.00,vane25
5.1500,0.3500,0.0500,298.539,0.1950,0.3658,-0.0425,100031.00,vane25
5.2500,0.3500,0.0500,298.545,0.1994,0.3578,-0.0397,100031.00,vane25
5.3500,0.3500,0.0500,298.555,0.2002,0.3489,-0.0369,100031.00,vane25
5.4500,0.3500,0.0500,298.569,0.1974,0.3392,-0.0342,100031.00,vane25
5.5500,0.3500,0.0500,298.586,0.1916,0.3287,-0.0317,100031.00,vane25
5.6500,0.3500,0.0500,298.608,0.1837,0.3171,-0.0300,100031.00,vane25
5.7500,0.3500,0.0500,298.634,0.1765,0.3045,-0.0298,100031.00,vane25
2.2500,0.4500,0.0500,298.663,-0.1518,0.3349,-0.0188,100031.00,vane25
2.3500,0.4500,0.0500,298.641,-0.1587,0.3481,-0.0188,100031.00,vane25
2.4500,0.4500,0.0500,298.623,-0.1666,0.3595,-0.0201,100031.00,vane25
2.5500,0.4500,0.0500,298.610,-0.1726,0.3696,-0.0220,100031.00,vane25
2.6500,0.4500,0.0500,298.601,-0.1758,0.3785,-0.0242,100031.00,vane25
2.7500,0.4500,0.0500,298.595,-0.1757,0.3864,-0.0264,100031.00,vane25
