pid,step,x,y,z,speed
0,0,3.5648,1.7848,2.6263,0.5248
1,0,3.7855,1.8252,2.6505,0.9763
2,0,3.8721,1.7225,2.6476,1.2791
3,0,4.2788,2.2118,2.651,1.2019
4,0,4.3055,1.717,2.6229,0.8007
5,0,4.4632,2.0877,2.5995,0.8352
6,0,3.7427,2.0498,2.646,0.8908
7,0,3.9638,2.3222,2.6447,0.8914
8,0,4.1979,2.2859,2.6447,1.0158
9,0,4.456,2.2504,2.5985,0.8091
10,0,4.2383,2.3539,2.6501,0.5063
11,0,4.454,1.9464,2.6006,0.8385
12,0,4.502,1.8948,2.6002,0.8361
13,0,4.1149,2.4243,2.6,0.8363
14,0,4.2687,2.0379,2.6465,1.2859
15,0,4.1692,1.7055,2.6496,0.7817
16,0,3.9474,2.2995,2.6447,0.8914
17,0,3.9331,2.2883,2.6447,0.8914
18,0,3.9092,1.6996,2.575,1.2791
19,0,3.7384,2.1938,2.6489,0.9972
20,0,3.9661,1.6074,2.574,0.8332
21,0,3.9878,1.7315,2.6454,1.2969
22,0,3.5339,1.825,2.6002,0.8361
23,0,3.9177,1.5327,2.5984,0.8302
24,0,4.1691,2.2324,2.67,0.8914
25,0,3.4851,2.0591,2.6507,0.3593
26,0,4.1084,2.3198,2.6447,0.8914
27,0,3.795,1.5174,2.5975,0.8046
28,0,4.4035,2.094,2.5756,0.8352
29,0,4.3262,1.9701,2.5746,1.305
30,0,3.6986,1.9883,2.6444,0.8318
31,0,3.8151,1.7854,2.6505,0.9763
32,0,4.0158,2.4586,2.6008,0.8392
33,0,4.4299,1.8021,2.6002,0.8361
34,0,3.8916,1.5493,2.5984,0.8302
35,0,4.3688,2.1748,2.5817,1.2019
36,0,4.2675,2.3618,2.6501,0.5063
37,0,4.0545,2.3051,2.6433,0.8416
38,0,3.6575,2.0974,2.6465,0.8352
39,0,4.3359,1.6584,2.6564,0.5625
40,0,4.108,1.5277,2.5984,0.8302
41,0,4.2393,2.4384,2.627,0.5063
42,0,3.8035,1.7227,2.652,1.1936
43,0,4.2803,2.048,2.6465,1.2859
44,0,3.8996,2.499,2.5923,0.3581
45,0,3.897,2.4171,2.6,0.8363
46,0,4.3132,2.0275,2.5746,1.305
47,0,3.9209,1.5385,2.5984,0.8302
48,0,3.6796,1.8269,2.6454,0.8699
49,0,3.7051,1.6553,2.6242,0.7817
50,0,4.3049,1.75,2.6229,0.8007
51,0,4.3857,1.7268,2.6229,0.8007
52,0,3.7474,2.1434,2.6489,0.9972
53,0,4.2185,2.1876,2.6489,0.9972
54,0,4.3936,1.7796,2.6229,0.8007
55,0,3.9644,2.3248,2.6447,0.8914
56,0,3.5396,1.8595,2.6002,0.8361
57,0,4.3349,2.0008,2.5746,1.305
58,0,4.1112,1.7166,2.6476,1.2791
59,0,3.7354,1.9487,2.6444,0.8318
60,0,3.7225,1.7604,2.6451,0.9985
61,0,3.5061,2.1421,2.592,0.3593
62,0,4.1116,2.4113,2.6,0.8363
63,0,3.5517,1.9093,2.6002,0.8361
64,0,3.948,2.3327,2.6447,0.8914
65,0,4.0157,1.6609,2.574,1.2969
66,0,4.4338,1.9692,2.6006,0.8385
67,0,3.7228,1.7924,2.6451,0.9985
68,0,4.0119,2.3898,2.6008,0.8392
69,0,4.1444,1.6437,2.575,1.2791
70,0,4.0849,2.3227,2.6447,0.8914
71,0,3.7574,2.2495,2.67,1.0158
72,0,3.581,1.8409,2.6002,0.8361
73,0,4.3051,1.9788,2.5746,1.305
74,0,3.8556,2.2635,2.6479,0.9943
75,0,4.0915,1.5596,2.5984,0.8302
76,0,4.0502,1.6147,2.574,1.2969
77,0,4.3881,2.2739,2.5817,0.7937
78,0,4.4258,1.7103,2.6263,0.5248
79,0,3.9414,1.6267,2.575,1.2791
80,0,3.8173,2.3321,2.6479,0.9943
81,0,3.8724,2.4274,2.6,0.8363
82,0,4.2833,1.6563,2.6242,0.7817
83,0,4.1994,2.1956,2.67,0.9972
84,0,3.9158,2.4298,2.6,0.8363
85,0,3.9938,2.3515,2.6432,0.8392
86,0,4.3301,2.1541,2.5756,1.2019
87,0,4.0826,2.3913,2.6,0.8363
88,0,3.578,2.2882,2.6271,0.4926
89,0,3.6507,2.169,2.651,0.8091
