dir,k,step,x,y,z,T
Xp,4,11,5.1910,1.9683,2.4401,19.614
Xp,5,11,5.1824,2.0187,2.4401,19.889
Xp,6,11,5.1110,2.0550,2.3889,19.889
Xp,7,11,5.0027,2.1022,2.3926,20.688
Xp,8,11,4.8352,2.1610,2.3968,20.723
Xp,0,12,4.7246,1.8382,2.4027,21.352
Xp,1,12,4.9302,1.8607,2.3588,19.730
Xp,2,12,5.2557,1.8694,2.4268,19.605
Xp,3,12,5.2557,1.9444,2.4268,19.605
Xp,4,12,5.2505,1.9675,2.4213,19.605
Xp,5,12,5.2391,2.0145,2.4221,19.893
Xp,6,12,5.1564,2.0502,2.3691,19.889
Xp,7,12,5.0356,2.0956,2.3749,20.688
Xp,8,12,4.8561,2.1516,2.3815,20.646
Xp,0,13,4.7354,1.8428,2.3911,21.272
Xp,1,13,4.9660,1.8611,2.3391,19.730
Xp,2,13,5.3139,1.8701,2.4072,19.605
Xp,3,13,5.3139,1.9451,2.4072,19.605
Xp,4,13,5.3077,1.9669,2.4016,19.605
Xp,5,13,5.2930,2.0105,2.4034,19.893
Xp,6,13,5.1998,2.0455,2.3489,19.889
Xp,7,13,5.0678,2.0894,2.3568,19.912
Xp,8,13,4.8761,2.1428,2.3662,20.646
Xp,0,14,4.7476,1.8462,2.3792,21.272
Xp,1,14,5.0018,1.8612,2.3189,19.956
Xp,2,14,5.3701,1.8706,2.3868,19.623
Xp,3,14,5.3701,1.9456,2.3868,19.623
Xp,4,14,5.3628,1.9666,2.3810,19.623
Xp,5,14,5.3443,2.0067,2.3842,19.921
Xp,6,14,5.2417,2.0410,2.3286,20.183
Xp,7,14,5.1002,2.0837,2.3382,19.889
Xp,8,14,4.8953,2.1345,2.3511,20.646
Xp,0,15,4.7618,1.8487,2.3667,21.272
Xp,1,15,5.0380,1.8611,2.2984,19.956
Xp,2,15,5.4243,1.8708,2.3659,19.623
Xp,3,15,5.4243,1.9458,2.3659,19.623
Xp,4,15,5.4160,1.9662,2.3599,19.623
Xp,5,15,5.3933,2.0031,2.3647,19.921
Xp,6,15,5.2823,2.0368,2.3082,20.183
Xp,7,15,5.1329,2.0784,2.3193,20.220
Xp,8,15,4.9144,2.1267,2.3361,20.646
Xp,0,16,4.7775,1.8504,2.3538,20.026
Xp,1,16,5.0743,1.8608,2.2776,19.956
Xp,2,16,5.4771,1.8710,2.3446,19.737
Xp,3,16,5.4771,1.9460,2.3446,19.737
Xp,4,16,5.4675,1.9659,2.3384,19.737
Xp,5,16,5.4406,1.9997,2.3449,19.921
Xp,6,16,5.3222,2.0327,2.2879,20.183
Xp,7,16,5.1664,2.0733,2.3001,20.220
Xp,8,16,4.9334,2.1194,2.3212,21.046
Xp,0,17,4.7943,1.8513,2.3404,20.026
Xp,1,17,5.1104,1.8604,2.2566,19.880
Xp,2,17,5.5284,1.8709,2.3230,19.848
Xp,3,17,5.5284,1.9459,2.3230,19.848
Xp,4,17,5.5177,1.9656,2.3165,19.848
Xp,5,17,5.4863,1.9966,2.3250,20.203
Xp,6,17,5.3614,2.0289,2.2678,20.171
Xp,7,17,5.2004,2.0686,2.2806,20.220
Xp,8,17,4.9525,2.1125,2.3062,21.046
Xp,0,18,4.8118,1.8517,2.3267,20.455
Xp,1,18,5.1461,1.8598,2.2355,19.880
Xp,2,18,5.5783,1.8705,2.3014,19.893
Xp,3,18,5.5783,1.9455,2.3014,19.893
Xp,4,18,5.5666,1.9651,2.2947,19.848
Xp,5,18,5.5307,1.9937,2.3051,20.203
Xp,6,18,5.4000,2.0253,2.2477,20.171
Xp,7,18,5.2348,2.0640,2.2609,20.183
Xp,8,18,4.9721,2.1060,2.2911,21.021
Xp,0,19,4.8302,1.8517,2.3125,20.455
Xp,1,19,5.1814,1.8591,2.2143,19.880
Xp,2,19,5.6269,1.8699,2.2798,19.893
Xp,3,19,5.6269,1.9449,2.2798,19.893
Xp,4,19,5.6145,1.9645,2.2729,19.893
Xp,5,19,5.5742,1.9911,2.2854,20.239
Xp,6,19,5.4379,2.0219,2.2277,20.171
Xp,7,19,5.2692,2.0597,2.2412,20.183
Xp,8,19,4.9923,2.0998,2.2757,21.021
Xp,0,20,4.8491,1.8515,2.2979,20.455
Xp,1,20,5.2161,1.8582,2.1931,20.069
Xp,2,20,5.6741,1.8690,2.2585,19.893
Xp,3,20,5.6741,1.9440,2.2585,19.893
Xp,4,20,5.6611,1.9635,2.2514,19.893
Xp,5,20,5.6169,1.9887,2.2657,20.239
Xp,6,20,5.4752,2.0187,2.2078,20.405
Xp,7,20,5.3035,2.0556,2.2214,20.183
Xp,8,20,5.0135,2.0939,2.2599,21.021
Xp,0,21,4.8685,1.8512,2.2828,20.067
Xp,1,21,5.2504,1.8573,2.1718,20.069
Xp,2,21,5.7196,1.8679,2.2374,19.963
Xp,3,21,5.7196,1.9429,2.2374,19.963
Xp,4,21,5.7061,1.9623,2.2303,19.963
Xp,5,21,5.6585,1.9865,2.2463,20.239
Xp,6,21,5.5118,2.0157,2.1880,20.405
Xp,7,21,5.3374,2.0516,2.2017,20.432
Xp,8,21,5.0358,2.0883,2.2435,20.284
Xp,0,22,4.8886,1.8508,2.2672,20.067
Xp,1,22,5.2846,1.8563,2.1503,20.069
Xp,2,22,5.7632,1.8665,2.2167,19.963
Xp,3,22,5.7632,1.9415,2.2167,19.963
Xp,4,22,5.7494,1.9609,2.2094,20.060
Xp,5,22,5.6991,1.9846,2.2270,20.284
Xp,6,22,5.5479,2.0129,2.1682,20.405
Xp,7,22,5.3708,2.0479,2.1821,20.432
Xp,8,22,5.0592,2.0829,2.2266,20.284
Xp,0,23,4.9088,1.8504,2.2513,20.067
Xp,1,23,5.3186,1.8552,2.1288,20.069
Xp,2,23,5.8048,1.8650,2.1963,20.060
Xp,3,23,5.8048,1.9400,2.1963,20.060
Xp,4,23,5.7908,1.9593,2.1890,20.060
Xp,5,23,5.7385,1.9830,2.2080,20.430
Xp,6,23,5.5834,2.0102,2.1486,20.413
Xp,7,23,5.4038,2.0443,2.1626,20.432
Xp,8,23,5.0834,2.0777,2.2093,20.629
Xp,0,24,4.9288,1.8499,2.2351,21.536
Xp,1,24,5.3519,1.8542,2.1075,20.023
Xp,2,24,5.8444,1.8634,2.1765,20.665
Xp,3,24,5.8444,1.9384,2.1765,20.665
Xp,4,24,5.8302,1.9576,2.1691,20.665
Xp,5,24,5.7768,1.9816,2.1893,20.430
Xp,6,24,5.6183,2.0077,2.1290,20.413
Xp,7,24,5.4364,2.0409,2.1431,20.432
Xp,8,24,5.1082,2.0728,2.1917,20.538
Xp,0,25,4.9481,1.8496,2.2188,21.536
Xp,1,25,5.3845,1.8532,2.0863,20.240
Xp,2,25,5.8822,1.8618,2.1571,20.665
Xp,3,25,5.8822,1.9368,2.1571,20.665
Xp,4,25,5.8678,1.9559,2.1497,20.665
Xp,5,25,5.8139,1.9805,2.1709,20.753
Xp,6,25,5.6525,2.0054,2.1095,20.413
Xp,7,25,5.4686,2.0377,2.1237,20.405
Xp,8,25,5.1333,2.0680,2.1738,20.538
Xp,0,26,4.9664,1.8493,2.2026,21.631
Xp,1,26,5.4157,1.8523,2.0655,20.240
Xp,2,26,5.9185,1.8602,2.1381,20.665
Xp,3,26,5.9185,1.9352,2.1381,20.665
Xp,4,26,5.9038,1.9542,2.1306,20.665
Xp,5,26,5.8499,1.9798,2.1528,20.753
Xp,6,26,5.6860,2.0032,2.0901,20.413
Xp,7,26,5.5004,2.0347,2.1043,20.405
